2018-11-05 10:15:55.4711 DEBUG ----- Starting -----
2018-11-05 10:16:52.9520 DEBUG ----- Starting -----
2018-11-05 10:19:43.4765 DEBUG ----- Starting -----
2018-11-05 10:25:22.3719 DEBUG ----- Starting -----
2018-11-05 10:29:59.8560 DEBUG ----- Starting -----
2018-11-05 10:33:53.5252 DEBUG ----- Starting -----
2018-11-05 10:34:42.7138 DEBUG ----- Starting -----
2018-11-05 10:36:13.6075 DEBUG ----- Starting -----
2018-11-05 10:36:26.3716 DEBUG ----- Starting -----
2018-11-05 10:36:30.0747 ERROR ABot2::clsOptics::ExecCMD throwing Exception Error: (AMB): 操作已超时。; source command: >VR01; iteration: 0; error code: 0
2018-11-05 10:36:53.4801 DEBUG ----- Starting -----
2018-11-05 10:46:33.6838 DEBUG ----- Starting -----
2018-11-05 11:30:15.0646 DEBUG ----- Starting -----
2018-11-05 11:32:59.3649 DEBUG ----- Starting -----
2018-11-05 11:36:02.1661 DEBUG ----- Starting -----
2018-11-05 11:42:56.2685 DEBUG ----- Starting -----
2018-11-05 11:43:09.4125 DEBUG Opening results file to: ..\..\Logs\Measurement\2018_11_05_11_43_09\Temperature Log.csv
2018-11-05 11:43:09.4205 DEBUG Protocol: Execute step: HelixGen.Model.MeltCurveStep line: 20
2018-11-05 11:43:09.4394 DEBUG gotoTempAndStay: temperature = 45 time = 60 ms
2018-11-05 11:43:09.5162 DEBUG Setting the temperature to 45
2018-11-05 11:43:09.5840 DEBUG Got a _model_PCRCyclerSetpointTemperature; temperature: 45
2018-11-05 11:43:09.6638 DEBUG DevicePCRCycler SetToAppropriateBand, finding a new band, curTemp is 29.032 to temp is 95
2018-11-05 11:43:09.6778 DEBUG DevicePCRCycler SelectThermalParameters, found a plan; curTemp is 29.032 making settings for the temperature range: From: 0-90 To: 90-110
2018-11-05 11:43:09.6828 DEBUG SetChannelSettings; Channel: 4 OvershootOffset: 1, OvershootDuration: 1 P: 40 I: 0.05 D: 400
2018-11-05 11:43:09.7755 DEBUG TEC; setting the overshootDuration to 1
2018-11-05 11:43:09.8074 DEBUG TEC; setting the overshootoffset to 1
2018-11-05 11:43:09.8394 DEBUG TEC; setting the overshootDuration to 1
2018-11-05 11:43:09.8713 DEBUG TEC; setting the overshootoffset to 1
2018-11-05 11:43:15.7168 DEBUG At temperature.
2018-11-05 11:43:15.7168 DEBUG gotoTempAndStay: at temperature = 45, sleeping ...
2018-11-05 11:43:15.7516 DEBUG Meltcurve: setting the ramprate to 0.1
2018-11-05 11:43:15.7994 DEBUG Setting the temperature to 85
2018-11-05 11:43:15.8313 DEBUG Got a _model_PCRCyclerSetpointTemperature; temperature: 85
2018-11-05 11:43:15.9919 DEBUG Opening melt results file to: ..\..\Logs\Measurement\2018_11_05_11_43_09\Melt Curve logging.csv
2018-11-05 11:43:16.1026 DEBUG In meltcurve, curTemp = 44.2639999389648
2018-11-05 11:43:16.1186 DEBUG In meltcurve, curTemp = 44.2639999389648
2018-11-05 11:43:17.2835 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:17.3014 DEBUG In meltcurve, curTemp = 44.0699996948242
2018-11-05 11:43:18.3476 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:18.4673 DEBUG In meltcurve, curTemp = 44.1049995422363
2018-11-05 11:43:19.4866 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:19.5384 DEBUG In meltcurve, curTemp = 44.1189994812012
2018-11-05 11:43:20.5577 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:20.6086 DEBUG In meltcurve, curTemp = 44.1710014343262
2018-11-05 11:43:21.6278 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:21.6797 DEBUG In meltcurve, curTemp = 44.2719993591309
2018-11-05 11:43:22.7000 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:22.7189 DEBUG In meltcurve, curTemp = 44.3870010375977
2018-11-05 11:43:23.7432 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:23.7572 DEBUG In meltcurve, curTemp = 44.4809989929199
2018-11-05 11:43:24.7754 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:24.7955 DEBUG In meltcurve, curTemp = 44.5810012817383
2018-11-05 11:43:25.7059 DEBUG In meltcurve, curTemp = 44.6759986877441
2018-11-05 11:43:25.7219 DEBUG In meltcurve, curTemp = 44.6860008239746
2018-11-05 11:43:25.7538 DEBUG In meltcurve, curTemp = 44.6860008239746
2018-11-05 11:43:25.7698 DEBUG In meltcurve, curTemp = 44.6860008239746
2018-11-05 11:43:25.7858 DEBUG In meltcurve, curTemp = 44.6860008239746
2018-11-05 11:43:25.8017 DEBUG In meltcurve, curTemp = 44.6860008239746
2018-11-05 11:43:25.8177 DEBUG In meltcurve, curTemp = 44.6969985961914
2018-11-05 11:43:25.8336 DEBUG In meltcurve, curTemp = 44.6969985961914
2018-11-05 11:43:25.8496 DEBUG In meltcurve, curTemp = 44.6969985961914
2018-11-05 11:43:25.8655 DEBUG In meltcurve, curTemp = 44.6969985961914
2018-11-05 11:43:25.8815 DEBUG In meltcurve, curTemp = 44.6969985961914
2018-11-05 11:43:25.8975 DEBUG In meltcurve, curTemp = 44.6969985961914
2018-11-05 11:43:26.9177 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:26.9686 DEBUG In meltcurve, curTemp = 44.8079986572266
2018-11-05 11:43:27.2558 DEBUG In meltcurve, curTemp = 44.8390007019043
2018-11-05 11:43:27.2718 DEBUG In meltcurve, curTemp = 44.8390007019043
2018-11-05 11:43:27.2877 DEBUG In meltcurve, curTemp = 44.8390007019043
2018-11-05 11:43:27.3037 DEBUG In meltcurve, curTemp = 44.8390007019043
2018-11-05 11:43:27.3196 DEBUG In meltcurve, curTemp = 44.8479995727539
2018-11-05 11:43:27.3366 DEBUG In meltcurve, curTemp = 44.8479995727539
2018-11-05 11:43:27.3525 DEBUG In meltcurve, curTemp = 44.8479995727539
2018-11-05 11:43:27.3675 DEBUG In meltcurve, curTemp = 44.8479995727539
2018-11-05 11:43:27.4313 DEBUG In meltcurve, curTemp = 44.8600006103516
2018-11-05 11:43:27.4952 DEBUG In meltcurve, curTemp = 44.8600006103516
2018-11-05 11:43:27.5430 DEBUG In meltcurve, curTemp = 44.8689994812012
2018-11-05 11:43:27.6079 DEBUG In meltcurve, curTemp = 44.8689994812012
2018-11-05 11:43:28.6251 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:28.6780 DEBUG In meltcurve, curTemp = 44.9809989929199
2018-11-05 11:43:28.8535 DEBUG In meltcurve, curTemp = 45.0019989013672
2018-11-05 11:43:28.8695 DEBUG In meltcurve, curTemp = 45.0019989013672
2018-11-05 11:43:28.8854 DEBUG In meltcurve, curTemp = 45.0019989013672
2018-11-05 11:43:28.9014 DEBUG In meltcurve, curTemp = 45.0019989013672
2018-11-05 11:43:28.9174 DEBUG In meltcurve, curTemp = 45.0110015869141
2018-11-05 11:43:28.9333 DEBUG In meltcurve, curTemp = 45.0110015869141
2018-11-05 11:43:28.9493 DEBUG In meltcurve, curTemp = 45.0110015869141
2018-11-05 11:43:28.9652 DEBUG In meltcurve, curTemp = 45.0110015869141
2018-11-05 11:43:29.0291 DEBUG In meltcurve, curTemp = 45.0229988098145
2018-11-05 11:43:29.0929 DEBUG In meltcurve, curTemp = 45.0229988098145
2018-11-05 11:43:29.1567 DEBUG In meltcurve, curTemp = 45.0320014953613
2018-11-05 11:43:29.2216 DEBUG In meltcurve, curTemp = 45.0419998168945
2018-11-05 11:43:30.2398 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:30.2600 DEBUG In meltcurve, curTemp = 45.1430015563965
2018-11-05 11:43:30.4672 DEBUG In meltcurve, curTemp = 45.1640014648438
2018-11-05 11:43:30.6916 DEBUG In meltcurve, curTemp = 45.185001373291
2018-11-05 11:43:30.7235 DEBUG In meltcurve, curTemp = 45.1940002441406
2018-11-05 11:43:30.7395 DEBUG In meltcurve, curTemp = 45.1940002441406
2018-11-05 11:43:30.7554 DEBUG In meltcurve, curTemp = 45.1940002441406
2018-11-05 11:43:30.7714 DEBUG In meltcurve, curTemp = 45.1940002441406
2018-11-05 11:43:30.7874 DEBUG In meltcurve, curTemp = 45.1940002441406
2018-11-05 11:43:30.8033 DEBUG In meltcurve, curTemp = 45.1940002441406
2018-11-05 11:43:30.8193 DEBUG In meltcurve, curTemp = 45.2039985656738
2018-11-05 11:43:30.8353 DEBUG In meltcurve, curTemp = 45.2039985656738
2018-11-05 11:43:30.8512 DEBUG In meltcurve, curTemp = 45.2039985656738
2018-11-05 11:43:30.8671 DEBUG In meltcurve, curTemp = 45.2039985656738
2018-11-05 11:43:31.8864 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:31.9064 DEBUG In meltcurve, curTemp = 45.3050003051758
2018-11-05 11:43:32.0819 DEBUG In meltcurve, curTemp = 45.3250007629395
2018-11-05 11:43:32.1457 DEBUG In meltcurve, curTemp = 45.3359985351563
2018-11-05 11:43:32.2096 DEBUG In meltcurve, curTemp = 45.3359985351563
2018-11-05 11:43:32.2255 DEBUG In meltcurve, curTemp = 45.3460006713867
2018-11-05 11:43:32.2415 DEBUG In meltcurve, curTemp = 45.3460006713867
2018-11-05 11:43:32.2574 DEBUG In meltcurve, curTemp = 45.3460006713867
2018-11-05 11:43:32.2734 DEBUG In meltcurve, curTemp = 45.3460006713867
2018-11-05 11:43:32.2893 DEBUG In meltcurve, curTemp = 45.3460006713867
2018-11-05 11:43:32.3053 DEBUG In meltcurve, curTemp = 45.3460006713867
2018-11-05 11:43:32.3372 DEBUG In meltcurve, curTemp = 45.3569984436035
2018-11-05 11:43:32.3691 DEBUG In meltcurve, curTemp = 45.3569984436035
2018-11-05 11:43:32.4330 DEBUG In meltcurve, curTemp = 45.367000579834
2018-11-05 11:43:33.4512 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:33.4712 DEBUG In meltcurve, curTemp = 45.4679985046387
2018-11-05 11:43:33.6796 DEBUG In meltcurve, curTemp = 45.4889984130859
2018-11-05 11:43:33.7275 DEBUG In meltcurve, curTemp = 45.4990005493164
2018-11-05 11:43:33.7435 DEBUG In meltcurve, curTemp = 45.4990005493164
2018-11-05 11:43:33.7594 DEBUG In meltcurve, curTemp = 45.4990005493164
2018-11-05 11:43:33.7754 DEBUG In meltcurve, curTemp = 45.4990005493164
2018-11-05 11:43:33.7913 DEBUG In meltcurve, curTemp = 45.4990005493164
2018-11-05 11:43:33.8073 DEBUG In meltcurve, curTemp = 45.4990005493164
2018-11-05 11:43:33.8232 DEBUG In meltcurve, curTemp = 45.5069999694824
2018-11-05 11:43:33.8392 DEBUG In meltcurve, curTemp = 45.5069999694824
2018-11-05 11:43:33.8552 DEBUG In meltcurve, curTemp = 45.5069999694824
2018-11-05 11:43:33.8711 DEBUG In meltcurve, curTemp = 45.5069999694824
2018-11-05 11:43:33.8871 DEBUG In meltcurve, curTemp = 45.5069999694824
2018-11-05 11:43:34.9063 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:34.9253 DEBUG In meltcurve, curTemp = 45.6199989318848
2018-11-05 11:43:35.2454 DEBUG In meltcurve, curTemp = 45.648998260498
2018-11-05 11:43:35.2614 DEBUG In meltcurve, curTemp = 45.648998260498
2018-11-05 11:43:35.2774 DEBUG In meltcurve, curTemp = 45.648998260498
2018-11-05 11:43:35.2933 DEBUG In meltcurve, curTemp = 45.648998260498
2018-11-05 11:43:35.3093 DEBUG In meltcurve, curTemp = 45.648998260498
2018-11-05 11:43:35.3252 DEBUG In meltcurve, curTemp = 45.6590003967285
2018-11-05 11:43:35.3412 DEBUG In meltcurve, curTemp = 45.6590003967285
2018-11-05 11:43:35.3571 DEBUG In meltcurve, curTemp = 45.6590003967285
2018-11-05 11:43:35.3731 DEBUG In meltcurve, curTemp = 45.6590003967285
2018-11-05 11:43:35.5327 DEBUG In meltcurve, curTemp = 45.6790008544922
2018-11-05 11:43:35.5965 DEBUG In meltcurve, curTemp = 45.6790008544922
2018-11-05 11:43:35.6444 DEBUG In meltcurve, curTemp = 45.6889991760254
2018-11-05 11:43:36.6636 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:36.7155 DEBUG In meltcurve, curTemp = 45.7900009155273
2018-11-05 11:43:36.8432 DEBUG In meltcurve, curTemp = 45.8110008239746
2018-11-05 11:43:36.8751 DEBUG In meltcurve, curTemp = 45.8110008239746
2018-11-05 11:43:36.8910 DEBUG In meltcurve, curTemp = 45.8110008239746
2018-11-05 11:43:36.9072 DEBUG In meltcurve, curTemp = 45.8110008239746
2018-11-05 11:43:36.9230 DEBUG In meltcurve, curTemp = 45.8209991455078
2018-11-05 11:43:36.9391 DEBUG In meltcurve, curTemp = 45.8209991455078
2018-11-05 11:43:36.9549 DEBUG In meltcurve, curTemp = 45.8209991455078
2018-11-05 11:43:36.9710 DEBUG In meltcurve, curTemp = 45.8209991455078
2018-11-05 11:43:36.9868 DEBUG In meltcurve, curTemp = 45.8209991455078
2018-11-05 11:43:37.0028 DEBUG In meltcurve, curTemp = 45.8209991455078
2018-11-05 11:43:37.0197 DEBUG In meltcurve, curTemp = 45.8310012817383
2018-11-05 11:43:37.0347 DEBUG In meltcurve, curTemp = 45.8310012817383
2018-11-05 11:43:38.0529 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:38.1058 DEBUG In meltcurve, curTemp = 45.931999206543
2018-11-05 11:43:38.4728 DEBUG In meltcurve, curTemp = 45.9710006713867
2018-11-05 11:43:38.4888 DEBUG In meltcurve, curTemp = 45.9710006713867
2018-11-05 11:43:38.5526 DEBUG In meltcurve, curTemp = 45.9830017089844
2018-11-05 11:43:38.6005 DEBUG In meltcurve, curTemp = 45.9830017089844
2018-11-05 11:43:38.6643 DEBUG In meltcurve, curTemp = 45.992000579834
2018-11-05 11:43:38.7281 DEBUG In meltcurve, curTemp = 46.0029983520508
2018-11-05 11:43:38.7760 DEBUG In meltcurve, curTemp = 46.0029983520508
2018-11-05 11:43:38.8089 DEBUG In meltcurve, curTemp = 46.0029983520508
2018-11-05 11:43:38.8249 DEBUG In meltcurve, curTemp = 46.0120010375977
2018-11-05 11:43:38.8408 DEBUG In meltcurve, curTemp = 46.0120010375977
2018-11-05 11:43:38.8568 DEBUG In meltcurve, curTemp = 46.0120010375977
2018-11-05 11:43:38.8728 DEBUG In meltcurve, curTemp = 46.0120010375977
2018-11-05 11:43:39.8940 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:39.9110 DEBUG In meltcurve, curTemp = 46.1139984130859
2018-11-05 11:43:40.0865 DEBUG In meltcurve, curTemp = 46.132999420166
2018-11-05 11:43:40.1504 DEBUG In meltcurve, curTemp = 46.1440010070801
2018-11-05 11:43:40.2152 DEBUG In meltcurve, curTemp = 46.1440010070801
2018-11-05 11:43:40.2780 DEBUG In meltcurve, curTemp = 46.1520004272461
2018-11-05 11:43:40.3109 DEBUG In meltcurve, curTemp = 46.1520004272461
2018-11-05 11:43:40.3269 DEBUG In meltcurve, curTemp = 46.1629981994629
2018-11-05 11:43:40.3747 DEBUG In meltcurve, curTemp = 46.1629981994629
2018-11-05 11:43:40.4066 DEBUG In meltcurve, curTemp = 46.1629981994629
2018-11-05 11:43:40.5183 DEBUG In meltcurve, curTemp = 46.1730003356934
2018-11-05 11:43:40.5343 DEBUG In meltcurve, curTemp = 46.1829986572266
2018-11-05 11:43:40.5503 DEBUG In meltcurve, curTemp = 46.1829986572266
2018-11-05 11:43:40.6141 DEBUG In meltcurve, curTemp = 46.1829986572266
2018-11-05 11:43:41.6324 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:41.6842 DEBUG In meltcurve, curTemp = 46.2939987182617
2018-11-05 11:43:41.7491 DEBUG In meltcurve, curTemp = 46.3040008544922
2018-11-05 11:43:41.7969 DEBUG In meltcurve, curTemp = 46.3040008544922
2018-11-05 11:43:41.8129 DEBUG In meltcurve, curTemp = 46.3040008544922
2018-11-05 11:43:41.8289 DEBUG In meltcurve, curTemp = 46.3139991760254
2018-11-05 11:43:41.8449 DEBUG In meltcurve, curTemp = 46.3139991760254
2018-11-05 11:43:41.8608 DEBUG In meltcurve, curTemp = 46.3139991760254
2018-11-05 11:43:41.8767 DEBUG In meltcurve, curTemp = 46.3139991760254
2018-11-05 11:43:41.8927 DEBUG In meltcurve, curTemp = 46.3139991760254
2018-11-05 11:43:41.9086 DEBUG In meltcurve, curTemp = 46.3139991760254
2018-11-05 11:43:41.9246 DEBUG In meltcurve, curTemp = 46.3240013122559
2018-11-05 11:43:41.9405 DEBUG In meltcurve, curTemp = 46.3240013122559
2018-11-05 11:43:42.9907 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:43.0586 DEBUG In meltcurve, curTemp = 46.435001373291
2018-11-05 11:43:43.2510 DEBUG In meltcurve, curTemp = 46.4550018310547
2018-11-05 11:43:43.2670 DEBUG In meltcurve, curTemp = 46.4550018310547
2018-11-05 11:43:43.2830 DEBUG In meltcurve, curTemp = 46.4550018310547
2018-11-05 11:43:43.2989 DEBUG In meltcurve, curTemp = 46.4550018310547
2018-11-05 11:43:43.3149 DEBUG In meltcurve, curTemp = 46.4550018310547
2018-11-05 11:43:43.3309 DEBUG In meltcurve, curTemp = 46.4650001525879
2018-11-05 11:43:43.3468 DEBUG In meltcurve, curTemp = 46.4650001525879
2018-11-05 11:43:43.3627 DEBUG In meltcurve, curTemp = 46.4650001525879
2018-11-05 11:43:43.3787 DEBUG In meltcurve, curTemp = 46.4650001525879
2018-11-05 11:43:43.3947 DEBUG In meltcurve, curTemp = 46.4650001525879
2018-11-05 11:43:43.4744 DEBUG In meltcurve, curTemp = 46.476001739502
2018-11-05 11:43:43.4904 DEBUG In meltcurve, curTemp = 46.476001739502
2018-11-05 11:43:44.5177 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:44.5775 DEBUG In meltcurve, curTemp = 46.5849990844727
2018-11-05 11:43:44.8488 DEBUG In meltcurve, curTemp = 46.6150016784668
2018-11-05 11:43:44.8647 DEBUG In meltcurve, curTemp = 46.6150016784668
2018-11-05 11:43:44.8807 DEBUG In meltcurve, curTemp = 46.6150016784668
2018-11-05 11:43:44.8966 DEBUG In meltcurve, curTemp = 46.6150016784668
2018-11-05 11:43:44.9126 DEBUG In meltcurve, curTemp = 46.6150016784668
2018-11-05 11:43:44.9286 DEBUG In meltcurve, curTemp = 46.6240005493164
2018-11-05 11:43:44.9445 DEBUG In meltcurve, curTemp = 46.6240005493164
2018-11-05 11:43:44.9605 DEBUG In meltcurve, curTemp = 46.6240005493164
2018-11-05 11:43:44.9764 DEBUG In meltcurve, curTemp = 46.6240005493164
2018-11-05 11:43:45.0403 DEBUG In meltcurve, curTemp = 46.6360015869141
2018-11-05 11:43:45.0882 DEBUG In meltcurve, curTemp = 46.6360015869141
2018-11-05 11:43:45.1520 DEBUG In meltcurve, curTemp = 46.6440010070801
2018-11-05 11:43:46.1712 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:46.2231 DEBUG In meltcurve, curTemp = 46.7449989318848
2018-11-05 11:43:46.4784 DEBUG In meltcurve, curTemp = 46.773998260498
2018-11-05 11:43:46.5422 DEBUG In meltcurve, curTemp = 46.7849998474121
2018-11-05 11:43:46.6061 DEBUG In meltcurve, curTemp = 46.7849998474121
2018-11-05 11:43:46.6220 DEBUG In meltcurve, curTemp = 46.7849998474121
2018-11-05 11:43:46.6859 DEBUG In meltcurve, curTemp = 46.7939987182617
2018-11-05 11:43:46.7018 DEBUG In meltcurve, curTemp = 46.7939987182617
2018-11-05 11:43:46.7656 DEBUG In meltcurve, curTemp = 46.8040008544922
2018-11-05 11:43:46.8305 DEBUG In meltcurve, curTemp = 46.814998626709
2018-11-05 11:43:46.8624 DEBUG In meltcurve, curTemp = 46.814998626709
2018-11-05 11:43:46.8783 DEBUG In meltcurve, curTemp = 46.814998626709
2018-11-05 11:43:46.8943 DEBUG In meltcurve, curTemp = 46.814998626709
2018-11-05 11:43:46.9262 DEBUG In meltcurve, curTemp = 46.814998626709
2018-11-05 11:43:47.9495 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:47.9644 DEBUG In meltcurve, curTemp = 46.923999786377
2018-11-05 11:43:48.0921 DEBUG In meltcurve, curTemp = 46.9339981079102
2018-11-05 11:43:48.1559 DEBUG In meltcurve, curTemp = 46.9449996948242
2018-11-05 11:43:48.2198 DEBUG In meltcurve, curTemp = 46.9449996948242
2018-11-05 11:43:48.2676 DEBUG In meltcurve, curTemp = 46.9550018310547
2018-11-05 11:43:48.3315 DEBUG In meltcurve, curTemp = 46.9650001525879
2018-11-05 11:43:48.3474 DEBUG In meltcurve, curTemp = 46.9650001525879
2018-11-05 11:43:48.3634 DEBUG In meltcurve, curTemp = 46.9650001525879
2018-11-05 11:43:48.4272 DEBUG In meltcurve, curTemp = 46.9650001525879
2018-11-05 11:43:48.4910 DEBUG In meltcurve, curTemp = 46.9749984741211
2018-11-05 11:43:48.5389 DEBUG In meltcurve, curTemp = 46.9860000610352
2018-11-05 11:43:48.5559 DEBUG In meltcurve, curTemp = 46.9860000610352
2018-11-05 11:43:48.5718 DEBUG In meltcurve, curTemp = 46.9860000610352
2018-11-05 11:43:49.5901 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:49.6420 DEBUG In meltcurve, curTemp = 47.0940017700195
2018-11-05 11:43:49.7058 DEBUG In meltcurve, curTemp = 47.0940017700195
2018-11-05 11:43:49.7696 DEBUG In meltcurve, curTemp = 47.1040000915527
2018-11-05 11:43:49.8175 DEBUG In meltcurve, curTemp = 47.1040000915527
2018-11-05 11:43:49.8495 DEBUG In meltcurve, curTemp = 47.1160011291504
2018-11-05 11:43:49.8655 DEBUG In meltcurve, curTemp = 47.1160011291504
2018-11-05 11:43:49.8814 DEBUG In meltcurve, curTemp = 47.1160011291504
2018-11-05 11:43:49.8974 DEBUG In meltcurve, curTemp = 47.1160011291504
