Protocol file: C:\HelixGen\Protocols\Protocol_pcr - Pauls.xml
Run date.time: 5/17/2017 11:15:42 AM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 Amps
"2017-05-17 11:15:43.037",0,25,26.053,60,66.002,0,0,60,64.119,0,0
"2017-05-17 11:15:43.649",0.6125313,25,26.053,95,66.361,100,4.305,95,64.276,0,2.258
"2017-05-17 11:15:44.299",1.2622581,25,26.053,95,66.375,100,4.075,95,64.486,100,4.111
"2017-05-17 11:15:45.114",2.0774247,25,26.053,95,68.256,100,3.917,95,66.732,100,3.987
"2017-05-17 11:15:45.885",2.8484744,25,26.053,95,72.354,100,3.828,95,70.943,100,1.993
"2017-05-17 11:15:46.354",3.3177218,25,26.053,95,76.232,100,3.758,95,74.178,100,3.811
"2017-05-17 11:15:46.818",3.7809533,25,26.053,95,79.713,100,3.705,95,76.958,100,3.758
"2017-05-17 11:15:47.281",4.2441843,25,26.053,95,82.628,100,3.652,95,80.55,100,3.705
"2017-05-17 11:15:47.744",4.7074493,25,26.053,95,86.328,100,3.599,95,84.216,100,3.652
"2017-05-17 11:15:48.207",5.1706508,25,26.054,95,89.269,100,3.564,95,87.208,100,3.599
"2017-05-17 11:15:48.671",5.6338802,25,26.058,95,92.96,100,3.511,95,90.923,100,3.564
"2017-05-17 11:15:49.134",6.0972011,25,26.06,95,96.506,0,0,95,93.817,0,0
"2017-05-17 11:15:49.651",6.6145461,25,26.063,95,99.64,0,0,95,97.827,0,0
"2017-05-17 11:15:50.114",7.0778091,25,26.064,95,101.37,0,0,95,99.801,0,0
"2017-05-17 11:15:50.652",7.6151381,25,26.064,95,102.833,0,0,95,101.481,0,0
"2017-05-17 11:15:51.115",8.0783986,25,26.065,95,103.193,0,0,95,101.954,0,0
"2017-05-17 11:15:51.647",8.6107844,25,26.065,95,103.1,0,0,95,101.992,0,0
"2017-05-17 11:15:52.112",9.075023,25,26.065,95,102.749,0,0,95,101.698,0.3,0.017
"2017-05-17 11:15:52.644",9.6074642,25,26.065,95,101.945,18.7,0.758,95,101.097,24.5,0.97
"2017-05-17 11:15:53.112",10.0756795,25,26.065,95,101.304,29.2,1.164,95,100.34,30.4,1.199
"2017-05-17 11:15:53.655",10.618151,25,26.065,95,100.402,27.6,1.093,95,99.608,19.2,0.741
"2017-05-17 11:15:54.119",11.082356,25,26.065,95,100.006,12,0.476,95,99.286,18.9,0.599
"2017-05-17 11:15:54.901",11.8644334,25,26.065,95,99.537,9,0.405,95,98.847,18.4,0.723
"2017-05-17 11:15:55.600",12.5632924,25,26.065,95,99.146,0,0,95,98.41,25.8,1.023
"2017-05-17 11:15:56.062",13.0255216,25,26.065,95,98.68,0,0,95,98.111,0,0
"2017-05-17 11:15:56.638",13.6010807,25,26.065,95,98.185,0,0.211,95,97.842,0,0
"2017-05-17 11:15:57.101",14.064317,25,26.065,95,97.556,13.8,0.652,95,97.395,7.9,0.299
"2017-05-17 11:15:57.783",14.7460942,25,26.065,95,96.591,23.7,0.97,95,96.431,28.3,1.146
"2017-05-17 11:15:58.256",15.2193519,25,26.065,95,96.047,19,0.776,95,95.793,23.4,0.935
"2017-05-17 11:15:58.974",15.9372599,25,26.065,95,95.617,11.7,0.476,95,95.365,17.1,0.688
"2017-05-17 11:15:59.524",16.4877237,25,26.065,95,95.31,9.6,0.388,95,94.981,16.2,0.635
"2017-05-17 11:16:00.243",17.206666,25,26.065,95,94.961,18.2,0.741,95,94.592,21.3,0.864
"2017-05-17 11:16:00.707",17.6698974,25,26.065,95,94.609,16.7,0.67,95,94.297,24.6,0.988
"2017-05-17 11:16:01.474",18.4369049,25,26.065,95,94.355,16.7,0.67,95,94.001,19.2,0.776
"2017-05-17 11:16:02.064",19.027476,25,26.065,95,94.15,12.5,0.494,95,93.792,19.3,0.776
"2017-05-17 11:16:02.762",19.725366,25,26.065,95,93.993,19.4,0.705,95,93.603,21.6,0.882
"2017-05-17 11:16:03.571",20.5344814,25,26.065,95,93.816,18.8,0.758,95,93.451,20.9,0.952
"2017-05-17 11:16:04.034",20.9977124,25,26.065,95,93.694,16,0.652,95,93.348,22.2,0.935
"2017-05-17 11:16:04.866",21.8289241,25,26.065,95,93.609,18.2,0.652,95,93.216,19.8,0.811
"2017-05-17 11:16:05.691",22.6546777,25,26.065,95,93.527,20.1,0.811,95,93.118,22,0.882
"2017-05-17 11:16:06.165",23.1279374,25,26.065,95,93.459,16,0.652,95,93.087,19.9,0.794
"2017-05-17 11:16:06.911",23.8739205,25,26.065,95,93.406,16.8,0.688,95,93.053,19.6,0.794
"2017-05-17 11:16:07.374",24.3371856,25,26.065,95,93.379,16.9,0.688,95,93.011,20.9,0.846
"2017-05-17 11:16:07.970",24.9337736,25,26.065,95,93.349,17.2,0.688,95,92.97,20.7,0.829
"2017-05-17 11:16:08.623",25.586471,25,26.065,95,93.319,18.4,0.741,95,92.943,22.4,0.917
"2017-05-17 11:16:09.216",26.1790496,25,26.065,95,93.292,18.6,0.758,95,92.901,22.3,0.899
"2017-05-17 11:16:09.807",26.7702279,25,26.066,95,93.274,18.4,0.723,95,92.883,21.1,0.846
"2017-05-17 11:16:10.441",27.4038739,25,26.07,95,93.268,15.7,0.635,95,92.898,20.9,0.882
"2017-05-17 11:16:11.159",28.1227846,25,26.074,95,93.245,18.3,0.741,95,92.867,23.8,0.97
"2017-05-17 11:16:11.660",28.6231147,25,26.076,95,93.225,20,0.811,95,92.825,22.8,0.917
"2017-05-17 11:16:12.380",29.3430576,25,26.076,95,93.221,17.7,0.705,95,92.804,23.3,0.935
"2017-05-17 11:16:12.853",29.816321,25,26.076,95,93.222,17.1,0.688,95,92.81,20,0.811
"2017-05-17 11:16:13.657",30.6204226,25,26.076,95,93.222,16.1,0.652,95,92.845,20.9,0.846
