Protocol file: C:\HelixGen\Protocols\Protocol_pcr - Pauls.xml
Run date.time: 5/17/2017 12:51:31 PM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 Amps
"2017-05-17 12:51:32.019",0,25,26.091,90,97.001,0,0,90,94.488,100,3.899
"2017-05-17 12:51:32.781",0.7614803,25,26.093,95,96.081,0,0,95,93.77,100,3.881
"2017-05-17 12:51:33.654",1.6342721,25,26.09,95,94.192,52.3,1.905,95,94.154,0,4.005
"2017-05-17 12:51:34.457",2.4375715,25,26.088,95,95.072,0,0,95,95.457,7.1,0.158
"2017-05-17 12:51:34.969",2.9499934,25,26.088,95,96.151,0,0,95,95.864,39.4,1.57
"2017-05-17 12:51:35.535",3.5156309,25,26.088,95,96.604,15.3,0.617,95,96.035,17.1,0.723
"2017-05-17 12:51:36.136",4.1164569,25,26.088,95,96.601,30.3,1.235,95,96.232,21.5,0.864
"2017-05-17 12:51:36.610",4.5907792,25,26.088,95,96.474,26.6,1.076,95,96.296,24.7,0.988
"2017-05-17 12:51:37.206",5.1870108,25,26.088,95,96.58,13.4,0.529,95,96.331,24.1,0.952
"2017-05-17 12:51:37.670",5.650245,25,26.088,95,96.74,12.5,0.299,95,96.404,21.7,0.864
"2017-05-17 12:51:38.506",6.4862274,25,26.088,95,96.93,13,0.705,95,96.526,20.3,0.811
"2017-05-17 12:51:38.975",6.9553009,25,26.088,95,96.923,23.8,0.97,95,96.57,23.6,0.935
"2017-05-17 12:51:39.794",7.7743533,25,26.088,95,96.918,18.1,0.723,95,96.594,23.3,0.935
"2017-05-17 12:51:40.263",8.2432544,25,26.088,95,96.991,14.8,0.599,95,96.615,20,0.794
"2017-05-17 12:51:40.838",8.8185129,25,26.088,95,97.082,17.1,0.688,95,96.676,20,0.758
"2017-05-17 12:51:41.581",9.5615025,25,26.088,95,97.107,20.8,0.846,95,96.713,22.3,0.829
"2017-05-17 12:51:42.052",10.0327212,25,26.088,95,97.088,19.6,0.794,95,96.728,20.8,0.829
"2017-05-17 12:51:42.803",10.7840091,25,26.088,95,97.1,17.8,0.688,95,96.74,21.7,0.864
"2017-05-17 12:51:43.276",11.2562969,25,26.088,95,97.146,16.8,0.652,95,96.77,21.4,0.846
"2017-05-17 12:51:44.006",11.9868865,25,26.088,95,97.172,18.1,0.705,95,96.79,22.1,0.882
"2017-05-17 12:51:44.545",12.5252129,25,26.088,95,97.167,0,0,95,96.789,21.4,0.899
"2017-05-17 12:51:45.008",12.9882297,25,26.088,95,97.11,0,0,95,96.781,0,0
"2017-05-17 12:51:45.550",13.5308949,25,26.088,95,96.868,0,0,95,96.726,0,0
"2017-05-17 12:51:46.014",13.9943163,25,26.088,95,96.463,13.2,0.529,95,96.444,9.2,0.352
"2017-05-17 12:51:46.546",14.5268375,25,26.088,95,95.943,21.7,0.882,95,95.928,25.8,1.023
"2017-05-17 12:51:47.143",15.1236733,25,26.088,95,95.395,18.2,0.741,95,95.279,25,0.864
"2017-05-17 12:51:47.612",15.5922549,25,26.088,95,95.155,6.9,0.264,95,94.934,17.9,0.705
"2017-05-17 12:51:48.214",16.1943314,25,26.088,95,95.002,7.7,0.299,95,94.703,12.9,0.511
"2017-05-17 12:51:48.677",16.6576981,25,26.088,95,94.83,11.7,0.458,95,94.536,14.6,0.582
"2017-05-17 12:51:49.485",17.4658861,25,26.088,95,94.573,19.5,0.794,95,94.183,21.2,0.864
"2017-05-17 12:51:49.960",17.9403782,25,26.088,95,94.277,18.6,0.758,95,94.031,20,0.811
"2017-05-17 12:51:50.786",18.7663783,25,26.088,95,94.118,11.7,0.476,95,93.816,16.9,0.67
"2017-05-17 12:51:51.259",19.239798,25,26.087,95,94.058,12.5,0.511,95,93.731,18.9,0.758
"2017-05-17 12:51:51.835",19.8154084,25,26.087,95,93.952,17,0.688,95,93.609,19.3,0.776
"2017-05-17 12:51:52.309",20.2894727,25,26.086,95,93.866,16,0.652,95,93.521,19.9,0.811
"2017-05-17 12:51:52.884",20.8650958,25,26.085,95,93.778,13.5,0.741,95,93.445,17.1,0.688
"2017-05-17 12:51:53.395",21.3757015,25,26.084,95,93.732,15,0.617,95,93.403,17.2,0.688
"2017-05-17 12:51:53.928",21.9085616,25,26.082,95,93.702,14.6,0.599,95,93.343,18.9,0.758
"2017-05-17 12:51:54.475",22.4552634,25,26.081,95,93.667,14.5,0.652,95,93.298,18.3,0.741
"2017-05-17 12:51:55.200",23.1809734,25,26.079,95,93.601,17,0.688,95,93.251,19,0.758
"2017-05-17 12:51:55.680",23.6602237,25,26.078,95,93.564,15.1,0.617,95,93.228,18.6,0.758
"2017-05-17 12:51:56.494",24.4747661,25,26.077,95,93.544,13.5,0.582,95,93.187,20.7,0.794
"2017-05-17 12:51:57.219",25.1995387,25,26.077,95,93.517,15.2,0.652,95,93.153,19.6,0.794
"2017-05-17 12:51:57.692",25.6725609,25,26.076,95,93.488,17,0.67,95,93.124,20.8,0.846
"2017-05-17 12:51:58.502",26.4822078,25,26.076,95,93.469,16,0.635,95,93.108,21.2,0.635
"2017-05-17 12:51:58.970",26.9508156,25,26.076,95,93.46,16.4,0.67,95,93.113,22,0.899
"2017-05-17 12:51:59.795",27.7753633,25,26.076,95,93.452,14.9,0.599,95,93.095,17.2,0.705
"2017-05-17 12:52:00.600",28.5804682,25,26.076,95,93.438,16.3,0.67,95,93.086,17.7,0.811
"2017-05-17 12:52:01.063",29.044075,25,26.076,95,93.432,13.6,0.546,95,93.073,21.7,0.723
"2017-05-17 12:52:01.814",29.7943918,25,26.076,95,93.423,15.9,0.652,95,93.08,15.9,0.635
"2017-05-17 12:52:02.283",30.2636971,25,26.076,95,93.417,17.3,0.705,95,93.072,17.7,0.723
"2017-05-17 12:52:02.858",30.8384238,25,26.076,95,93.414,17.4,0.705,95,93.078,18.2,0.846
"2017-05-17 12:52:03.596",31.5769002,25,26.076,95,93.414,17.7,0.723,95,93.059,20,0.758
