Protocol file: C:\HelixGen\Protocols\Protocol_pcr - Pauls.xml
Run date.time: 5/17/2017 4:22:11 PM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 Amps,TEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2017-05-17 16:22:12.148",0,25,25.458,25,35.376,0,0,25,35.328,0,0,83.439,-2.688,-2.688,68.681
"2017-05-17 16:22:13.369",1.2204243,25,25.463,95,36.03,100,4.446,95,35.296,100,4.622,82.722,-2.688,-2.688,68.514
"2017-05-17 16:22:14.540",2.3919292,25,25.465,95,42.642,100,4.234,95,40.446,100,4.322,75.18,-2.688,-2.688,68.605
"2017-05-17 16:22:15.494",3.3458501,25,25.466,95,50.14,100,4.093,95,47.171,100,4.164,75.52,-2.688,-2.688,68.817
"2017-05-17 16:22:16.367",4.2183422,25,25.466,95,57.362,100,3.97,95,54.445,100,4.04,75.402,-2.688,-2.688,69.023
"2017-05-17 16:22:17.050",4.9014549,25,25.466,95,65.087,100,3.864,95,62.251,100,3.917,74.74,-2.688,-2.688,69.663
"2017-05-17 16:22:17.598",5.4500194,25,25.465,95,71.03,100,3.793,95,67.618,100,3.828,75.531,-2.688,-2.688,69.844
"2017-05-17 16:22:18.332",6.183283,25,25.465,95,75.167,100,3.723,95,72.863,100,3.758,75.809,-2.688,-2.688,70.101
"2017-05-17 16:22:19.009",6.8609024,25,25.465,95,81.546,100,3.652,95,78.795,100,3.687,76.368,-2.688,-2.688,71.627
"2017-05-17 16:22:19.728",7.5798345,25,25.466,95,86.924,100,3.581,95,84.463,100,3.617,77.107,-2.688,-2.688,72.291
"2017-05-17 16:22:20.430",8.2820036,25,25.467,95,92.03,100,3.528,95,89.836,100,3.546,77.18,-2.688,-2.688,73.853
"2017-05-17 16:22:21.118",8.9696641,25,25.467,95,96.86,0,0,95,94.844,0,0,77.374,-2.688,-2.688,74.452
"2017-05-17 16:22:21.794",9.6461183,25,25.467,95,100.049,0,0,95,99.077,0,0,76.373,-2.688,-2.688,75.152
"2017-05-17 16:22:22.590",10.4416854,25,25.467,95,101.888,0,0,95,101.227,0,0,75.702,-2.688,-2.688,76.858
"2017-05-17 16:22:23.316",11.1677999,25,25.467,95,102.197,0,0,95,101.704,0,0,55.693,-2.688,-2.688,77.62
"2017-05-17 16:22:24.137",11.9890343,25,25.467,95,101.557,18.7,0.741,95,100.958,21,1.023,57.263,-2.688,-2.688,79.165
"2017-05-17 16:22:24.824",12.6757175,25,25.467,95,100.176,32.4,1.27,95,99.884,33.4,1.323,60.01,-2.688,-2.688,79.822
"2017-05-17 16:22:25.617",13.4691861,25,25.467,95,99.39,0,0,95,99.114,0,0,61.229,-2.688,-2.688,80.931
"2017-05-17 16:22:26.342",14.1941437,25,25.467,95,98.631,4.4,0.158,95,98.461,0,0,63.396,-2.688,-2.688,81.397
"2017-05-17 16:22:27.029",14.8808203,25,25.467,95,97.43,22.2,0.899,95,97.515,19.4,0.988,64.388,-2.688,-2.688,82.451
"2017-05-17 16:22:27.723",15.5746596,25,25.467,95,96.41,22.1,0.882,95,96.409,28.6,1.129,66.186,-2.688,-2.688,82.79
"2017-05-17 16:22:28.763",16.6147461,25,25.467,95,95.709,13.1,0.511,95,95.448,15.6,0.617,67.756,-2.688,-2.688,82.616
"2017-05-17 16:22:29.932",17.7835294,25,25.468,95,95.083,20.3,0.97,95,94.783,23,0.917,69.138,-2.688,-2.688,82.575
"2017-05-17 16:22:30.976",18.8275121,25,25.473,95,94.279,14.5,0.564,95,94.013,20.9,0.829,70.378,-2.688,-2.688,81.319
"2017-05-17 16:22:32.110",19.9616518,25,25.477,95,93.986,16.4,0.652,95,93.693,22.9,0.917,71.487,-2.688,-2.688,80.256
"2017-05-17 16:22:32.995",20.8471957,25,25.479,95,93.69,19.9,0.794,95,93.412,23.9,0.952,72.512,-2.688,-2.688,79.551
"2017-05-17 16:22:33.989",21.8410813,25,25.479,95,93.527,20,0.794,95,93.203,23.9,0.952,73.457,-2.688,-2.688,77.873
"2017-05-17 16:22:34.847",22.6985228,25,25.479,95,93.391,19.8,0.794,95,93.074,25.4,1.005,74.31,-2.688,-2.688,77.976
"2017-05-17 16:22:35.885",23.7371327,25,25.479,95,93.277,19.7,0.794,95,92.947,22.4,0.882,75.106,-2.688,-2.688,76.024
"2017-05-17 16:22:36.924",24.7757719,25,25.479,95,93.209,20.2,0.811,95,92.887,24,0.935,75.86,-2.688,-2.688,74.39
"2017-05-17 16:22:38.091",25.9432042,25,25.479,95,93.147,17.5,0.705,95,92.819,22,0.864,96.179,-2.688,-2.688,74.894
"2017-05-17 16:22:38.986",26.8377164,25,25.479,95,93.088,17,0.741,95,92.783,22.5,0.899,107.922,-2.688,-2.688,75
"2017-05-17 16:22:39.858",27.710007,25,25.479,95,93.069,19.1,0.776,95,92.755,23.6,0.935,110.17,-2.688,-2.688,74.846
"2017-05-17 16:22:40.902",28.7540328,25,25.479,95,93.049,20,0.811,95,92.741,22.3,0.882,111.059,-2.688,-2.688,75.53
"2017-05-17 16:22:42.079",29.9307542,25,25.478,95,93.043,16.8,0.705,95,92.712,21.2,0.846,111.547,-2.688,-2.688,75.998
"2017-05-17 16:22:42.984",30.8362009,25,25.476,95,93.035,21.1,0.811,95,92.719,23.4,0.935,111.995,-2.688,-2.688,76.543
"2017-05-17 16:22:44.108",31.9599041,25,25.476,95,93.035,20,0.811,95,92.712,24,0.97,112.76,-2.688,-2.688,76.834
"2017-05-17 16:22:44.992",32.8434214,25,25.475,95,93.042,19.5,0.794,95,92.714,23.2,0.935,113.145,-2.688,-2.688,76.94
"2017-05-17 16:22:45.999",33.8505553,25,25.475,95,93.045,21.5,0.882,95,92.714,22.8,0.917,113.548,-2.688,-2.688,77.072
"2017-05-17 16:22:46.863",34.7147114,25,25.474,95,93.048,21.2,0.864,95,92.719,23.9,0.952,113.804,-2.688,-2.688,77.175
"2017-05-17 16:22:48.166",36.0178244,25,25.473,95,93.053,18.3,0.741,95,92.729,21.2,0.846,114,-2.688,-2.688,77.626
"2017-05-17 16:22:48.982",36.833325,25,25.471,95,93.059,20,0.811,95,92.734,23.5,0.952,114.167,-2.688,-2.688,77.894
"2017-05-17 16:22:50.121",37.972528,25,25.471,95,93.07,18.7,0.811,95,92.74,19.7,0.794,114.359,-2.688,-2.688,78.137
"2017-05-17 16:22:50.871",38.7232366,25,25.472,95,93.076,16.9,0.688,95,92.754,22,0.882,114.5,-2.688,-2.688,78.254
"2017-05-17 16:22:51.910",39.7613969,25,25.473,95,93.082,17.3,0.705,95,92.757,22.5,0.917,114.586,-2.688,-2.688,78.465
"2017-05-17 16:22:53.082",40.9340941,25,25.473,95,93.084,19.2,0.758,95,92.759,22.3,0.899,114.718,-2.688,-2.688,78.76
"2017-05-17 16:22:54.004",41.8556084,25,25.472,95,93.095,17.2,0.758,95,92.771,20.3,0.811,114.819,-2.688,-2.688,78.959
"2017-05-17 16:22:54.989",42.8409127,25,25.47,95,93.099,17.1,0.705,95,92.775,21.1,0.846,114.895,-2.688,-2.688,79.156
"2017-05-17 16:22:56.149",44.0010954,25,25.468,95,93.105,20.9,0.864,95,92.793,20.5,0.829,114.93,-2.688,-2.688,79.349
"2017-05-17 16:22:57.001",44.8530439,25,25.468,95,93.102,20.2,0.829,95,92.778,22.1,0.899,114.97,-2.688,-2.688,79.548
"2017-05-17 16:22:57.869",45.7208731,25,25.468,95,93.105,18.7,0.758,95,92.79,21,0.846,115.015,-2.688,-2.688,79.645
"2017-05-17 16:22:58.912",46.7641308,25,25.468,95,93.112,17,0.688,95,92.79,21.4,0.846,115.042,-2.688,-2.688,79.84
"2017-05-17 16:23:00.079",47.9307886,25,25.468,95,93.122,14.4,0.688,95,92.806,21,0.899,115.07,-2.688,-2.688,80.125
"2017-05-17 16:23:01.522",49.3741836,25,25.468,95,93.118,18.6,2.064,95,92.816,18,2.064,115.09,-2.688,-2.688,80.407
"2017-05-17 16:23:02.210",50.0612865,25,25.467,95,93.537,23.9,0.917,95,93.251,11.3,0.423,115.088,-2.688,-2.688,80.495
"2017-05-17 16:23:02.896",50.748071,25,25.467,95,94.551,0,0,95,94.673,0,0,115.03,-2.688,-2.688,80.604
"2017-05-17 16:23:03.812",51.6641938,25,25.467,95,95.26,21.4,0.882,95,95.454,30.8,1.235,115.049,-2.688,-2.688,80.989
"2017-05-17 16:23:04.606",52.4578594,25,25.467,95,95.354,35.7,1.429,95,95.374,37,1.464,115.08,-2.688,-2.688,81.36
"2017-05-17 16:23:05.485",53.3369135,25,25.467,95,95.705,12.4,0.511,95,95.656,17.3,0.688,115.11,-2.688,-2.688,81.713
"2017-05-17 16:23:06.171",54.0231429,25,25.467,95,96.153,15.5,0.635,95,95.948,22.5,0.899,115.093,-2.688,-2.688,81.898
"2017-05-17 16:23:06.886",54.7378843,25,25.467,95,96.25,27.9,1.129,95,96.049,27,1.076,115.059,-2.688,-2.688,82.081
"2017-05-17 16:23:07.802",55.6534377,25,25.467,95,96.332,19.9,0.794,95,96.136,25.1,1.005,114.931,-2.688,-2.688,82.402
"2017-05-17 16:23:09.099",56.9504103,25,25.467,95,96.513,16.2,0.652,95,96.312,20.7,0.864,114.535,-2.688,-2.688,82.844
"2017-05-17 16:23:09.916",57.7681776,25,25.467,95,96.654,24.9,0.97,95,96.39,24.8,0.988,113.606,-2.688,-2.688,82.983
"2017-05-17 16:23:11.087",58.9391636,25,25.467,95,96.704,17.8,0.811,95,96.46,23.5,0.917,112.906,-2.688,-2.688,83.366
"2017-05-17 16:23:11.876",59.7276004,25,25.467,95,96.777,0,0,95,96.507,0,0,112.426,-2.688,-2.688,83.487
"2017-05-17 16:23:12.664",60.5156488,25,25.467,95,96.423,8.9,0.352,95,96.182,11.1,0.441,111.964,-2.688,-2.688,83.714
"2017-05-17 16:23:13.579",61.4308822,25,25.467,95,95.481,27,1.093,95,95.322,29.9,1.164,97.423,-2.688,-2.688,83.844
"2017-05-17 16:23:14.597",62.4489018,25,25.467,95,94.887,11.9,0.476,95,94.671,15.7,0.635,87.153,-2.688,-2.688,83.883
"2017-05-17 16:23:15.582",63.4337363,25,25.467,95,94.614,14.6,0.599,95,94.279,18.3,0.741,87.192,-2.688,-2.688,83.912
"2017-05-17 16:23:16.628",64.4793506,25,25.467,95,94.157,19.5,0.794,95,93.908,22.8,0.917,87.199,-2.688,-2.688,83.908
"2017-05-17 16:23:17.595",65.4463861,25,25.467,95,93.938,14.2,0.582,95,93.627,18,0.723,87.168,-2.688,-2.688,83.887
"2017-05-17 16:23:18.272",66.1238669,25,25.467,95,93.794,17.6,0.723,95,93.485,21.7,0.794,87.125,-2.688,-2.688,83.879
"2017-05-17 16:23:19.087",66.9383779,25,25.467,95,93.671,20,0.811,95,93.347,20,0.811,87.104,-2.688,-2.688,83.86
"2017-05-17 16:23:19.881",67.7325522,25,25.467,95,93.538,15.4,0.635,95,93.244,19,0.846,87.057,-2.688,-2.688,83.849
"2017-05-17 16:23:21.175",69.0264086,25,25.467,95,93.499,14.4,0.582,95,93.178,20.9,0.846,87.014,-2.688,-2.688,83.82
"2017-05-17 16:23:21.996",69.8473443,25,25.466,95,93.374,19.5,0.794,95,93.072,19.6,0.794,86.972,-2.688,-2.688,83.799
"2017-05-17 16:23:23.162",71.0132874,25,25.464,95,93.335,18.7,0.67,95,93.044,19.7,0.794,86.931,-2.688,-2.688,83.776
"2017-05-17 16:23:23.897",71.7486359,25,25.461,95,93.307,20.3,0.829,95,93.012,22.9,0.935,86.898,-2.688,-2.688,83.769
"2017-05-17 16:23:24.941",72.7927499,25,25.461,95,93.274,19.7,0.811,95,92.969,21.1,0.846,86.87,-2.688,-2.688,83.752
"2017-05-17 16:23:26.111",73.9630056,25,25.462,95,93.263,18.6,0.758,95,92.956,19.4,0.846,86.848,-2.688,-2.688,83.731
"2017-05-17 16:23:27.007",74.8582829,25,25.464,95,93.252,14.8,0.599,95,92.944,21.1,0.846,86.832,-2.688,-2.688,83.726
"2017-05-17 16:23:28.019",75.8704408,25,25.464,95,93.234,16,0.652,95,92.926,22.3,0.899,86.817,-2.688,-2.688,83.725
"2017-05-17 16:23:29.155",77.0069998,25,25.464,95,93.233,17.3,0.723,95,92.916,22.9,0.935,86.804,-2.688,-2.688,83.719
"2017-05-17 16:23:30.015",77.8669565,25,25.464,95,93.228,16.5,0.67,95,92.92,19.8,0.864,86.793,-2.688,-2.688,83.719
"2017-05-17 16:23:30.890",78.7415434,25,25.464,95,93.224,18,0.794,95,92.923,19.7,0.882,86.785,-2.688,-2.688,83.719
"2017-05-17 16:23:31.935",79.7872303,25,25.463,95,93.22,19.2,0.794,95,92.923,20.8,0.846,86.781,-2.688,-2.688,83.72
"2017-05-17 16:23:33.103",80.9546557,25,25.461,95,93.223,15.7,0.811,95,92.931,20.6,0.846,86.778,-2.688,-2.688,83.726
"2017-05-17 16:23:34.031",81.8828572,25,25.458,95,93.213,19.3,0.741,95,92.917,20.5,0.829,86.773,-2.688,-2.688,83.731
"2017-05-17 16:23:34.894",82.7458162,25,25.458,95,93.219,18.8,0.776,95,92.919,22.3,0.776,86.771,-2.688,-2.688,83.734
"2017-05-17 16:23:36.066",83.9174221,25,25.458,95,93.219,17.3,0.705,95,92.917,19.3,0.776,86.769,-2.688,-2.688,83.754
"2017-05-17 16:23:37.024",84.8758341,25,25.457,95,93.213,17.7,0.723,95,92.922,20.2,0.811,86.768,-2.688,-2.688,83.796
"2017-05-17 16:23:38.150",86.0021329,25,25.456,95,93.219,15.5,0.635,95,92.924,21.3,0.741,86.77,-2.688,-2.688,83.782
"2017-05-17 16:23:39.043",86.8946545,25,25.456,95,93.221,17.9,0.723,95,92.927,20,0.811,86.774,-2.688,-2.688,83.795
"2017-05-17 16:23:40.023",87.8746217,25,25.456,95,93.214,14.2,0.582,95,92.926,20.3,0.829,86.776,-2.688,-2.688,83.809
"2017-05-17 16:23:41.156",89.0074925,25,25.456,95,93.229,16.5,0.723,95,92.932,20.3,0.846,86.78,-2.688,-2.688,83.831
"2017-05-17 16:23:41.906",89.7572681,25,25.456,95,93.223,18.1,0.741,95,92.93,20.1,0.776,86.785,-2.688,-2.688,83.842
"2017-05-17 16:23:42.947",90.7985653,25,25.456,95,93.225,17.9,0.723,95,92.936,20.4,0.829,86.789,-2.688,-2.688,83.858
"2017-05-17 16:23:44.125",91.977061,25,25.456,95,93.23,19.9,0.617,95,92.941,20.8,0.846,86.792,-2.688,-2.688,83.878
"2017-05-17 16:23:45.348",93.1994233,25,25.456,95,93.219,19.2,2.064,95,92.944,19.1,0.882,86.799,-2.688,-2.688,83.904
"2017-05-17 16:23:46.025",93.8767838,25,25.456,60,93.258,0,0,60,92.924,0,0,86.804,-2.688,-2.688,83.929
"2017-05-17 16:23:46.786",94.6372978,25,25.456,60,93.043,0,0,60,92.539,0,0,86.808,-2.688,-2.688,83.928
"2017-05-17 16:23:47.558",95.4098401,25,25.456,60,92.409,0,0,60,91.786,0,0,86.794,-2.688,-2.688,83.88
"2017-05-17 16:23:48.245",96.0970924,25,25.456,60,91.344,0,0,60,90.649,0,0,86.762,-2.688,-2.688,83.834
"2017-05-17 16:23:48.932",96.7842248,25,25.456,60,90.265,0,0,60,89.677,0,0,86.618,-2.688,-2.688,83.744
"2017-05-17 16:23:49.726",97.5772245,25,25.456,60,89.116,0,0,60,88.331,0,0,86.507,-2.688,-2.688,83.411
"2017-05-17 16:23:50.477",98.3285656,25,25.456,60,87.782,0,0,60,87.124,0,0,86.203,-2.688,-2.688,83.077
"2017-05-17 16:23:51.158",99.0096833,25,25.456,60,86.608,0,0,60,85.762,0,0,86.012,-2.688,-2.688,82.886
"2017-05-17 16:23:51.851",99.7025478,25,25.456,60,85.446,0,0,60,84.592,0,0,85.547,-2.688,-2.688,82.684
