Protocol file: C:\HelixGen\Protocols\Protocol_short_time_w_pcr.xml
Run date.time: 5/18/2017 12:54:20 PM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2017-05-18 12:54:21.024",0,0,26.326,50,57.841,0,0,50,54.209,0,0,115.145,-2.688,-2.688,97.72
"2017-05-18 12:54:21.814",0.7900846,0,26.326,50,57.507,0,0,50,54.106,0,0,115.161,-2.688,-2.688,97.743
"2017-05-18 12:54:22.536",1.5116568,0,26.338,50,57.089,0,0,50,53.98,0,0,115.164,-2.688,-2.688,97.742
"2017-05-18 12:54:23.219",2.1944068,0,26.35,50,56.113,0,0,50,53.819,9.9,0.458,115.18,-2.688,-2.688,97.749
"2017-05-18 12:54:23.895",2.8709276,0,26.362,50,55.597,0,0,50,53.436,21.5,1.023,115.18,-2.688,-2.688,97.744
"2017-05-18 12:54:24.675",3.65083,0,26.372,50,55.098,0,0,50,53.379,0,0,115.181,-2.688,-2.688,97.742
"2017-05-18 12:54:25.402",4.3775657,0,26.373,50,54.247,76.8,3.387,50,53.705,0,0,115.178,-2.688,-2.688,97.747
"2017-05-18 12:54:25.952",4.9273251,0,26.374,50,54.3,0,0,50,53.783,0,0,115.172,-2.688,-2.688,97.751
"2017-05-18 12:54:26.862",5.8379898,0,26.384,50,55.246,0,0,50,53.806,0,0,115.169,-2.688,-2.688,97.76
"2017-05-18 12:54:27.495",6.4708498,0,26.385,50,57.562,0,0,50,53.929,0,0,115.179,-2.688,-2.688,97.769
"2017-05-18 12:54:28.309",7.2849922,0,26.385,50,57.888,0,0,50,53.978,0,0,115.185,-2.688,-2.688,97.775
"2017-05-18 12:54:28.864",7.8400394,0,26.385,50,57.61,0,0,50,53.939,0,0,115.194,-2.688,-2.688,97.784
"2017-05-18 12:54:29.775",8.7502273,0,26.385,50,57.206,0,0,50,53.843,0,0,115.207,-2.688,-2.688,97.784
"2017-05-18 12:54:30.329",9.3042349,0,26.385,50,56.212,0,0,50,53.524,18.9,0.899,115.214,-2.688,-2.688,97.78
"2017-05-18 12:54:31.005",9.9802076,0,26.385,50,55.699,0,0,50,53.335,23.3,1.111,115.216,-2.688,-2.688,97.777
"2017-05-18 12:54:31.787",10.7629092,0,26.385,50,54.699,98.8,4.64,50,53.223,0,0,115.221,-2.688,-2.688,97.766
"2017-05-18 12:54:32.555",11.5305458,0,26.386,50,54.277,83.7,3.652,50,53.454,0,0,115.213,-2.688,-2.688,97.769
"2017-05-18 12:54:33.231",12.2070571,0,26.385,50,55.399,0,0,50,53.53,0,0,115.207,-2.688,-2.688,97.768
"2017-05-18 12:54:33.908",12.8832045,0,26.386,50,56.891,0,0,50,53.657,0,0,115.212,-2.688,-2.688,97.773
"2017-05-18 12:54:34.691",13.6667172,0,26.386,50,57.896,0,0,50,53.773,0,0,115.215,-2.688,-2.688,97.783
"2017-05-18 12:54:35.415",14.3905495,0,26.386,50,58.289,0,0,50,53.913,0,0,115.218,-2.688,-2.688,97.794
"2017-05-18 12:54:36.091",15.0670727,0,26.386,50,58.015,0,0,50,53.906,0,0,115.233,-2.688,-2.688,97.799
"2017-05-18 12:54:36.799",15.7750712,0,26.385,50,57.096,0,0,50,53.736,0,0,115.24,-2.688,-2.688,97.795
"2017-05-18 12:54:37.539",16.5150906,0,26.385,50,56.555,0,0,50,53.579,11.4,0.529,115.245,-2.688,-2.688,97.8
"2017-05-18 12:54:38.232",17.2079145,0,26.385,50,55.492,0,0,50,53.396,20.9,0.988,115.249,-2.688,-2.688,97.803
"2017-05-18 12:54:38.915",17.8905899,0,26.385,50,54.976,100,4.464,50,53.19,0,0,115.25,-2.688,-2.688,97.803
"2017-05-18 12:54:39.702",18.6775504,0,26.374,50,54.553,81.2,3.528,50,53.318,0,0,115.248,-2.688,-2.688,97.807
"2017-05-18 12:54:40.421",19.3964494,0,26.373,50,55.611,0,0,50,53.652,0,0,115.245,-2.688,-2.688,97.81
"2017-05-18 12:54:40.981",19.956443,0,26.362,50,57.078,0,0,50,53.822,0,0,115.244,-2.688,-2.688,97.804
"2017-05-18 12:54:41.891",20.8665178,0,26.362,50,58.077,0,0,50,53.986,0,0,115.248,-2.688,-2.688,97.823
"2017-05-18 12:54:42.680",21.6557301,0,26.361,50,58.481,0,0,50,54.178,0,0,115.26,-2.688,-2.688,97.834
"2017-05-18 12:54:43.409",22.3843091,0,26.35,50,57.791,0,0,50,54.119,0,0,115.268,-2.688,-2.688,97.85
"2017-05-18 12:54:43.963",22.9384431,0,26.35,50,57.301,0,0,50,54.005,0,0,115.283,-2.688,-2.688,97.849
"2017-05-18 12:54:44.874",23.8491684,0,26.348,50,56.78,0,0,50,53.849,8.1,0.37,115.29,-2.688,-2.688,97.849
"2017-05-18 12:54:45.795",24.7705863,0,26.338,50,55.701,0,0,50,53.465,24.1,0,115.29,-2.688,-2.688,97.835
"2017-05-18 12:54:46.534",25.5094582,0,26.326,50,54.713,100,4.428,50,53.491,0,0,115.286,-2.688,-2.688,97.834
"2017-05-18 12:54:47.217",26.1924151,0,26.326,50,54.405,0,0,50,53.677,0,0,115.277,-2.688,-2.688,97.839
"2017-05-18 12:54:47.899",26.8743943,0,26.323,50,55.443,0,0,50,53.797,0,0,115.276,-2.688,-2.688,97.835
"2017-05-18 12:54:48.687",27.6626077,0,26.314,50,56.768,0,0,50,53.864,0,0,115.267,-2.688,-2.688,97.842
"2017-05-18 12:54:49.406",28.3813856,0,26.313,50,57.977,0,0,50,53.996,0,0,115.27,-2.688,-2.688,97.861
"2017-05-18 12:54:49.954",28.9295077,0,26.302,50,57.923,0,0,50,54.003,0,0,115.281,-2.688,-2.688,97.864
"2017-05-18 12:54:50.870",29.8454847,0,26.302,50,57.643,0,0,50,53.959,0,0,115.287,-2.688,-2.688,97.858
"2017-05-18 12:54:51.509",30.4846508,0,26.29,50,56.74,0,0,50,53.725,5.2,0.229,115.297,-2.688,-2.688,97.859
"2017-05-18 12:54:52.324",31.299503,0,26.29,50,55.716,0,0,50,53.55,16.9,0.794,115.298,-2.688,-2.688,97.854
"2017-05-18 12:54:52.873",31.8484012,0,26.279,50,55.202,0,0,50,53.251,1.5,0.035,115.298,-2.688,-2.688,97.843
"2017-05-18 12:54:53.789",32.7649691,0,26.278,50,54.729,94.5,4.181,50,53.303,0,0,115.282,-2.688,-2.688,97.846
"2017-05-18 12:54:54.337",33.3131379,0,26.271,50,54.362,0,0,50,53.501,0,0,115.287,-2.688,-2.688,97.841
"2017-05-18 12:54:55.015",33.9903918,0,26.266,50,55.344,0,0,50,53.531,0,0,115.286,-2.688,-2.688,97.844
"2017-05-18 12:54:55.801",34.7764599,0,26.266,50,57.704,0,0,50,53.603,0,0,115.28,-2.688,-2.688,97.859
"2017-05-18 12:54:56.520",35.4958644,0,26.266,50,58.085,0,0,50,53.781,0,0,115.282,-2.688,-2.688,97.875
"2017-05-18 12:54:57.198",36.1733619,0,26.255,50,57.765,0,0,50,53.814,0,0,115.296,-2.688,-2.688,97.873
"2017-05-18 12:54:57.880",36.855895,0,26.254,50,57.343,0,0,50,53.726,0,0,115.306,-2.688,-2.688,97.877
"2017-05-18 12:54:58.669",37.6448977,0,26.254,50,56.853,0,0,50,53.606,0,0,115.313,-2.688,-2.688,97.885
"2017-05-18 12:54:59.355",38.330447,0,26.246,50,55.805,0,0,50,53.261,24.8,1.199,115.316,-2.688,-2.688,97.877
"2017-05-18 12:55:00.036",39.0115905,0,26.242,50,55.288,0,0,50,53.09,20.4,0.97,115.316,-2.688,-2.688,97.875
"2017-05-18 12:55:00.814",39.7895828,0,26.242,50,54.376,80.6,3.546,50,53.251,0,0,115.324,-2.688,-2.688,97.872
"2017-05-18 12:55:01.534",40.5093708,0,26.242,50,54.401,0,0,50,53.499,0,0,115.303,-2.688,-2.688,97.868
"2017-05-18 12:55:02.226",41.2017078,0,26.242,50,56.958,0,0,50,53.702,0,0,115.289,-2.688,-2.688,97.87
"2017-05-18 12:55:02.901",41.8771102,0,26.242,50,58.005,0,0,50,54.08,0,0,115.288,-2.688,-2.688,97.885
"2017-05-18 12:55:03.535",42.5104945,0,26.242,50,58.425,0,0,50,54.213,0,0,115.304,-2.688,-2.688,97.894
"2017-05-18 12:55:04.387",43.3630045,0,26.242,50,58.176,0,0,50,54.277,0,0,115.311,-2.688,-2.688,97.9
"2017-05-18 12:55:04.937",43.9125448,0,26.242,50,57.77,0,0,50,54.214,0,0,115.327,-2.688,-2.688,97.903
"2017-05-18 12:55:05.847",44.8225448,0,26.242,50,57.3,0,0,50,54.097,0,0,115.331,-2.688,-2.688,97.904
"2017-05-18 12:55:06.449",45.4247912,0,26.242,50,56.247,0,0,50,53.737,22.8,1.093,115.337,-2.688,-2.688,97.907
"2017-05-18 12:55:07.253",46.2291326,0,26.242,50,55.735,0,0,50,53.548,21.3,1.005,115.333,-2.688,-2.688,97.908
"2017-05-18 12:55:07.802",46.778078,0,26.24,50,54.759,93.2,4.199,50,53.596,0,0,115.333,-2.688,-2.688,97.895
"2017-05-18 12:55:08.526",47.5019583,0,26.234,50,54.366,74.2,3.281,50,53.781,0,0,115.324,-2.688,-2.688,97.896
"2017-05-18 12:55:09.207",48.1826743,0,26.23,50,55.419,0,0,50,53.853,0,0,115.313,-2.688,-2.688,97.896
"2017-05-18 12:55:09.885",48.8602207,0,26.23,50,56.799,0,0,50,53.935,0,0,115.31,-2.688,-2.688,97.905
"2017-05-18 12:55:10.667",49.6424095,0,26.23,50,57.717,0,0,50,54.013,0,0,115.312,-2.688,-2.688,97.905
"2017-05-18 12:55:11.434",50.4097676,95,26.23,50,58.047,0,0,50,54.078,0,0,115.313,-2.688,-2.688,97.917
"2017-05-18 12:55:12.110",51.0859614,0,26.285,50,57.773,0,0,50,54.037,0,0,115.325,-2.688,-2.688,97.917
"2017-05-18 12:55:12.825",51.8002359,0,26.528,50,56.89,0,0,50,53.949,2.2,0.07,115.335,-2.688,-2.688,97.915
"2017-05-18 12:55:13.543",52.5185889,0,26.767,50,56.37,0,0,50,53.637,16.8,0.794,115.335,-2.688,-2.688,97.916
"2017-05-18 12:55:14.231",53.2062575,0,26.955,50,55.348,0,0,50,53.446,22.8,1.076,115.342,-2.688,-2.688,97.909
"2017-05-18 12:55:14.910",53.8857776,0,27.097,50,54.858,98.4,4.428,50,53.338,0,0,115.338,-2.688,-2.688,97.897
"2017-05-18 12:55:15.546",54.5211805,0,27.196,50,54.441,80.6,3.511,50,53.498,0,0,115.325,-2.688,-2.688,97.891
"2017-05-18 12:55:16.402",55.3780777,0,27.259,50,55.54,0,0,50,53.625,0,0,115.321,-2.688,-2.688,97.89
"2017-05-18 12:55:16.952",55.9279348,0,27.33,50,57.016,0,0,50,53.846,0,0,115.316,-2.688,-2.688,97.899
"2017-05-18 12:55:17.868",56.8431996,0,27.356,50,58,0,0,50,53.981,0,0,115.319,-2.688,-2.688,97.919
"2017-05-18 12:55:18.464",57.4398935,0,27.382,50,58.402,0,0,50,54.137,0,0,115.325,-2.688,-2.688,97.916
"2017-05-18 12:55:19.274",58.2499305,0,27.393,50,58.139,0,0,50,54.13,0,0,115.339,-2.688,-2.688,97.92
"2017-05-18 12:55:19.829",58.8043455,0,27.406,50,57.239,0,0,50,53.954,0,0,115.343,-2.688,-2.688,97.92
"2017-05-18 12:55:20.573",59.5481487,0,27.406,50,56.712,0,0,50,53.795,9.5,0.441,115.351,-2.688,-2.688,97.913
"2017-05-18 12:55:21.255",60.2305545,0,27.406,50,55.654,0,0,50,53.606,20.5,0.97,115.354,-2.688,-2.688,97.907
"2017-05-18 12:55:21.937",60.912402,0,27.403,50,55.147,0,0,50,53.366,0,0,115.349,-2.688,-2.688,97.901
"2017-05-18 12:55:22.720",61.6959271,0,27.393,50,54.684,92.1,4.075,50,53.475,0,0,115.339,-2.688,-2.688,97.903
"2017-05-18 12:55:23.439",62.4143194,0,27.393,50,54.35,0,0,50,53.672,0,0,115.336,-2.688,-2.688,97.9
"2017-05-18 12:55:24.121",63.0962904,0,27.381,50,55.316,0,0,50,53.682,0,0,115.327,-2.688,-2.688,97.899
"2017-05-18 12:55:24.845",63.8203024,0,27.378,50,57.54,0,0,50,53.801,0,0,115.324,-2.688,-2.688,97.905
"2017-05-18 12:55:25.595",64.5710565,0,27.369,50,57.888,0,0,50,53.856,0,0,115.325,-2.688,-2.688,97.914
"2017-05-18 12:55:26.272",65.2476811,0,27.357,50,57.566,0,0,50,53.867,0,0,115.331,-2.688,-2.688,97.92
"2017-05-18 12:55:26.953",65.9286605,0,27.356,50,57.156,0,0,50,53.743,0,0,115.336,-2.688,-2.688,97.923
"2017-05-18 12:55:27.739",66.7142429,0,27.346,50,56.684,0,0,50,53.61,3.5,0.141,115.346,-2.688,-2.688,97.922
"2017-05-18 12:55:28.487",67.463114,0,27.344,50,55.66,0,0,50,53.26,23.5,1.129,115.35,-2.688,-2.688,97.91
