Protocol file: C:\HelixGen\Protocols\Protocol_pcr - Pauls.xml,,,,,,,,,,,,,,,
Run date.time: 5/18/2017 2:07:02 PM,,,,,,,,,,,,,,,
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 Amps,TEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
07:03.7,0,25,24.802,25,32.171,0,0,25,32.095,0,0,112.311,-2.688,-2.688,95.087
07:04.7,1.0231208,25,24.802,95,32.406,100,4.587,95,31.992,100,4.675,112.308,-2.688,-2.688,95.072
07:06.2,2.4829598,25,24.802,95,36.456,100,4.358,95,35.868,100,4.411,112.318,-2.688,-2.688,95.118
07:07.2,3.5268375,25,24.802,95,46.557,100,4.146,95,45.205,100,4.217,112.337,-2.688,-2.688,95.228
07:08.0,4.3152089,25,24.802,95,54.357,100,4.022,95,52.299,100,4.075,112.392,-2.688,-2.688,95.311
07:08.8,5.0334088,25,24.802,95,60.865,100,3.934,95,57.808,100,3.97,112.435,-2.688,-2.688,95.578
07:09.3,5.5824695,25,24.802,95,66.695,100,3.846,95,63.635,100,3.881,112.567,-2.688,-2.688,95.722
07:10.2,6.4932757,25,24.802,95,70.736,100,3.793,95,68.668,100,3.811,112.664,-2.688,-2.688,96.147
07:11.0,7.2755806,25,24.802,95,77.72,100,3.705,95,75.937,100,3.723,112.911,-2.688,-2.688,96.405
07:11.7,8.0000652,25,24.802,95,83.584,100,3.617,95,82.045,100,3.687,113.063,-2.688,-2.688,100.045
07:12.3,8.5488601,25,24.802,95,88.469,100,3.564,95,87.135,100,3.599,113.425,-2.688,-2.688,103.78
07:13.2,9.4590004,25,24.802,95,92.477,100,3.511,95,91.235,100,3.564,113.633,-2.688,-2.688,104.479
07:13.8,10.0556,25,24.802,95,97.875,0,0,95,96.388,0,0,113.852,-2.688,-2.688,104.819
07:14.6,10.8665519,25,24.802,95,100.138,0,0,95,99.273,0,0,114.36,-2.688,-2.688,105.565
07:15.1,11.415037,25,24.802,95,101.059,0,0,95,100.801,0,0,114.653,-2.688,-2.688,106.064
07:16.1,12.3382747,25,24.802,95,100.739,17.1,0.67,95,100.704,10.7,0.405,114.941,-2.688,-2.688,106.512
07:16.6,12.8954614,25,24.802,95,99.498,53.6,2.082,95,99.545,61.1,2.329,115.518,-2.688,-2.688,107.3
07:17.4,13.7045556,25,24.802,95,99.025,42.9,1.658,95,98.924,53.8,2.046,115.777,-2.688,-2.688,107.681
07:18.0,14.3018198,25,24.802,95,99.133,0,0,95,98.978,7.5,0.37,116.285,-2.688,-2.688,107.821
07:19.1,15.3458382,25,24.802,95,99.262,26.5,1.058,95,99.128,23.4,0.917,116.519,-2.688,-2.688,108.575
07:19.6,15.898956,25,24.802,95,98.675,55.3,2.117,95,98.688,56.3,2.117,116.965,-2.688,-2.688,109.349
07:20.4,16.7090988,25,24.802,95,98.67,16.2,0.635,95,98.663,28.6,1.111,117.202,-2.688,-2.688,109.586
07:21.1,17.42735,25,24.802,95,99.261,0,0.017,95,99.058,20.3,0.794,117.635,-2.688,-2.688,109.269
