Protocol file: C:\HelixGen\Protocols\Protocol_short_time_w_pcr.xml
Run date.time: 5/19/2017 8:12:04 AM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2017-05-19 08:12:05.421",0,25,25.259,25,30.613,0,0,25,30.634,0,0,112.52,-2.688,-2.688,95.56
"2017-05-19 08:12:06.142",0.721404,0,25.259,25,30.605,0,0,25,30.626,0,0,112.515,-2.688,-2.688,95.562
"2017-05-19 08:12:06.825",1.4037295,0,25.259,25,30.601,0,0,25,30.622,0,0,112.516,-2.688,-2.688,95.558
"2017-05-19 08:12:07.506",2.0854601,0,25.258,25,30.593,0,0,25,30.618,0,0,112.516,-2.688,-2.688,95.56
"2017-05-19 08:12:08.246",2.8250659,0,25.258,25,30.589,0,0,25,30.61,0,0,112.517,-2.688,-2.688,95.558
"2017-05-19 08:12:08.923",3.5021766,0,25.258,25,30.581,0,0,25,30.606,0,0,112.514,-2.688,-2.688,95.56
"2017-05-19 08:12:09.599",4.1776943,0,25.257,25,30.577,0,0,25,30.598,0,0,112.515,-2.688,-2.688,95.555
"2017-05-19 08:12:10.254",4.8333806,0,25.257,25,30.573,0,0,25,30.594,0,0,112.513,-2.688,-2.688,95.558
"2017-05-19 08:12:11.112",5.6907037,0,25.257,25,30.565,0,0,25,30.59,0,0,112.515,-2.688,-2.688,95.561
"2017-05-19 08:12:11.661",6.2402789,0,25.254,25,30.562,0,0,25,30.583,0,0,112.515,-2.688,-2.688,95.56
"2017-05-19 08:12:12.576",7.1555753,0,25.253,25,30.558,0,0,25,30.579,0,0,112.514,-2.688,-2.688,95.556
"2017-05-19 08:12:13.209",7.7880883,0,25.249,25,30.55,0,0,25,30.571,0,0,112.511,-2.688,-2.688,95.556
"2017-05-19 08:12:14.020",8.599448,0,25.248,25,30.546,0,0,25,30.567,0,0,112.513,-2.688,-2.688,95.557
"2017-05-19 08:12:14.575",9.1537993,0,25.248,25,30.538,0,0,25,30.559,0,0,112.51,-2.688,-2.688,95.552
"2017-05-19 08:12:15.500",10.0791729,0,25.248,25,30.534,0,0,25,30.555,0,0,112.513,-2.688,-2.688,95.546
"2017-05-19 08:12:16.053",10.6324232,0,25.248,25,30.526,0,0,25,30.547,0,0,112.509,-2.688,-2.688,95.548
"2017-05-19 08:12:16.731",11.309675,0,25.248,25,30.522,0,0,25,30.543,0,0,112.509,-2.688,-2.688,95.548
"2017-05-19 08:12:17.519",12.0978749,0,25.248,25,30.514,0,0,25,30.535,0,0,112.511,-2.688,-2.688,95.545
"2017-05-19 08:12:18.242",12.8211907,0,25.248,25,30.51,0,0,25,30.531,0,0,112.508,-2.688,-2.688,95.551
"2017-05-19 08:12:18.925",13.5038312,0,25.248,25,30.503,0,0,25,30.527,0,0,112.511,-2.688,-2.688,95.551
"2017-05-19 08:12:19.608",14.187131,0,25.248,25,30.499,0,0,25,30.52,0,0,112.508,-2.688,-2.688,95.543
