Protocol file: C:\HelixGen\Protocols\Protocol_pcr - no optics.xml
Run date.time: 5/19/2017 10:42:38 AM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2017-05-19 10:42:39.746",0,25,25.642,25,37.036,0,0,25,36.993,0,0,-2.688,-2.688,-2.688,37.865
"2017-05-19 10:42:41.076",1.3305643,25,25.642,95,37.537,100,4.446,95,36.881,100,4.658,-2.688,-2.688,-2.688,37.737
"2017-05-19 10:42:42.716",2.9708139,25,25.642,95,44.524,100,4.217,95,42.709,100,4.27,-2.688,-2.688,-2.688,38.261
"2017-05-19 10:42:43.638",3.892007,25,25.642,95,56.415,100,4.005,95,53.295,100,4.093,-2.688,-2.688,-2.688,38.724
"2017-05-19 10:42:44.448",4.7029543,25,25.642,95,62.986,100,3.899,95,59.836,100,3.97,-2.688,-2.688,-2.688,40.043
"2017-05-19 10:42:45.364",5.6188416,25,25.642,95,69.525,100,3.811,95,67.506,100,3.846,-2.688,-2.688,-2.688,41.837
"2017-05-19 10:42:46.147",6.4011202,25,25.642,95,76.622,100,3.723,95,74.212,100,3.758,-2.688,-2.688,-2.688,42.89
"2017-05-19 10:42:47.075",7.329119,25,25.642,95,82.643,100,3.634,95,80.609,100,3.67,-2.688,-2.688,-2.688,45.216
"2017-05-19 10:42:47.760",8.0146006,25,25.642,95,89.731,0,0,95,87.388,100,3.617,-2.688,-2.688,-2.688,47.729
"2017-05-19 10:42:48.564",8.8186745,25,25.642,95,93.606,0,0,95,92.303,0,0,-2.688,-2.688,-2.688,49.049
"2017-05-19 10:42:49.263",9.517857,25,25.642,95,96.876,0,0,95,96.238,0,0,-2.688,-2.688,-2.688,51.79
"2017-05-19 10:42:50.180",10.434337,25,25.642,95,97.49,0,0,95,97.495,0,0,-2.688,-2.688,-2.688,53.177
"2017-05-19 10:42:50.929",11.1833328,25,25.642,95,96.892,16.1,0.652,95,97.235,7.4,0.388,-2.688,-2.688,-2.688,55.809
"2017-05-19 10:42:51.744",11.9984558,25,25.642,95,95.9,32.2,1.305,95,96.098,35.9,1.446,-2.688,-2.688,-2.688,58.153
