Protocol file: C:\HelixGen\Protocols\Protocol_pcr - Pauls.xml,,,,,,,,,,,,,,,
Run date.time: 5/22/2017 10:24:40 AM,,,,,,,,,,,,,,,
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp,
24:41.0,0,25,27.052,25,30.54,0,0,25,30.529,0,0,-2.688,-2.688,-2.688,29.365
24:41.8,0.7665544,25,27.055,95,30.39,0,3.317,95,30.377,0,2.576,-2.688,-2.688,-2.688,29.382
24:43.0,1.9439315,25,27.055,95,31.094,100,4.534,95,30.49,100,4.605,-2.688,-2.688,-2.688,29.452
24:44.0,3.0142183,25,27.055,95,37.332,100,4.322,95,35.838,100,4.411,-2.688,-2.688,-2.688,30.025
24:44.7,3.6964703,25,27.057,95,44.346,100,4.181,95,43.17,100,4.234,-2.688,-2.688,-2.688,31.321
24:45.5,4.5009274,25,27.057,95,50.026,100,4.075,95,48.764,100,4.128,-2.688,-2.688,-2.688,32.195
24:46.3,5.2886842,25,27.056,95,56.361,100,3.97,95,54.98,100,4.005,-2.688,-2.688,-2.688,34.288
24:47.2,6.2213062,25,27.054,95,63.068,100,3.881,95,61.462,100,3.917,-2.688,-2.688,-2.688,36.835
24:48.1,7.093001,25,27.052,95,71.195,100,3.775,95,68.955,100,3.811,-2.688,-2.688,-2.688,39.795
24:49.0,7.9680181,25,27.051,95,77.352,100,3.705,95,76.098,100,3.723,-2.688,-2.688,-2.688,41.415
24:49.7,8.6553208,25,27.051,95,83.894,100,3.617,95,82.82,100,3.652,-2.688,-2.688,-2.688,44.784
24:50.5,9.4663129,25,27.05,95,88.687,100,3.564,95,87.101,100,3.581,-2.688,-2.688,-2.688,46.498
24:51.3,10.2524426,25,27.05,95,93.852,100,3.493,95,93.087,100,3.511,-2.688,-2.688,-2.688,49.905
24:52.2,11.1417628,25,27.05,95,98.734,100,3.44,95,97.481,100,3.458,-2.688,-2.688,-2.688,53.502
24:53.0,11.9681945,25,27.05,95,103.891,100,3.387,95,102.755,100,3.405,-2.688,-2.688,-2.688,55.363
24:53.7,12.6601827,25,27.05,95,108.225,100,3.334,95,107.673,100,3.352,-2.688,-2.688,-2.688,59.166
24:54.5,13.4743186,25,27.05,95,111.812,100,3.281,95,110.804,100,3.317,-2.688,-2.688,-2.688,61.135
24:55.3,14.2685907,25,27.05,95,115.526,0,0,95,114.94,0,0,-2.688,-2.688,-2.688,65.123
24:56.2,15.1896861,25,27.05,95,117.446,0,0,95,117.119,0,0,-2.688,-2.688,-2.688,69.014
24:57.1,16.0630708,25,27.05,95,117.165,80.8,2.893,95,117.044,73.3,2.593,-2.688,-2.688,-2.688,70.743
24:57.8,16.7441573,25,27.05,95,116.542,49.2,1.711,95,116.625,100,3.511,-2.688,-2.688,-2.688,73.7
24:58.6,17.5645184,25,27.05,95,117.102,0,0,95,116.772,20.8,0.741,-2.688,-2.688,-2.688,75.059
24:59.6,18.5929741,25,27.049,95,117.367,56.4,2.046,95,117.239,39.2,1.429,-2.688,-2.688,-2.688,78.877
25:00.5,19.4741274,25,27.049,95,116.68,71.4,2.47,95,116.838,65.7,2.311,-2.688,-2.688,-2.688,79.984
25:01.3,20.2651987,25,27.047,95,117.09,3.7,0.105,95,116.96,20.2,0.705,-2.688,-2.688,-2.688,82.031
25:02.2,21.1757768,25,27.045,95,117.481,28.7,1.058,95,117.279,29.4,1.058,-2.688,-2.688,-2.688,83.995
25:02.9,21.8513917,25,27.04,95,116.875,73.3,2.558,95,116.996,59.2,2.099,-2.688,-2.688,-2.688,84.873
25:03.7,22.6566726,25,27.039,95,116.889,31.6,1.129,95,116.891,40.2,1.411,-2.688,-2.688,-2.688,86.448
25:04.6,23.6095477,25,27.038,95,117.466,6.6,0.229,95,117.236,22.6,0.811,-2.688,-2.688,-2.688,87.963
25:05.5,24.4673406,25,27.038,95,117.078,80.2,2.823,95,117.142,59.2,2.117,-2.688,-2.688,-2.688,88.656
25:06.3,25.255529,25,27.037,95,116.893,40.7,1.446,95,116.966,44.4,1.34,-2.688,-2.688,-2.688,89.913
25:07.4,26.4052393,25,27.037,95,117.448,5.3,0.176,95,117.304,27.3,0.988,-2.688,-2.688,-2.688,91.178
25:08.3,27.3268257,25,27.037,95,117.148,72.9,2.523,95,117.149,59.7,2.135,-2.688,-2.688,-2.688,92.356
25:09.3,28.2430465,25,27.037,95,116.992,24.3,0.864,95,117.053,39.2,1.411,-2.688,-2.688,-2.688,93.437
25:10.3,29.2926822,25,27.037,95,117.59,17,0.635,95,117.379,29.3,1.058,-2.688,-2.688,-2.688,94.531
25:11.2,30.1919569,25,27.037,95,117.071,72.8,2.558,95,117.132,57.8,2.064,-2.688,-2.688,-2.688,95.478
25:12.2,31.1879282,25,27.037,95,117.159,16.8,0.599,95,117.165,28.9,1.041,-2.688,-2.688,-2.688,96.377
25:13.2,32.2318379,25,27.037,95,117.564,0,0,95,117.393,40.2,1.464,-2.688,-2.688,-2.688,97.247
25:14.1,33.1266281,25,27.037,95,116.712,0,0,95,117.119,0,0,-2.688,-2.688,-2.688,97.935
25:14.8,33.818636,25,27.037,95,115.141,0,0,95,116.39,0,0,-2.688,-2.688,-2.688,98.21
25:15.6,34.6287538,25,27.037,95,113.639,0,0,95,115.04,0,0,-2.688,-2.688,-2.688,98.514
25:16.4,35.3527498,25,27.037,95,111.502,0,0,95,113.005,0,0,-2.688,-2.688,-2.688,98.547
25:17.3,36.2744512,25,27.037,95,109.724,0,0,95,111.026,0,0,-2.688,-2.688,-2.688,98.414
25:18.2,37.1905173,25,27.037,95,107.412,30.3,1.182,95,108.389,32.1,1.252,-2.688,-2.688,-2.688,98.057
25:19.2,38.1495684,25,27.037,95,105.675,13.3,0.511,95,106.156,15.8,0.599,-2.688,-2.688,-2.688,97.616
25:20.2,39.1983257,25,27.037,95,104.563,12.5,0.476,95,104.757,16.4,0.635,-2.688,-2.688,-2.688,97.244
25:21.3,40.2425706,25,27.037,95,103.388,25.6,0.899,95,103.494,27.9,1.093,-2.688,-2.688,-2.688,96.837
25:22.3,41.2914617,25,27.038,95,102.61,32.8,1.288,95,102.69,33.1,1.358,-2.688,-2.688,-2.688,96.432
25:23.3,42.3307888,25,27.04,95,102.384,23.3,0.899,95,102.361,25.7,0.988,-2.688,-2.688,-2.688,96.077
25:24.5,43.5073992,25,27.044,95,102.382,24,0.935,95,102.336,29.1,1.129,-2.688,-2.688,-2.688,95.79
25:25.3,44.299954,25,27.049,95,102.224,32.1,1.252,95,102.203,32.3,1.111,-2.688,-2.688,-2.688,95.507
25:26.4,45.3396101,25,27.049,95,102.33,15.9,0.705,95,102.279,20.6,0.794,-2.688,-2.688,-2.688,95.254
25:27.5,46.5119793,25,27.05,95,102.345,30.2,1.182,95,102.271,32.8,1.288,-2.688,-2.688,-2.688,95.028
25:28.3,47.2993665,25,27.05,95,102.235,24.4,0.952,95,102.229,23,0.882,-2.688,-2.688,-2.688,94.802
25:29.5,48.4653065,25,27.05,95,102.413,14.8,0.582,95,102.331,24.1,0.935,-2.688,-2.688,-2.688,94.626
25:30.5,49.5106731,25,27.05,95,102.242,35.8,1.376,95,102.249,31.6,1.217,-2.688,-2.688,-2.688,94.452
25:31.3,50.2971839,25,27.052,95,102.345,10,0.388,95,102.308,18.8,0.935,-2.688,-2.688,-2.688,94.287
25:32.3,51.3354797,25,27.055,95,102.467,25.6,1.005,95,102.35,29.3,1.146,-2.688,-2.688,-2.688,94.175
25:33.3,52.2578018,25,27.058,95,102.203,40.6,1.235,95,102.247,32.8,1.27,-2.688,-2.688,-2.688,94.032
25:34.5,53.4437894,25,27.06,95,102.463,10.2,0.388,95,102.353,22.5,0.846,-2.688,-2.688,-2.688,93.921
25:35.6,54.6177249,25,27.06,95,102.281,49.4,1.905,95,102.311,29.8,1.623,-2.688,-2.688,-2.688,93.775
25:36.6,55.629528,25,27.061,95,102.373,2,0.052,95,102.357,16.8,0.635,-2.688,-2.688,-2.688,93.696
25:37.4,56.3700885,25,27.061,95,102.528,35.6,1.393,95,102.425,26.1,1.058,-2.688,-2.688,-2.688,93.678
25:38.3,57.2950059,25,27.061,95,102.223,46.6,1.782,95,102.302,39.1,1.499,-2.688,-2.688,-2.688,93.605
25:39.2,58.1902412,25,27.062,95,102.365,5.1,0.176,95,102.321,19.7,0.758,-2.688,-2.688,-2.688,93.54
25:40.3,59.2446219,25,27.062,95,102.626,24.4,0.952,95,102.458,30.6,1.182,-2.688,-2.688,-2.688,93.525
25:41.1,60.1188012,25,27.062,95,102.169,49.5,1.464,95,102.277,35.5,1.358,-2.688,-2.688,-2.688,93.449
25:42.2,61.2105546,25,27.062,95,102.477,2.3,0.07,95,102.427,15.5,0.582,-2.688,-2.688,-2.688,93.433
25:43.1,62.1059996,25,27.062,95,102.547,40.1,1.552,95,102.468,35.2,1.358,-2.688,-2.688,-2.688,93.439
25:43.8,62.7865671,25,27.062,95,102.156,33,1.252,95,102.268,35.5,1.358,-2.688,-2.688,-2.688,93.376
25:44.6,63.5964847,25,27.062,95,102.522,0,0,95,102.406,15.2,0.564,-2.688,-2.688,-2.688,93.352
25:45.6,64.6363399,25,27.062,95,102.659,35.8,1.393,95,102.498,30.6,1.182,-2.688,-2.688,-2.688,93.366
25:46.4,65.3758489,25,27.062,95,102.168,44.4,1.693,95,102.283,38.7,1.429,-2.688,-2.688,-2.688,93.333
25:47.4,66.4248175,25,27.062,95,102.536,0,0,95,102.425,15.7,0.599,-2.688,-2.688,-2.688,93.297
25:48.6,67.596538,25,27.062,95,102.707,32,1.623,95,102.487,37,1.429,-2.688,-2.688,-2.688,93.334
25:49.4,68.3742259,25,27.066,95,102.216,22.9,0.864,95,102.307,30.1,1.111,-2.688,-2.688,-2.688,93.28
25:50.4,69.4228384,25,27.069,95,102.616,0,0,95,102.571,12.5,0.458,-2.688,-2.688,-2.688,93.284
25:51.6,70.6000962,25,27.071,95,102.645,44.9,1.746,95,102.443,45.4,1.729,-2.688,-2.688,-2.688,93.302
25:52.7,71.6714098,25,27.073,95,102.457,0,0,95,102.459,16.6,0.635,-2.688,-2.688,-2.688,93.253
25:53.8,72.8377494,25,27.074,95,102.848,100,3.634,95,102.68,100,3.705,-2.688,-2.688,-2.688,93.311
25:54.7,73.6526316,25,27.073,95,103.429,100,3.493,95,102.958,100,3.546,-2.688,-2.688,-2.688,93.355
25:55.4,74.3866456,25,27.07,95,106.148,100,3.423,95,105.069,100,3.458,-2.688,-2.688,-2.688,93.532
25:56.3,75.3088114,25,27.065,95,108.705,100,3.37,95,107.922,100,3.405,-2.688,-2.688,-2.688,94.269
25:57.2,76.2243778,25,27.062,95,113.489,0,0,95,112.172,31.9,2.434,-2.688,-2.688,-2.688,95.392
25:58.1,77.0709387,25,27.062,95,117.117,0,0,95,116.213,0,0,-2.688,-2.688,-2.688,96.086
25:58.8,77.7478451,25,27.062,95,118.11,0,0,95,117.889,0,0,-2.688,-2.688,-2.688,97.447
25:59.6,78.5727054,25,27.062,95,117.712,58.5,2.135,95,117.649,52.4,1.905,-2.688,-2.688,-2.688,98.01
26:00.4,79.3620647,25,27.062,95,116.886,63.3,2.223,95,116.868,57.1,2.011,-2.688,-2.688,-2.688,98.826
26:01.3,80.2549755,25,27.062,95,117.208,0,0,95,117.16,3.7,0.105,-2.688,-2.688,-2.688,99.55
26:02.1,81.1290314,25,27.062,95,117.746,16.4,0.652,95,117.501,30.1,1.111,-2.688,-2.688,-2.688,99.924
26:02.8,81.8167529,25,27.062,95,117.077,73.3,2.593,95,117.009,63.2,2.24,-2.688,-2.688,-2.688,100.48
