Protocol file: C:\HelixGen\Protocols\Protocol_pcr - Pauls.xml,,,,,,,,,,,,,,,
Run date.time: 5/22/2017 4:02:26 PM,,,,,,,,,,,,,,,
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp,
02:27.2,0,0,26.553,90,34.617,0,0,90,34.626,0,0,-2.688,-2.688,-2.688,35.116
02:28.4,1.1785465,0,26.553,95,34.499,0,0,90,34.521,0,0,-2.688,-2.688,-2.688,35.031
02:29.7,2.5208638,0,26.553,95,34.858,100,4.375,90,34.451,100,4.728,-2.688,-2.688,-2.688,34.939
02:30.7,3.4366933,0,26.553,95,40.071,100,4.287,95,37.259,100,4.411,-2.688,-2.688,-2.688,35.156
02:31.3,4.1191341,0,26.553,95,46.295,100,4.146,95,43.174,100,4.252,-2.688,-2.688,-2.688,35.45
02:32.2,4.9339604,0,26.553,95,51.633,100,4.058,95,48.749,100,4.146,-2.688,-2.688,-2.688,36.482
02:32.8,5.6107635,0,26.553,95,58.024,100,3.952,95,55.236,100,4.022,-2.688,-2.688,-2.688,37.254
02:33.7,6.5231743,0,26.553,95,63.835,100,3.864,95,61.108,100,3.934,-2.688,-2.688,-2.688,39.227
02:34.7,7.4422358,0,26.553,95,71.222,100,3.775,95,68.883,100,3.828,-2.688,-2.688,-2.688,41.732
02:35.3,8.1292605,0,26.553,95,78.283,100,3.687,95,76.318,100,3.723,-2.688,-2.688,-2.688,43.173
02:36.2,8.9436494,0,26.553,95,83.512,100,3.617,95,81.836,100,3.652,-2.688,-2.688,-2.688,46.264
02:36.8,9.6209099,0,26.553,95,89.219,100,3.546,95,87.845,100,3.581,-2.688,-2.688,-2.688,47.868
02:37.7,10.5302685,0,26.553,95,93.932,100,3.493,95,92.798,100,3.528,-2.688,-2.688,-2.688,51.129
02:38.7,11.4465513,0,26.553,95,99.682,100,3.423,95,98.766,100,3.458,-2.688,-2.688,-2.688,54.511
02:39.4,12.1325232,0,26.553,95,105.075,100,3.37,95,104.308,100,3.387,-2.688,-2.688,-2.688,56.262
02:40.2,12.9432034,0,26.553,95,109.04,100,3.317,95,108.381,100,3.352,-2.688,-2.688,-2.688,59.819
02:40.8,13.6208796,0,26.553,95,113.318,0,0,95,112.545,54,1.852,-2.688,-2.688,-2.688,61.643
02:41.8,14.5358734,0,26.552,95,116.456,0,0,95,115.88,0,0,-2.688,-2.688,-2.688,65.337
02:42.7,15.4567614,0,26.552,95,117.997,0,0,95,117.669,0,0,-2.688,-2.688,-2.688,68.785
02:43.4,16.1809843,0,26.55,95,117.155,88,3.07,95,117.141,83,2.946,-2.688,-2.688,-2.688,70.298
02:44.2,16.9965584,0,26.549,95,116.644,52.6,1.835,95,116.637,52.1,1.817,-2.688,-2.688,-2.688,72.925
02:44.9,17.6735297,0,26.55,95,117.339,0,0,95,117.14,0,0,-2.688,-2.688,-2.688,74.168
02:45.9,18.7216035,0,26.55,95,117.686,16.7,0.617,95,117.342,52.4,1.958,-2.688,-2.688,-2.688,76.572
02:46.9,19.6378519,0,26.552,95,116.809,80.6,2.77,95,116.77,63.9,2.205,-2.688,-2.688,-2.688,78.713
02:47.9,20.6642046,0,26.552,95,117.063,0,0,95,117.106,11.3,0.388,-2.688,-2.688,-2.688,80.662
02:48.9,21.7150702,0,26.552,95,117.527,45.9,2.117,95,117.229,65.1,2.346,-2.688,-2.688,-2.688,82.517
02:49.8,22.6301001,0,26.552,95,116.777,67.8,2.311,95,116.88,50.1,1.782,-2.688,-2.688,-2.688,84.167
02:50.9,23.6512647,0,26.552,95,117.301,0,0,95,117.257,19,0.688,-2.688,-2.688,-2.688,85.7
02:51.8,24.5646056,0,26.551,95,117.532,53,1.94,95,117.27,47,2.082,-2.688,-2.688,-2.688,87.195
02:52.8,25.5687074,0,26.552,95,116.815,62.2,2.187,95,116.978,43.6,1.552,-2.688,-2.688,-2.688,88.59
02:53.8,26.613648,0,26.552,95,117.529,0,0,95,117.362,17.6,0.635,-2.688,-2.688,-2.688,89.934
02:54.9,27.6633898,0,26.55,95,117.295,67.1,2.752,95,117.18,61.1,1.976,-2.688,-2.688,-2.688,91.2
02:55.8,28.5790237,0,26.549,95,116.935,22.9,0.811,95,117.089,36.8,1.323,-2.688,-2.688,-2.688,92.343
02:56.8,29.6170675,0,26.547,95,117.676,7.2,0.247,95,117.45,27.3,1.005,-2.688,-2.688,-2.688,93.449
02:57.8,30.5391013,0,26.545,95,117.195,75.7,2.681,95,117.19,56.2,2.011,-2.688,-2.688,-2.688,94.438
02:58.9,31.688237,0,26.545,95,117.219,3.8,0.123,95,117.218,22.8,0.811,-2.688,-2.688,-2.688,95.331
02:59.8,32.597991,0,26.544,95,117.702,0,0,95,117.472,0,0,-2.688,-2.688,-2.688,96.192
03:00.7,33.5208474,0,26.543,95,116.809,0,0,95,116.887,0,0,-2.688,-2.688,-2.688,96.904
03:01.5,34.2394317,0,26.543,95,115.077,0,0,95,115.316,0,0,-2.688,-2.688,-2.688,97.168
03:02.3,35.0538748,0,26.543,95,113.422,0,0,95,113.419,0,0,-2.688,-2.688,-2.688,97.467
03:03.1,35.8695687,0,26.545,95,111.353,0,0,95,111.305,0,0,-2.688,-2.688,-2.688,97.51
03:04.1,36.8818395,0,26.547,95,108.977,22,1.358,95,108.582,25,0.988,-2.688,-2.688,-2.688,97.409
03:04.8,37.6273296,0,26.548,95,106.524,26.1,0.864,95,106.377,22,0.846,-2.688,-2.688,-2.688,97.11
03:06.0,38.7977855,0,26.548,95,105.363,7,0.264,95,105.022,10.2,0.546,-2.688,-2.688,-2.688,96.748
03:07.3,40.0932216,0,26.548,95,103.875,22.3,0.882,95,103.699,24.5,0.952,-2.688,-2.688,-2.688,96.213
03:08.1,40.9080269,0,26.544,95,102.981,21.9,0.864,95,102.916,27.6,1.041,-2.688,-2.688,-2.688,96.019
03:09.1,41.8763502,0,26.543,95,102.552,28.2,1.111,95,102.437,30.7,1.199,-2.688,-2.688,-2.688,95.645
03:10.1,42.8847974,0,26.544,95,102.392,22.2,0.864,95,102.377,17.3,0.67,-2.688,-2.688,-2.688,95.307
