Protocol file: C:\HelixGen\Protocols\Protocol_pcr - Pauls.xml,,,,,,,,,,,,,,,
Run date.time: 5/22/2017 4:41:01 PM,,,,,,,,,,,,,,,
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp,
41:02.2,0,0,26.491,90,32.279,0,0,90,32.314,0,0,-2.688,-2.688,-2.688,32.417
41:03.7,1.4408943,0,26.493,95,32.208,0,0,90,32.27,0,0,-2.688,-2.688,-2.688,32.347
41:04.8,2.5544748,0,26.493,95,33.438,100,3.034,95,32.271,100,4.728,-2.688,-2.688,-2.688,32.323
41:05.6,3.4121481,0,26.493,95,38.565,100,4.322,95,34.342,100,4.464,-2.688,-2.688,-2.688,32.515
41:06.4,4.2274104,0,26.493,95,44.148,100,4.181,95,39.997,100,4.305,-2.688,-2.688,-2.688,32.799
41:07.1,4.9093249,0,26.494,95,50.989,100,4.075,95,46.488,100,4.164,-2.688,-2.688,-2.688,33.796
41:08.0,5.816478,0,26.496,95,56.479,100,3.987,95,53.123,100,4.058,-2.688,-2.688,-2.688,35.424
41:08.9,6.7309811,0,26.501,95,63.02,100,3.881,95,59.802,100,3.934,-2.688,-2.688,-2.688,36.473
41:09.7,7.5349585,0,26.504,95,71.103,100,3.775,95,67.616,100,3.828,-2.688,-2.688,-2.688,38.984
41:10.6,8.4287852,0,26.505,95,77.292,100,3.705,95,74.308,100,3.758,-2.688,-2.688,-2.688,42.048
41:11.5,9.2861254,0,26.505,95,83.916,100,3.617,95,81.394,100,3.67,-2.688,-2.688,-2.688,43.74
41:12.2,9.9783316,0,26.505,95,89.503,100,3.546,95,88.065,100,3.581,-2.688,-2.688,-2.688,47.225
41:13.0,10.8249559,0,26.505,95,94.159,100,3.493,95,92.973,100,3.528,-2.688,-2.688,-2.688,50.756
41:14.0,11.7409741,0,26.505,95,99.167,100,3.423,95,98.232,100,3.458,-2.688,-2.688,-2.688,52.537
41:14.7,12.5280026,0,26.505,95,105.049,100,3.37,95,103.717,100,3.387,-2.688,-2.688,-2.688,56.128
41:15.6,13.4285161,0,26.505,95,108.954,100,3.317,95,108.285,100,3.334,-2.688,-2.688,-2.688,59.805
41:16.5,14.2851941,0,26.505,95,113.694,42.4,1.411,95,113.085,100,3.299,-2.688,-2.688,-2.688,61.671
41:17.2,14.9702048,0,26.505,95,117.87,0,0,95,116.845,0,0,-2.688,-2.688,-2.688,65.473
41:18.0,15.8212923,0,26.505,95,119.512,0,0,95,119.147,0,0,-2.688,-2.688,-2.688,69.259
41:18.8,16.6134191,0,26.505,95,119.431,67.4,2.399,95,119.247,65.5,2.47,-2.688,-2.688,-2.688,70.977
41:19.8,17.5403879,0,26.505,95,118.58,72.8,2.47,95,118.562,77.9,2.664,-2.688,-2.688,-2.688,73.943
41:20.8,18.5974003,0,26.505,95,119.184,0,0,95,119.071,6.5,0.211,-2.688,-2.688,-2.688,76.603
41:21.7,19.5213873,0,26.506,95,119.498,42.4,1.817,95,119.224,60.2,2.17,-2.688,-2.688,-2.688,79.084
41:22.6,20.4203454,0,26.506,95,118.664,66.3,2.276,95,118.714,62.7,2.187,-2.688,-2.688,-2.688,81.238
41:23.4,21.2356775,0,26.506,95,119.161,0,0,95,119.124,11.7,0.405,-2.688,-2.688,-2.688,82.245
41:24.1,21.918831,0,26.507,95,119.607,37.8,1.393,95,119.311,42.4,1.535,-2.688,-2.688,-2.688,84.185
41:25.0,22.8282178,0,26.508,95,118.941,0,0,95,118.89,0,0,-2.688,-2.688,-2.688,85.9
41:26.0,23.7503415,0,26.507,95,118.085,0,0,95,117.918,0,0,-2.688,-2.688,-2.688,86.654
41:26.9,24.6717751,0,26.505,95,116.079,0,0,95,116.014,0,0,-2.688,-2.688,-2.688,87.911
41:27.7,25.4482149,0,26.505,95,113.703,0,0,95,113.614,0,0,-2.688,-2.688,-2.688,88.864
41:28.5,26.3000852,0,26.505,95,111.411,0,0,95,111.313,0,0,-2.688,-2.688,-2.688,89.223
41:29.2,26.9942052,0,26.505,95,109.114,37.8,1.535,95,108.759,35,1.34,-2.688,-2.688,-2.688,89.713
