Protocol file: C:\HelixGen\Protocols\Protocol_pcr - Pauls.xml,,,,,,,,,,,,,,,
Run date.time: 5/22/2017 4:52:11 PM,,,,,,,,,,,,,,,
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp,
52:11.8,0,0,26.604,90,27.946,0,0,90,27.98,0,0,-2.688,-2.688,-2.688,27.82
52:13.2,1.4117161,0,26.609,95,27.929,0,0,90,27.969,0,0,-2.688,-2.688,-2.688,27.805
52:14.3,2.5141774,0,26.611,95,29.652,100,4.622,95,28.122,100,4.764,-2.688,-2.688,-2.688,27.832
52:15.2,3.4254736,0,26.613,95,35.09,100,4.358,95,30.7,100,4.517,-2.688,-2.688,-2.688,28.118
52:16.2,4.3399628,0,26.613,95,41.496,100,4.234,95,36.725,100,4.34,-2.688,-2.688,-2.688,28.455
52:16.9,5.1236961,0,26.613,95,48.538,100,4.111,95,43.443,100,4.199,-2.688,-2.688,-2.688,29.539
52:17.8,6.0011815,0,26.613,95,54.72,100,4.005,95,50.36,100,4.093,-2.688,-2.688,-2.688,31.183
52:18.6,6.811456,0,26.609,95,61.21,100,3.917,95,57.721,100,3.97,-2.688,-2.688,-2.688,32.241
52:19.3,7.4938365,0,26.605,95,67.734,100,3.811,95,64.592,100,3.864,-2.688,-2.688,-2.688,34.756
52:20.2,8.4047064,0,26.601,95,73.243,100,3.74,95,71.288,100,3.793,-2.688,-2.688,-2.688,37.826
52:21.2,9.3259808,0,26.601,95,79.943,100,3.652,95,77.713,100,3.705,-2.688,-2.688,-2.688,39.544
52:21.9,10.0708002,0,26.601,95,86.958,100,3.581,95,84.508,100,3.617,-2.688,-2.688,-2.688,43.181
52:22.8,10.9539693,0,26.601,95,91.61,100,3.528,95,90.149,100,3.564,-2.688,-2.688,-2.688,46.937
52:23.5,11.6367855,0,26.601,95,97.254,100,3.458,95,95.45,100,3.493,-2.688,-2.688,-2.688,48.82
52:24.3,12.4420188,0,26.601,95,101.402,100,3.405,95,99.811,100,3.44,-2.688,-2.688,-2.688,52.564
52:25.2,13.3565359,0,26.601,95,105.891,100,3.352,95,105.006,100,3.37,-2.688,-2.688,-2.688,54.446
