Protocol file: C:\HelixGen\Protocols\Protocol_pcr - Pauls.xml
Run date.time: 5/22/2017 5:07:26 PM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2017-05-22 17:07:27.194",0,0,26.462,90,26.196,0,0,90,26.225,0,0,-2.688,-2.688,-2.688,26.122
"2017-05-22 17:07:28.494",1.2994636,0,26.467,95,26.193,0,4.658,90,26.221,0,0,-2.688,-2.688,-2.688,26.123
"2017-05-22 17:07:29.517",2.3228777,0,26.468,95,27.552,100,4.64,95,26.361,100,4.764,-2.688,-2.688,-2.688,26.14
"2017-05-22 17:07:30.429",3.2341546,0,26.469,95,32.844,100,4.411,95,28.466,100,4.534,-2.688,-2.688,-2.688,26.388
"2017-05-22 17:07:31.350",4.1552892,0,26.469,95,39.357,100,4.27,95,34.249,100,4.375,-2.688,-2.688,-2.688,27.248
"2017-05-22 17:07:32.261",5.0665956,0,26.469,95,46.563,100,4.128,95,41.745,100,4.217,-2.688,-2.688,-2.688,28.791
"2017-05-22 17:07:33.100",5.9060638,0,26.469,95,53.587,100,4.022,95,50.397,100,4.093,-2.688,-2.688,-2.688,29.789
"2017-05-22 17:07:33.787",6.5930556,0,26.469,95,60.789,100,3.917,95,56.863,100,3.97,-2.688,-2.688,-2.688,32.194
"2017-05-22 17:07:34.593",7.3982938,0,26.469,95,65.74,100,3.846,95,62.762,100,3.899,-2.688,-2.688,-2.688,33.596
"2017-05-22 17:07:35.376",8.1812665,0,26.469,95,72.037,100,3.758,95,70.335,100,3.793,-2.688,-2.688,-2.688,36.739
"2017-05-22 17:07:36.296",9.1016913,0,26.469,95,78.035,100,3.687,95,75.946,100,3.723,-2.688,-2.688,-2.688,40.255
"2017-05-22 17:07:37.216",10.0220427,0,26.469,95,84.416,100,3.599,95,82.725,100,3.634,-2.688,-2.688,-2.688,43.957
"2017-05-22 17:07:37.894",10.6993964,0,26.469,95,91.031,100,3.528,95,89.083,100,3.564,-2.688,-2.688,-2.688,45.856
"2017-05-22 17:07:38.715",11.5203949,0,26.469,95,94.825,100,3.476,95,93.713,100,3.511,-2.688,-2.688,-2.688,49.652
"2017-05-22 17:07:39.412",12.217614,0,26.469,95,100.198,100,3.423,95,98.697,100,3.44,-2.688,-2.688,-2.688,51.58
"2017-05-22 17:07:40.333",13.1382291,0,26.469,95,104.12,100,3.37,95,102.764,100,3.405,-2.688,-2.688,-2.688,55.468
"2017-05-22 17:07:41.251",14.0564865,0,26.469,95,108.923,100,3.317,95,107.7,100,3.334,-2.688,-2.688,-2.688,59.459
"2017-05-22 17:07:42.122",14.9279345,0,26.469,95,113.418,100,3.264,95,112.312,100,3.281,-2.688,-2.688,-2.688,61.483
"2017-05-22 17:07:42.807",15.6121781,0,26.469,95,117.653,100,3.211,95,116.647,100,3.246,-2.688,-2.688,-2.688,65.617
"2017-05-22 17:07:45.749",18.554323,0,26.469,95,121.174,0,0,95,121.31,0,0,-2.688,-2.688,-2.688,77.675
"2017-05-22 17:07:48.198",21.0037088,0,26.469,95,119.2,100,3.493,95,118.65,100,3.476,-2.688,-2.688,-2.688,83.273
"2017-05-22 17:07:48.877",21.68218,0,26.469,95,116.559,100,3.334,95,116.877,100,3.352,-2.688,-2.688,-2.688,84.005
"2017-05-22 17:07:49.684",22.4900294,0,26.469,95,117.392,100,3.281,95,117.744,100,3.299,-2.688,-2.688,-2.688,85.574
"2017-05-22 17:07:50.671",23.4768651,0,26.47,95,119.951,100,3.228,95,119.856,100,0,-2.688,-2.688,-2.688,87.459
"2017-05-22 17:07:54.435",27.240128,0,26.47,95,123.774,100,0,95,122.252,100,0,-2.688,-2.688,-2.688,93.776
"2017-05-22 17:07:55.358",28.1636473,0,26.469,95,116.883,0,0,95,116.715,0,0,-2.688,-2.688,-2.688,94.67
"2017-05-22 17:07:56.272",29.0775937,0,26.469,95,114.059,0,0,95,114.137,0,0,-2.688,-2.688,-2.688,95.033
"2017-05-22 17:07:57.150",29.9551763,0,26.469,95,111.288,40.6,1.57,95,111.394,39,1.499,-2.688,-2.688,-2.688,95.081
"2017-05-22 17:07:57.837",30.6429591,0,26.469,95,108.94,28.9,1.093,95,108.97,30.4,1.005,-2.688,-2.688,-2.688,95.013
"2017-05-22 17:07:58.653",31.4585127,0,26.469,95,108.05,6.9,0.247,95,107.974,12.6,0.441,-2.688,-2.688,-2.688,94.966
"2017-05-22 17:07:59.670",32.4754423,0,26.469,95,107.018,29.7,1.146,95,106.904,25.2,0.97,-2.688,-2.688,-2.688,94.893
"2017-05-22 17:08:00.426",33.2317477,0,26.468,95,105.972,40.3,1.552,95,105.914,37,1.429,-2.688,-2.688,-2.688,94.853
"2017-05-22 17:08:01.355",34.1607013,0,26.465,95,105.557,34.2,1.305,95,105.419,40.9,1.57,-2.688,-2.688,-2.688,94.759
"2017-05-22 17:08:02.528",35.3340461,0,26.457,95,105.391,21.3,0.811,95,105.332,18.7,0.705,-2.688,-2.688,-2.688,94.735
"2017-05-22 17:08:03.450",36.2553468,0,26.457,95,105.289,36.7,1.411,95,105.22,36,1.446,-2.688,-2.688,-2.688,94.759
"2017-05-22 17:08:04.471",37.2761443,0,26.457,95,105.168,25.8,0.988,95,105.133,31.3,1.023,-2.688,-2.688,-2.688,94.773
"2017-05-22 17:08:05.522",38.3277606,0,26.451,95,105.35,18.9,0.935,95,105.252,30.5,1.182,-2.688,-2.688,-2.688,94.822
"2017-05-22 17:08:06.432",39.2377226,0,26.445,95,105.191,36.2,1.376,95,105.169,32.7,1.323,-2.688,-2.688,-2.688,94.823
"2017-05-22 17:08:07.476",40.2812762,0,26.445,95,105.188,16.6,0.635,95,105.194,26.2,1.005,-2.688,-2.688,-2.688,94.788
"2017-05-22 17:08:08.520",41.3255321,0,26.445,95,105.382,26.6,1.023,95,105.275,28.3,1.429,-2.688,-2.688,-2.688,94.765
"2017-05-22 17:08:09.436",42.2420525,0,26.445,95,105.137,33.1,1.252,95,105.177,32.3,1.235,-2.688,-2.688,-2.688,94.718
"2017-05-22 17:08:10.475",43.2804249,0,26.445,95,105.348,13.6,0.511,95,105.303,20.4,0.776,-2.688,-2.688,-2.688,94.715
"2017-05-22 17:08:11.519",44.3247452,0,26.447,95,105.309,40,1.746,95,105.265,37,1.411,-2.688,-2.688,-2.688,94.742
"2017-05-22 17:08:12.440",45.2453152,0,26.452,95,105.162,25,0.952,95,105.205,29.7,1.076,-2.688,-2.688,-2.688,94.742
"2017-05-22 17:08:13.482",46.2877098,0,26.452,95,105.49,12.1,0.458,95,105.358,23.2,0.882,-2.688,-2.688,-2.688,94.785
"2017-05-22 17:08:14.393",47.198608,0,26.454,95,105.244,46.6,1.764,95,105.269,35.1,1.323,-2.688,-2.688,-2.688,94.815
"2017-05-22 17:08:15.442",48.2479897,0,26.457,95,105.279,17.2,0.652,95,105.267,23.2,0.846,-2.688,-2.688,-2.688,94.823
"2017-05-22 17:08:16.739",49.5448358,0,26.457,95,105.5,26.5,1.023,95,105.37,36.1,1.376,-2.688,-2.688,-2.688,94.906
"2017-05-22 17:08:17.435",50.2402904,0,26.457,95,105.158,30.7,1.146,95,105.215,39.2,1.482,-2.688,-2.688,-2.688,94.902
"2017-05-22 17:08:18.351",51.1566012,0,26.457,95,105.411,6.9,0.247,95,105.337,22.6,0.864,-2.688,-2.688,-2.688,94.917
"2017-05-22 17:08:19.271",52.0763933,0,26.457,95,105.485,42.1,1.623,95,105.411,35,1.323,-2.688,-2.688,-2.688,94.96
"2017-05-22 17:08:19.953",52.758725,0,26.457,95,105.13,42.4,1.588,95,105.237,37.3,1.411,-2.688,-2.688,-2.688,94.952
"2017-05-22 17:08:20.892",53.697126,0,26.457,95,105.454,2.4,0.07,95,105.348,18.4,0.635,-2.688,-2.688,-2.688,94.957
"2017-05-22 17:08:21.822",54.6279988,0,26.457,95,105.564,37.1,1.552,95,105.444,33.7,1.27,-2.688,-2.688,-2.688,95.012
"2017-05-22 17:08:22.632",55.4375946,0,26.457,95,105.154,48.7,1.817,95,105.255,42.2,1.588,-2.688,-2.688,-2.688,95.012
"2017-05-22 17:08:23.686",56.4918936,0,26.457,95,105.374,3.4,0.105,95,105.411,14.1,0.582,-2.688,-2.688,-2.688,95.002
"2017-05-22 17:08:24.448",57.2533361,0,26.46,95,105.57,41.3,1.588,95,105.477,33.6,1.27,-2.688,-2.688,-2.688,95.065
"2017-05-22 17:08:25.361",58.1661921,0,26.462,95,105.192,54.1,2.029,95,105.282,40.9,1.535,-2.688,-2.688,-2.688,95.063
"2017-05-22 17:08:26.273",59.0790288,0,26.464,95,105.455,0,0,95,105.367,18,0.688,-2.688,-2.688,-2.688,95.072
"2017-05-22 17:08:27.323",60.1284035,0,26.466,95,105.724,26.8,1.041,95,105.532,34.1,1.305,-2.688,-2.688,-2.688,95.13
"2017-05-22 17:08:28.196",61.0014823,0,26.465,95,105.144,53.5,1.729,95,105.258,44.4,1.676,-2.688,-2.688,-2.688,95.121
"2017-05-22 17:08:29.245",62.0509973,0,26.466,95,105.534,0,0,95,105.497,11.6,0.423,-2.688,-2.688,-2.688,95.139
"2017-05-22 17:08:30.129",62.9343953,0,26.466,95,105.699,48.6,1.887,95,105.513,37.6,1.429,-2.688,-2.688,-2.688,95.174
"2017-05-22 17:08:30.822",63.627282,0,26.466,95,105.16,47.5,1.711,95,105.28,37.4,1.411,-2.688,-2.688,-2.688,95.156
"2017-05-22 17:08:31.781",64.5863775,0,26.469,95,105.451,0,0,95,105.443,16.3,0.617,-2.688,-2.688,-2.688,95.171
"2017-05-22 17:08:33.340",66.1460346,0,26.469,95,105.853,100,3.67,95,105.525,100,3.723,-2.688,-2.688,-2.688,95.236
"2017-05-22 17:08:34.347",67.1530389,0,26.469,95,106.545,100,0.176,95,106.077,19.6,0.723,-2.688,-2.688,-2.688,95.318
"2017-05-22 17:08:35.269",68.0745168,0,26.469,95,106.852,0,0,95,107.058,0,0,-2.688,-2.688,-2.688,95.513
"2017-05-22 17:08:36.135",68.9410787,0,26.469,95,106.495,53.7,2.046,95,106.765,45.6,1.746,-2.688,-2.688,-2.688,95.574
"2017-05-22 17:08:36.813",69.6189251,0,26.469,95,106.024,38.3,1.376,95,106.065,45.7,1.693,-2.688,-2.688,-2.688,95.561
"2017-05-22 17:08:37.618",70.423344,0,26.469,95,106.399,0,0,95,106.288,1.5,0.035,-2.688,-2.688,-2.688,95.568
"2017-05-22 17:08:38.400",71.2060878,0,26.47,95,106.749,16.4,0.723,95,106.577,31.9,1.217,-2.688,-2.688,-2.688,95.699
"2017-05-22 17:08:39.354",72.1599993,0,26.477,95,106.245,66.7,2.487,95,106.181,56.5,2.117,-2.688,-2.688,-2.688,95.728
"2017-05-22 17:08:40.392",73.1976439,0,26.481,95,106.133,1.4,0.035,95,106.285,5.2,0.176,-2.688,-2.688,-2.688,95.727
"2017-05-22 17:08:41.446",74.2518929,0,26.481,95,106.803,8.8,0.335,95,106.497,37.1,1.411,-2.688,-2.688,-2.688,95.824
"2017-05-22 17:08:42.362",75.1679537,0,26.481,95,106.164,62.6,2.187,95,106.12,42.5,1.588,-2.688,-2.688,-2.688,95.813
"2017-05-22 17:08:43.411",76.2170864,0,26.481,95,106.309,0,0,95,106.378,8.7,0.317,-2.688,-2.688,-2.688,95.839
"2017-05-22 17:08:44.306",77.1116831,0,26.481,95,106.792,20.9,0.811,95,106.452,38.7,1.482,-2.688,-2.688,-2.688,95.913
"2017-05-22 17:08:45.179",77.9843053,0,26.481,95,106.141,58.5,2.187,95,106.193,38.9,1.429,-2.688,-2.688,-2.688,95.902
"2017-05-22 17:08:45.866",78.6717459,0,26.481,95,106.409,0,0,95,106.384,13.4,0.494,-2.688,-2.688,-2.688,95.885
"2017-05-22 17:08:47.047",79.8529365,0,26.482,60,106.853,0,0,60,106.483,0,0,-2.688,-2.688,-2.688,95.994
"2017-05-22 17:08:47.858",80.6636844,0,26.481,60,106.271,0,0,60,105.928,0,0,-2.688,-2.688,-2.688,95.872
"2017-05-22 17:08:48.669",81.4747732,0,26.481,60,105.195,0,0,60,104.799,0,0,-2.688,-2.688,-2.688,95.717
