Protocol file: C:\HelixGen\Protocols\Protocol_pcr - Pauls.xml
Run date.time: 5/23/2017 9:35:21 AM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2017-05-23 09:35:22.390",0,25,25.549,95,33.817,0,0,95,33.782,0,0,-2.688,-2.688,-2.688,34.104
"2017-05-23 09:35:23.475",1.084975,25,25.549,95,33.738,100,2.523,95,33.705,0,0,-2.688,-2.688,-2.688,34.017
"2017-05-23 09:35:24.158",1.7672916,25,25.549,95,34.043,100,4.499,95,33.65,0,0,-2.688,-2.688,-2.688,33.96
"2017-05-23 09:35:25.069",2.678228,25,25.55,95,35.254,100,4.375,95,33.72,0,0,-2.688,-2.688,-2.688,34.108
"2017-05-23 09:35:25.857",3.4663732,25,25.552,95,40.271,100,4.27,95,34.417,0,0,-2.688,-2.688,-2.688,34.305
"2017-05-23 09:35:26.730",4.3401507,25,25.555,95,46.552,100,4.199,95,35.995,0,0,-2.688,-2.688,-2.688,34.924
"2017-05-23 09:35:27.541",5.1505991,25,25.558,95,52.554,100,4.128,95,37.063,0,0,-2.688,-2.688,-2.688,35.336
"2017-05-23 09:35:28.227",5.8365587,25,25.56,95,55.455,100,4.058,95,39.578,0,0,-2.688,-2.688,-2.688,36.33
"2017-05-23 09:35:29.144",6.7536038,25,25.56,95,60.909,100,4.005,95,42.451,0,0,-2.688,-2.688,-2.688,37.525
"2017-05-23 09:35:29.930",7.5395546,25,25.56,95,63.538,100,3.952,95,44.019,0,0,-2.688,-2.688,-2.688,38.197
"2017-05-23 09:35:30.977",8.5862142,25,25.56,95,68.243,100,3.917,95,47.093,0,0,-2.688,-2.688,-2.688,39.674
"2017-05-23 09:35:31.742",9.3512297,25,25.56,95,72.507,100,3.864,95,50.192,0,0,-2.688,-2.688,-2.688,41.302
"2017-05-23 09:35:32.556",10.1661018,25,25.56,95,76.394,100,3.828,95,51.7,0,0,-2.688,-2.688,-2.688,43.026
"2017-05-23 09:35:33.234",10.8438407,25,25.56,95,78.236,100,3.793,95,54.726,0,0,-2.688,-2.688,-2.688,43.912
"2017-05-23 09:35:34.160",11.7700202,25,25.56,95,81.62,100,3.758,95,57.746,0,0,-2.688,-2.688,-2.688,45.68
"2017-05-23 09:35:35.071",12.68103,25,25.56,95,83.287,100,3.74,95,59.287,0,0,-2.688,-2.688,-2.688,47.43
"2017-05-23 09:35:35.810",13.4201505,25,25.56,95,86.3,100,3.705,95,62.169,0,0,-2.688,-2.688,-2.688,48.295
"2017-05-23 09:35:36.669",14.278406,25,25.56,95,89.148,100,3.67,95,64.949,0,0,-2.688,-2.688,-2.688,49.995
"2017-05-23 09:35:37.356",14.9660743,25,25.56,95,90.516,0,0,95,66.295,0,0,-2.688,-2.688,-2.688,50.848
"2017-05-23 09:35:38.177",15.7866991,25,25.56,95,92.705,0,0,95,68.846,0,0,-2.688,-2.688,-2.688,52.536
"2017-05-23 09:35:39.093",16.7023444,25,25.56,95,92.695,26,1.076,95,70.021,0,0,-2.688,-2.688,-2.688,54.068
"2017-05-23 09:35:40.008",17.6179885,25,25.56,95,90.612,100,3.775,95,71.728,0,0,-2.688,-2.688,-2.688,54.752
"2017-05-23 09:35:40.796",18.405472,25,25.56,95,89.465,100,3.705,95,72.774,0,0,-2.688,-2.688,-2.688,56.063
"2017-05-23 09:35:41.605",19.2146679,25,25.56,95,90.987,0,0,95,73.241,0,0,-2.688,-2.688,-2.688,57.44
"2017-05-23 09:35:42.283",19.8931691,25,25.56,95,91.879,0,0,95,74.309,0,0,-2.688,-2.688,-2.688,58.139
"2017-05-23 09:35:43.182",20.7917457,25,25.56,95,91.308,100,4.005,95,75.279,0,0,-2.688,-2.688,-2.688,59.391
"2017-05-23 09:35:44.104",21.7133984,25,25.56,95,90.16,100,3.793,95,75.591,0,0,-2.688,-2.688,-2.688,60.427
"2017-05-23 09:35:44.886",22.4952938,25,25.56,95,88.986,100,3.705,95,75.863,0,0,-2.688,-2.688,-2.688,60.931
"2017-05-23 09:35:45.758",23.3681921,25,25.56,95,90.726,0,0,95,76.249,0,0,-2.688,-2.688,-2.688,62.002
"2017-05-23 09:35:46.569",24.17843,25,25.56,95,93.193,0,0,95,76.582,0,0,-2.688,-2.688,-2.688,63.161
"2017-05-23 09:35:47.245",24.854667,25,25.561,95,93.466,0,0,95,77.42,0,0,-2.688,-2.688,-2.688,63.707
"2017-05-23 09:35:48.156",25.7655578,25,25.561,95,91.894,100,3.811,95,77.995,0,0,-2.688,-2.688,-2.688,64.621
"2017-05-23 09:35:49.066",26.6759515,25,25.563,95,90.895,100,3.723,95,78.097,0,0,-2.688,-2.688,-2.688,65.401
