Protocol file: C:\HelixGen\Protocols\Protocol_pcr - Pauls.xml,,,,,,,,,,,,,,,
Run date.time: 5/23/2017 10:55:24 AM,,,,,,,,,,,,,,,
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp,
55:25.3,0,25,26.311,90,26.166,0,0,90,26.201,0,0,-2.688,-2.688,-2.688,26.081
55:26.7,1.4058559,25,26.313,95,26.164,0,0,90,26.199,0,0,-2.688,-2.688,-2.688,26.081
55:27.9,2.5884488,25,26.314,95,27.87,100,4.587,95,26.303,100,5.293,-2.688,-2.688,-2.688,26.161
55:28.7,3.4037513,25,26.314,95,34.077,100,4.375,95,27.709,100,4.605,-2.688,-2.688,-2.688,26.607
55:29.4,4.0848868,25,26.314,95,39.702,100,4.27,95,32.049,100,4.428,-2.688,-2.688,-2.688,27.102
55:30.3,5.0011237,25,26.314,95,44.992,100,4.164,95,37.538,100,4.287,-2.688,-2.688,-2.688,28.654
55:31.2,5.9215049,25,26.314,95,51.776,100,4.058,95,45.458,100,4.146,-2.688,-2.688,-2.688,30.783
55:32.1,6.833547,25,26.314,95,58.69,100,3.952,95,53.996,100,4.022,-2.688,-2.688,-2.688,32.044
55:32.8,7.5145187,25,26.314,95,65.861,100,3.846,95,61.505,100,3.917,-2.688,-2.688,-2.688,35
55:33.6,8.3260834,25,26.314,95,71.283,100,3.775,95,66.744,100,3.828,-2.688,-2.688,-2.688,36.673
55:34.3,9.0118453,25,26.314,95,77.256,100,3.705,95,74.154,100,3.74,-2.688,-2.688,-2.688,40.251
55:35.2,9.9287968,25,26.314,95,82.216,100,3.634,95,78.878,100,3.687,-2.688,-2.688,-2.688,44.046
55:36.0,10.6941996,25,26.314,95,88.298,100,3.564,95,86.246,100,3.599,-2.688,-2.688,-2.688,45.845
55:36.8,11.4991608,25,26.314,95,93.396,100,3.493,95,91.092,100,3.528,-2.688,-2.688,-2.688,49.358
55:37.5,12.183618,25,26.314,95,98.232,100,3.44,95,96.248,100,3.476,-2.688,-2.688,-2.688,51.178
55:38.4,13.1011001,25,26.314,95,101.699,100,3.387,95,101.073,100,3.423,-2.688,-2.688,-2.688,54.909
55:39.3,14.021805,25,26.314,95,107.151,100,3.334,95,106.123,100,3.352,-2.688,-2.688,-2.688,58.78
55:40.3,14.9415488,25,26.314,95,111.772,100,3.281,95,110.333,100,3.299,-2.688,-2.688,-2.688,62.731
55:41.2,15.8545787,25,26.314,95,116.096,100,3.228,95,115.25,100,3.264,-2.688,-2.688,-2.688,64.729
55:44.9,19.6158321,25,26.314,95,120.591,6.8,0,95,123.197,66.8,0,-2.688,-2.688,-2.688,79.354
55:46.4,21.1272768,25,26.302,95,119,100,3.528,95,119.14,100,3.528,-2.688,-2.688,-2.688,82.509
55:47.3,22.0387367,25,26.302,95,116.609,100,3.352,95,116.778,100,3.37,-2.688,-2.688,-2.688,84.004
55:48.1,22.825444,25,26.302,95,117.622,100,3.281,95,117.637,100,3.299,-2.688,-2.688,-2.688,84.779
55:49.8,24.5140859,25,26.302,95,119.919,100,3.228,95,119.454,100,3.264,-2.688,-2.688,-2.688,88.608
55:53.1,27.7415271,25,26.302,95,123.388,0,0,95,119.281,100,3.564,-2.688,-2.688,-2.688,93.701
55:53.9,28.5516993,25,26.302,95,116.359,0,0,95,116.757,0,0,-2.688,-2.688,-2.688,94.506
55:54.7,29.3611537,25,26.302,95,114.013,0,0,95,115.067,0,0,-2.688,-2.688,-2.688,94.82
55:55.4,30.0437422,25,26.302,95,111.742,29.7,1.164,95,112.889,0,0,-2.688,-2.688,-2.688,95.215
55:56.3,30.9554089,25,26.302,95,109.852,36.5,1.393,95,110.798,41.9,1.605,-2.688,-2.688,-2.688,95.336
55:57.1,31.7842433,25,26.302,95,108.238,16.4,0.635,95,108.654,20.9,0.794,-2.688,-2.688,-2.688,95.329
55:58.4,33.0513061,25,26.302,95,107.403,16.6,0.546,95,107.573,15.8,0.582,-2.688,-2.688,-2.688,95.313
55:59.3,33.9635861,25,26.302,95,106.031,25,0.97,95,106.198,29.3,1.129,-2.688,-2.688,-2.688,95.228
56:00.0,34.7127,25,26.302,95,105.425,36,1.376,95,105.473,37.2,1.411,-2.688,-2.688,-2.688,95.184
56:00.8,35.5230192,25,26.302,95,105.342,18.6,0.705,95,105.303,27.9,1.005,-2.688,-2.688,-2.688,95.11
56:01.8,36.4656437,25,26.302,95,105.362,29.7,1.146,95,105.314,28.5,1.093,-2.688,-2.688,-2.688,95.087
56:02.6,37.2809081,25,26.302,95,105.178,34.8,1.34,95,105.15,41.3,1.57,-2.688,-2.688,-2.688,95.067
56:03.3,38.025981,25,26.302,95,105.218,20.9,0.794,95,105.163,24.1,0.917,-2.688,-2.688,-2.688,95.024
56:04.4,39.0704343,25,26.302,95,105.364,23.7,0.917,95,105.27,29.3,1.093,-2.688,-2.688,-2.688,95.041
56:05.3,39.9965468,25,26.302,95,105.172,43.7,1.676,95,105.166,36.7,1.411,-2.688,-2.688,-2.688,95.026
56:06.5,41.1686605,25,26.302,95,105.277,11.1,0.423,95,105.203,23.5,1.041,-2.688,-2.688,-2.688,95.037
56:07.4,42.0775559,25,26.302,95,105.381,30.1,1.164,95,105.277,35,1.34,-2.688,-2.688,-2.688,95.057
56:08.3,43.0032644,25,26.302,95,105.122,40,1.34,95,105.168,32,1.217,-2.688,-2.688,-2.688,95.041
56:09.1,43.8339892,25,26.302,95,105.357,9.2,0.335,95,105.276,21,0.794,-2.688,-2.688,-2.688,95.041
56:10.2,44.8755338,25,26.302,95,105.409,38,1.464,95,105.317,32,1.235,-2.688,-2.688,-2.688,95.071
56:10.9,45.604379,25,26.302,95,105.11,37.3,1.429,95,105.176,36.5,1.393,-2.688,-2.688,-2.688,95.062
56:11.7,46.4140151,25,26.302,95,105.372,4.6,0.211,95,105.295,24.5,0.935,-2.688,-2.688,-2.688,95.074
56:12.5,47.1651307,25,26.303,95,105.487,31.7,1.235,95,105.352,32.6,1.252,-2.688,-2.688,-2.688,95.101
56:13.4,48.0858295,25,26.305,95,105.155,50,1.887,95,105.214,40.3,1.446,-2.688,-2.688,-2.688,95.096
56:14.4,49.1307324,25,26.307,95,105.302,9.3,0.335,95,105.311,18.5,0.705,-2.688,-2.688,-2.688,95.093
56:15.5,50.1741498,25,26.309,95,105.462,45.8,1.711,95,105.34,38,1.464,-2.688,-2.688,-2.688,95.134
56:16.4,51.0852043,25,26.309,95,105.083,36.9,1.393,95,105.207,36.1,1.199,-2.688,-2.688,-2.688,95.115
56:17.4,52.1399074,25,26.309,95,105.532,0,0,95,105.401,15.4,0.582,-2.688,-2.688,-2.688,95.145
56:18.4,53.0514234,25,26.308,95,105.376,56.7,2.152,95,105.365,40.9,1.517,-2.688,-2.688,-2.688,95.17
56:19.5,54.1527373,25,26.306,95,105.116,29.3,1.111,95,105.217,28.4,1.076,-2.688,-2.688,-2.688,95.145
56:20.6,55.3236297,25,26.302,95,105.737,3.9,0.123,95,105.506,25.2,0.97,-2.688,-2.688,-2.688,95.194
56:21.3,56.0376746,25,26.302,95,105.138,51.5,1.923,95,105.244,40.9,1.552,-2.688,-2.688,-2.688,95.192
56:22.3,56.9465506,25,26.302,95,105.215,4.2,0.141,95,105.296,23.6,0.758,-2.688,-2.688,-2.688,95.185
56:23.3,57.992711,25,26.302,95,105.787,9.9,0.37,95,105.531,24.5,0.935,-2.688,-2.688,-2.688,95.247
56:24.1,58.7429293,25,26.302,95,105.231,58.9,2.205,95,105.267,46,1.746,-2.688,-2.688,-2.688,95.246
