Protocol file: C:\HelixGen\Protocols\Protocol_pcr - Pauls.xml,,,,,,,,,,,,,,,
Run date.time: 5/23/2017 3:10:50 PM,,,,,,,,,,,,,,,
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp,
10:51.3,0,25,11.424,90,30.723,0,0,90,30.739,0,0,-2.688,-2.688,-2.688,30.72
10:52.5,1.1343636,25,11.432,50,30.652,0,0,90,30.677,0,0,-2.688,-2.688,-2.688,30.656
10:53.6,2.2847949,25,11.435,50,30.61,100,4.834,90,30.637,0,0,-2.688,-2.688,-2.688,30.613
10:54.8,3.4286141,25,11.428,50,32.974,100,4.481,50,30.752,0,0,-2.688,-2.688,-2.688,30.601
10:55.6,4.2709233,25,11.432,50,38.767,100,4.305,50,31.788,100,4.605,-2.688,-2.688,-2.688,30.775
10:56.4,5.0739416,25,11.43,50,44.713,100,4.199,50,35.259,100,4.393,-2.688,-2.688,-2.688,31.577
10:57.1,5.7456817,25,11.432,50,50.219,0,0,50,41.168,100,4.27,-2.688,-2.688,-2.688,32.319
10:58.0,6.6522456,25,11.431,50,53.972,0,0,50,47.166,100,0,-2.688,-2.688,-2.688,34.357
10:58.8,7.4347039,25,11.435,50,57.446,0,0,50,54.241,0,0,-2.688,-2.688,-2.688,35.714
10:59.6,8.2973019,25,11.433,50,58.996,0,0,50,57.946,0,0,-2.688,-2.688,-2.688,38.246
11:00.3,8.9798659,25,11.431,50,59.59,0,0,50,59.709,0,0,-2.688,-2.688,-2.688,39.263
11:01.2,9.8023528,25,11.429,50,59.512,0,0,50,59.987,0,0,-2.688,-2.688,-2.688,40.911
11:01.9,10.5863861,25,11.436,50,59.084,0,0,50,59.66,0,0,-2.688,-2.688,-2.688,42.198
11:02.8,11.4719075,25,11.432,50,58.443,0,0,50,59.07,0,0,-2.688,-2.688,-2.688,42.735
11:03.5,12.1475554,25,11.437,50,57.587,0,0,50,58.114,0,0,-2.688,-2.688,-2.688,43.627
11:04.3,12.9508862,25,11.44,50,56.975,0,0,50,57.306,0,0,-2.688,-2.688,-2.688,44.001
11:05.0,13.6868498,25,11.449,50,56.033,1.5,0.052,50,56.25,0,0,-2.688,-2.688,-2.688,44.617
11:05.9,14.5876726,25,11.443,50,55.311,1.7,0.052,50,55.558,3.8,0.158,-2.688,-2.688,-2.688,45.1
11:07.0,15.6263363,25,11.45,50,54.466,3,0.123,50,54.682,2,0.07,-2.688,-2.688,-2.688,45.5
11:07.7,16.381504,25,11.445,50,53.76,3.4,0.141,50,53.83,5.4,0.229,-2.688,-2.688,-2.688,45.673
11:08.5,17.1824714,25,11.437,50,53.231,6.5,0.299,50,53.349,5.8,0.229,-2.688,-2.688,-2.688,45.963
11:09.2,17.8561525,25,11.44,50,52.795,2.6,0.105,50,52.892,4.5,0.194,-2.688,-2.688,-2.688,46.089
11:10.1,18.7785379,25,11.441,50,52.547,2.4,0.088,50,52.516,6.4,0.264,-2.688,-2.688,-2.688,46.31
11:10.9,19.5564596,25,11.44,50,52.133,8.6,0.405,50,52.181,7.6,0.299,-2.688,-2.688,-2.688,46.488
11:11.8,20.4030297,25,11.439,50,51.9,5.6,0.247,50,51.903,7.2,0.335,-2.688,-2.688,-2.688,46.566
11:12.4,21.0842021,25,11.431,50,51.705,7.2,0.335,50,51.696,8.3,0.388,-2.688,-2.688,-2.688,46.709
11:13.2,21.8961856,25,11.44,50,51.578,6.3,0.282,50,51.569,7.3,0.335,-2.688,-2.688,-2.688,46.776
11:14.0,22.6881471,25,11.442,50,51.489,6,0.282,50,51.46,7.5,0.335,-2.688,-2.688,-2.688,46.906
11:14.9,23.5878564,25,11.441,50,51.452,5.7,0.264,50,51.415,8,0.37,-2.688,-2.688,-2.688,47.028
11:15.8,24.4772306,25,11.441,50,51.388,8.8,0.405,50,51.369,8.6,0.37,-2.688,-2.688,-2.688,47.084
11:16.7,25.34003,25,11.433,50,51.377,5.4,0.247,50,51.347,7.5,0.352,-2.688,-2.688,-2.688,47.193
11:17.5,26.1390918,25,11.436,50,51.381,7.5,0.352,50,51.34,8.7,0.405,-2.688,-2.688,-2.688,47.297
11:18.2,26.8102207,25,11.436,50,51.357,7.6,0.352,50,51.333,8.2,0.37,-2.688,-2.688,-2.688,47.345
11:19.1,27.7256067,25,11.434,50,51.368,6,0.282,50,51.336,7.9,0.37,-2.688,-2.688,-2.688,47.435
11:19.8,28.4924695,25,11.44,50,51.391,7.1,0.335,50,51.351,8.4,0.388,-2.688,-2.688,-2.688,47.48
11:20.7,29.3342586,25,11.436,50,51.374,8,0.37,50,51.352,8.7,0.388,-2.688,-2.688,-2.688,47.56
11:21.4,30.0105074,25,11.436,50,51.394,5.3,0.247,50,51.363,7.9,0.352,-2.688,-2.688,-2.688,47.599
11:22.2,30.8125517,25,11.435,50,51.421,6.7,0.299,50,51.379,8.2,0.37,-2.688,-2.688,-2.688,47.675
11:23.0,31.6033686,25,11.443,50,51.405,9.2,0.441,50,51.386,9.2,0.423,-2.688,-2.688,-2.688,47.744
11:23.9,32.5184814,25,11.433,50,51.42,6.1,0.282,50,51.392,7.8,0.352,-2.688,-2.688,-2.688,47.777
11:24.5,33.1947105,25,11.44,50,51.457,6.9,0.317,50,51.417,7.5,0.335,-2.688,-2.688,-2.688,47.843
11:25.4,34.0043593,25,11.437,50,51.441,8.7,0.405,50,51.422,8.8,0.423,-2.688,-2.688,-2.688,47.874
11:26.0,34.6961684,25,11.431,50,51.453,5.8,0.264,50,51.428,7.6,0.352,-2.688,-2.688,-2.688,47.931
11:27.0,35.6134482,25,11.435,50,51.489,6.2,0.282,50,51.45,6.9,0.352,-2.688,-2.688,-2.688,47.99
11:28.0,36.6461865,25,11.446,50,51.475,9,0.423,50,51.459,8.7,0.405,-2.688,-2.688,-2.688,48.04
11:28.8,37.4279634,25,11.432,50,51.496,5.8,0.264,50,51.472,7.2,0.335,-2.688,-2.688,-2.688,48.065
11:29.6,38.2704499,25,11.435,50,51.526,7.7,0.352,50,51.495,7.2,0.335,-2.688,-2.688,-2.688,48.118
11:30.3,38.993751,25,11.435,50,51.502,9.2,0.405,50,51.49,9.6,0.423,-2.688,-2.688,-2.688,48.141
11:31.6,40.2235618,25,11.43,95,51.549,100,4.393,50,51.508,7.5,0.335,-2.688,-2.688,-2.688,48.212
11:32.7,41.3696292,25,11.424,95,53.732,100,4.199,95,51.671,100,4.711,-2.688,-2.688,-2.688,48.313
11:34.0,42.6909483,25,11.434,95,59.578,100,4.005,95,54.034,100,2.135,-2.688,-2.688,-2.688,49.215
11:34.8,43.4516097,25,11.429,95,66.891,100,3.864,95,60.472,100,3.987,-2.688,-2.688,-2.688,49.857
11:35.6,44.2941327,25,11.435,95,72.256,100,3.793,95,66.277,100,3.881,-2.688,-2.688,-2.688,51.379
11:36.3,44.9706392,25,11.435,95,77.735,100,3.705,95,72.513,100,3.775,-2.688,-2.688,-2.688,52.388
11:37.2,45.8286797,25,11.438,95,83.182,100,3.634,95,78.006,100,3.705,-2.688,-2.688,-2.688,54.888
11:38.0,46.6058839,25,11.435,95,88.503,100,3.564,95,84.838,100,3.617,-2.688,-2.688,-2.688,57.679
11:38.8,47.4856408,25,11.434,95,93.02,100,3.511,95,89.964,100,3.546,-2.688,-2.688,-2.688,59.165
11:39.5,48.1605683,25,11.433,95,98.601,100,3.44,95,96.146,100,3.476,-2.688,-2.688,-2.688,62.293
11:40.3,48.9611233,25,11.438,95,102.75,100,3.387,95,100.655,100,3.423,-2.688,-2.688,-2.688,63.942
11:41.0,49.6997421,25,11.436,95,107.812,100,3.334,95,105.458,100,3.37,-2.688,-2.688,-2.688,67.331
11:42.0,50.6095446,25,11.435,95,111.055,100,3.299,95,109.419,100,3.317,-2.688,-2.688,-2.688,70.839
11:43.0,51.6548109,25,11.435,95,116.064,3.2,0.088,95,114.201,100,3.281,-2.688,-2.688,-2.688,74.416
11:44.0,52.6204245,25,11.432,95,119.878,0,0,95,119.131,0,0,-2.688,-2.688,-2.688,77.881
11:45.9,54.5994724,25,11.428,95,119.4,0,0,95,119.167,100,3.493,-2.688,-2.688,-2.688,82.925
11:46.7,55.3179874,25,11.429,95,117.709,100,3.352,95,117.972,100,3.352,-2.688,-2.688,-2.688,83.929
11:47.5,56.1370438,25,11.423,95,118.109,94.5,3.228,95,118.671,13.2,0.441,-2.688,-2.688,-2.688,86.132
11:50.0,58.7008691,25,11.431,95,120.542,0,0,95,120.431,31.8,0,-2.688,-2.688,-2.688,91.008
11:50.9,59.584745,25,11.424,95,118.239,100,3.405,95,117.829,100,3.37,-2.688,-2.688,-2.688,92.341
11:51.6,60.298785,25,11.425,95,117.568,100,3.246,95,118.52,44.5,1.535,-2.688,-2.688,-2.688,93.087
11:52.4,61.0978193,25,11.423,95,118.9,0,0,95,119.893,0,0,-2.688,-2.688,-2.688,94.714
11:54.9,63.5667352,25,11.423,95,120.455,0,0,95,118.815,0,0,-2.688,-2.688,-2.688,97.066
11:55.6,64.2449225,25,11.43,95,117.283,0,0,95,116.156,0,0,-2.688,-2.688,-2.688,97.598
11:56.1,64.7928866,25,11.427,95,115.276,0,0,95,114.511,0,0,-2.688,-2.688,-2.688,97.746
11:57.1,65.7056863,25,11.437,95,113.797,0,0,95,112.8,0,0,-2.688,-2.688,-2.688,97.817
