Protocol file: C:\HelixGen\Protocols\Protocol_pcr - TEQMAN.xml,,,,,,,,,,,,,,,
Run date.time: 5/23/2017 3:49:47 PM,,,,,,,,,,,,,,,
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp,
49:48.5,0,25,11.431,90,25.71,0,0,90,25.746,0,0,-2.688,-2.688,-2.688,25.669
49:49.9,1.4190084,25,11.429,50,25.711,0,0,90,25.747,0,0,-2.688,-2.688,-2.688,25.671
49:50.9,2.4113534,25,11.431,50,25.783,100,4.764,50,25.752,0,0,-2.688,-2.688,-2.688,25.675
49:51.9,3.4337792,25,11.429,50,28.672,100,4.481,50,26.053,100,4.922,-2.688,-2.688,-2.688,25.743
49:52.9,4.4082309,25,11.439,50,34.751,100,4.358,50,27.714,100,4.569,-2.688,-2.688,-2.688,26.218
49:53.5,5.0855198,25,11.433,50,41.9,100,4.217,50,33.931,100,4.375,-2.688,-2.688,-2.688,26.785
49:54.3,5.8833635,25,11.434,50,46.489,100,4.128,50,39.812,100,4.252,-2.688,-2.688,-2.688,28.517
49:55.1,6.6726907,25,11.427,50,52.436,0,0,50,47.84,100,4.146,-2.688,-2.688,-2.688,29.622
49:56.0,7.5835405,25,11.439,50,58.164,0,0,50,53.771,0,0,-2.688,-2.688,-2.688,32.196
49:56.7,8.2589197,25,11.438,50,62.36,0,0,50,60.018,0,0,-2.688,-2.688,-2.688,33.773
49:57.5,9.0610038,25,11.434,50,63.811,0,0,50,62.779,0,0,-2.688,-2.688,-2.688,36.674
49:58.2,9.7341027,25,11.426,50,64.252,0,0,50,64.008,0,0,-2.688,-2.688,-2.688,37.881
49:59.1,10.6187835,25,11.421,50,64.005,0,0,50,64.102,0,0,-2.688,-2.688,-2.688,39.878
49:59.8,11.3378762,25,11.431,50,63.217,0,0,50,63.517,0,0,-2.688,-2.688,-2.688,41.458
50:00.6,12.1465412,25,11.425,50,62.404,0,0,50,62.734,0,0,-2.688,-2.688,-2.688,42.124
50:01.3,12.8236721,25,11.425,50,61.375,0,0,50,61.672,0.8,0,-2.688,-2.688,-2.688,43.232
50:02.2,13.7346934,25,11.42,50,60.432,8.7,0.405,50,60.682,8.9,0.352,-2.688,-2.688,-2.688,43.697
50:03.4,14.8920663,25,11.43,50,59.353,3.5,0.141,50,59.319,4.6,0.141,-2.688,-2.688,-2.688,44.853
50:04.1,15.6776413,25,11.433,50,58.395,4.5,0.229,50,58.321,8,0.352,-2.688,-2.688,-2.688,45.193
50:05.2,16.7225437,25,11.425,50,57.704,10.5,0.458,50,57.632,9,0.405,-2.688,-2.688,-2.688,45.787
50:05.9,17.4779186,25,11.425,50,57.022,3,0.123,50,57.052,4.7,0.247,-2.688,-2.688,-2.688,46.313
50:06.9,18.453094,25,11.427,50,56.67,7.7,0.37,50,56.619,9,0.405,-2.688,-2.688,-2.688,46.775
50:08.1,19.598169,25,11.424,50,56.114,7.7,0.335,50,56.079,8.9,0.405,-2.688,-2.688,-2.688,47.165
50:08.9,20.4449386,25,11.426,50,55.83,7.8,0.37,50,55.751,10.6,0.494,-2.688,-2.688,-2.688,47.515
50:10.0,21.5529937,25,11.425,50,55.53,13.1,0.617,50,55.492,12.4,0.564,-2.688,-2.688,-2.688,47.821
50:11.2,22.6904416,25,11.426,50,55.458,5.2,0.229,50,55.394,8.8,0.405,-2.688,-2.688,-2.688,48.11
50:12.3,23.8558025,25,11.429,50,55.326,13.2,0.617,50,55.282,12.8,0.599,-2.688,-2.688,-2.688,48.485
50:13.2,24.7635184,25,11.422,50,55.318,3.6,0.141,50,55.256,8.9,0.388,-2.688,-2.688,-2.688,48.6
50:14.3,25.8039146,25,11.425,50,55.323,13.3,0.617,50,55.259,11.2,0.511,-2.688,-2.688,-2.688,48.82
