Protocol file: C:\HelixGen\Protocols\Protocol_pcr - TEQMAN.xml
Run date.time: 5/23/2017 5:04:11 PM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2017-05-23 17:04:11.871",0,25,11.428,50,25.99,0,0,50,26.026,0,0,-2.688,-2.688,-2.688,25.99
"2017-05-23 17:04:13.106",1.2351208,25,11.428,50,25.983,0,0,50,26.019,0,0,-2.688,-2.688,-2.688,25.986
"2017-05-23 17:04:14.224",2.3537913,25,11.43,50,25.987,100,4.869,50,26.014,0,0,-2.688,-2.688,-2.688,25.983
"2017-05-23 17:04:15.534",3.6639683,25,11.425,50,28.846,100,4.517,50,26.232,100,5.187,-2.688,-2.688,-2.688,26.123
"2017-05-23 17:04:16.290",4.4197505,25,11.431,50,36.182,100,4.322,50,28.663,100,4.552,-2.688,-2.688,-2.688,26.349
"2017-05-23 17:04:17.091",5.2204459,25,11.433,50,41.781,100,4.217,50,32.968,100,4.393,-2.688,-2.688,-2.688,27.577
"2017-05-23 17:04:17.765",5.894662,25,11.437,50,47.671,100,4.128,50,39.509,100,4.252,-2.688,-2.688,-2.688,28.538
"2017-05-23 17:04:18.672",6.8017555,25,11.428,50,52.11,0,0,50,46.602,100,4.164,-2.688,-2.688,-2.688,30.857
"2017-05-23 17:04:19.454",7.5834027,25,11.425,50,58.477,0,0,50,53.456,0,0,-2.688,-2.688,-2.688,33.678
"2017-05-23 17:04:20.295",8.4249349,25,11.431,50,61.972,0,0,50,59.523,0,0,-2.688,-2.688,-2.688,35.236
"2017-05-23 17:04:20.966",9.0958599,25,11.426,50,63.693,0,0,50,63.049,0,0,-2.688,-2.688,-2.688,37.934
"2017-05-23 17:04:21.761",9.8899884,25,11.422,50,64.015,0,0,50,64.267,0,0,-2.688,-2.688,-2.688,39.032
"2017-05-23 17:04:22.797",10.9260933,25,11.43,50,63.814,0,0,50,64.365,0,0,-2.688,-2.688,-2.688,40.836
"2017-05-23 17:04:23.587",11.7163181,25,11.432,50,62.888,0,0,50,63.508,0,0,-2.688,-2.688,-2.688,42.271
"2017-05-23 17:04:24.498",12.6272554,25,11.43,50,62.084,0,0,50,62.626,0,0,-2.688,-2.688,-2.688,43.418
