Protocol file: C:\HelixGen\Protocols\Protocol_pcr - TEQMAN.xml,,,,,
PCR Cycle#,BLANK,WELL 1,WELL 2,WELL 3,WELL 4
0,1678506,4559520,18981917,16765678,4477319
1,1683057,4545097,18754632,16554759,4469396
2,1686220,4539514,18468535,16371645,4464377
3,1688462,4535309,18215588,16174733,4458729
4,1689866,4531962,17960099,15989216,4453612
5,1691179,4527681,17725285,15795846,4449742
6,1691972,4523216,17483860,15609968,4445529
7,1693239,4518732,17256612,15442456,4440188
8,1691908,4515564,17050642,15290969,4436598
9,1694105,4513794,16860448,15139922,4435153
10,1695379,4512575,16696782,15026767,4433681
11,1696902,4512076,16556066,14917427,4432815
12,1696213,4510284,16430650,14817795,4430282
13,1696861,4508950,16328972,14722530,4428263
14,1696251,4508321,16233466,14649646,4427391
15,1695654,4507083,16147167,14579689,4425098
16,1696049,4506195,16074171,14525289,4424303
17,1696793,4506006,16010764,14470738,4423720
18,1697920,4506484,15949183,14423136,4423827
19,1695697,4505611,15907361,14385626,4422600
20,1694907,4505829,15872697,14352272,4421493
21,1693459,4504526,15846737,14334594,4420141
22,1692381,4504058,15849393,14332979,4419229
23,1694487,4505113,15887126,14370863,4420089
24,1695232,4505714,15988674,14461200,4419718
25,1694689,4505737,16193689,14638695,4419797
26,1695535,4506353,16531510,14924379,4419981
27,1686468,4504512,17020516,15344139,4417538
28,1685459,4505282,17631782,15869089,4418984
29,1684276,4504817,18328544,16446398,4418027
30,1683697,4504557,19082272,17092238,4418045
31,1684936,4506793,19875678,17769934,4419288
32,1684669,4505886,20700070,18461165,4418997
33,1682472,4505571,21544527,19187493,4418559
34,1684454,4507024,22398671,19917962,4420086
35,1684771,4508196,23272653,20666053,4420828
36,1685523,4509272,24165254,21429182,4422436
37,1684170,4509331,25058100,22200207,4422114
38,1685913,4510559,25922744,22944066,4423077
39,1686074,4511698,26733804,23635295,4423846
