Protocol file: C:\HelixGen\Protocols\Protocol_WAX TEST.xml
Run date.time: 5/24/2017 8:52:09 AM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2017-05-24 08:52:10.633",0,25,11.489,25,38.151,0,0,25,38.207,0,0,-2.688,-2.688,-2.688,32.386
"2017-05-24 08:52:11.544",0.9110665,25,11.492,50,38.13,100,4.658,50,38.197,100,4.781,-2.688,-2.688,-2.688,32.45
"2017-05-24 08:52:12.348",1.7158295,25,11.492,50,39.139,100,4.393,50,38.877,100,4.464,-2.688,-2.688,-2.688,32.557
"2017-05-24 08:52:13.169",2.5364207,25,11.496,50,43.084,100,4.252,50,42.348,100,4.322,-2.688,-2.688,-2.688,32.634
"2017-05-24 08:52:13.956",3.3234082,25,11.491,50,49.612,100,4.128,50,48.567,100,4.164,-2.688,-2.688,-2.688,32.665
"2017-05-24 08:52:14.856",4.2237198,25,11.492,50,55.129,0,0,50,53.995,0,0,-2.688,-2.688,-2.688,32.741
"2017-05-24 08:52:15.543",4.9103695,25,11.489,50,61.133,0,0,50,59.921,0,0,-2.688,-2.688,-2.688,32.755
"2017-05-24 08:52:16.347",5.7148843,25,11.496,50,63.856,0,0,50,62.722,0,0,-2.688,-2.688,-2.688,32.698
"2017-05-24 08:52:17.041",6.4085994,25,11.491,50,65.194,0,0,50,64.406,0,0,-2.688,-2.688,-2.688,32.669
"2017-05-24 08:52:17.934",7.3016889,25,11.499,50,65.431,0,0,50,64.906,0,0,-2.688,-2.688,-2.688,32.43
"2017-05-24 08:52:18.680",8.0470572,25,11.494,50,65.073,0,0,50,64.777,0,0,-2.688,-2.688,-2.688,32.414
"2017-05-24 08:52:19.494",8.8617542,25,11.493,50,64.445,0,0,50,64.345,0,0,-2.688,-2.688,-2.688,32.437
"2017-05-24 08:52:20.171",9.5387653,25,11.487,50,63.675,0,0,50,63.664,0,0,-2.688,-2.688,-2.688,32.268
"2017-05-24 08:52:21.087",10.4549259,25,11.495,50,63.055,0,0,50,62.889,0,0,-2.688,-2.688,-2.688,32.212
"2017-05-24 08:52:22.010",11.3771172,25,11.494,50,62.009,0,0,50,62.069,0,0,-2.688,-2.688,-2.688,32.349
"2017-05-24 08:52:22.935",12.3028589,25,11.49,50,61.072,0,0,50,61.039,0,0,-2.688,-2.688,-2.688,32.472
"2017-05-24 08:52:23.813",13.1807262,25,11.491,50,60.17,0,0,50,60.137,0,0,-2.688,-2.688,-2.688,32.56
"2017-05-24 08:52:24.496",13.863147,25,11.479,50,59.3,2.1,0.07,50,59.268,1.4,0.035,-2.688,-2.688,-2.688,32.552
"2017-05-24 08:52:25.305",14.6727457,25,11.496,50,58.664,3,0.123,50,58.713,3.5,0.141,-2.688,-2.688,-2.688,32.435
"2017-05-24 08:52:26.051",15.4182531,25,11.491,50,58.023,0.7,0,50,57.989,4.1,0.07,-2.688,-2.688,-2.688,32.344
"2017-05-24 08:52:26.972",16.3392736,25,11.493,50,57.581,2.2,0,50,57.543,2.8,0.105,-2.688,-2.688,-2.688,32.232
