Protocol file: C:\HelixGen\Protocols\Protocol_pcr - HLG.xml,,,,,,,,,,,,,,,
Run date.time: 6/2/2017 11:15:50 AM,,,,,,,,,,,,,,,
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp,
15:50.8,0,25,11.421,90,27.499,0,0,90,27.543,0,0,-2.688,-2.688,-2.688,27.638
15:51.9,1.0708466,25,11.414,50,27.485,0,0,90,27.529,0,0,-2.688,-2.688,-2.688,27.624
15:52.5,1.6142911,25,11.409,50,27.472,300,4.869,50,27.518,0,0,-2.688,-2.688,-2.688,27.62
15:53.5,2.6530504,25,11.42,50,28.141,300,4.569,50,27.547,300,4.905,-2.688,-2.688,-2.688,27.621
15:54.1,3.2115373,25,11.415,50,32.718,300,4.411,50,29.143,300,4.569,-2.688,-2.688,-2.688,27.646
15:54.9,4.0106896,25,11.416,50,35.333,300,4.322,50,31.139,300,4.464,-2.688,-2.688,-2.688,27.864
15:55.3,4.4899339,25,11.412,50,41.306,300,4.217,50,36.739,300,4.322,-2.688,-2.688,-2.688,27.864
15:56.2,5.3522254,25,11.422,50,45.295,300,4.146,50,40.851,300,4.234,-2.688,-2.688,-2.688,28.432
15:56.7,5.8316724,25,11.421,50,52.387,300,4.022,50,48.6,300,4.111,-2.688,-2.688,-2.688,28.881
15:57.3,6.407507,25,11.42,50,56.225,300,3.97,50,51.953,300,4.058,-2.688,-2.688,-2.688,29.444
15:58.0,7.1584461,25,11.416,50,60.242,300,3.917,50,56.756,300,3.97,-2.688,-2.688,-2.688,30.942
15:58.5,7.6377372,25,11.41,50,66.712,-100,4.869,50,63.42,-100,5.311,-2.688,-2.688,-2.688,31.889
15:59.3,8.4844714,25,11.411,50,69.919,-100,4.764,50,67.54,-100,4.869,-2.688,-2.688,-2.688,32.955
15:59.8,8.9637071,25,11.415,50,72.02,-82.6,3.917,50,71.412,-100,4.781,-2.688,-2.688,-2.688,34.116
16:00.6,9.730505,25,11.417,50,71.872,-28.6,1.429,50,71.926,-62.7,3.105,-2.688,-2.688,-2.688,36.622
16:01.1,10.2094921,25,11.415,50,70.599,23.2,1.058,50,71.204,6.8,0.282,-2.688,-2.688,-2.688,37.848
16:01.5,10.6892829,25,11.417,50,69.923,25.5,1.146,50,70.328,25.2,1.164,-2.688,-2.688,-2.688,38.983
16:02.3,11.4880197,25,11.422,50,69.328,18.6,0.829,50,69.564,28.3,1.146,-2.688,-2.688,-2.688,40.014
16:03.0,12.1428887,25,11.418,50,69.016,3.3,0.123,50,68.994,7.1,0.282,-2.688,-2.688,-2.688,41.795
16:03.8,12.9094011,25,11.419,50,68.891,10.5,0.458,50,68.888,8.4,0.352,-2.688,-2.688,-2.688,42.594
16:04.2,13.4051911,25,11.415,50,68.571,24.7,1.093,50,68.619,22.2,0.988,-2.688,-2.688,-2.688,43.333
16:05.2,14.347967,25,11.414,50,68.343,20.5,0.882,50,68.372,22.4,1.005,-2.688,-2.688,-2.688,44.704
16:05.7,14.8270649,25,11.426,50,68.355,8.6,0.37,50,68.299,12.1,0.529,-2.688,-2.688,-2.688,45.337
16:06.2,15.4021921,25,11.418,50,68.393,11.7,0.511,50,68.328,13,0.564,-2.688,-2.688,-2.688,45.934
16:07.0,16.1843537,25,11.42,50,68.356,16.8,0.758,50,68.315,15.6,0.688,-2.688,-2.688,-2.688,47.056
