Protocol file: C:\HelixGen\Protocols\Protocol_pcr.xml
Run date.time: 6/27/2017 3:05:44 PM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2017-06-27 15:05:45.133",0,0,24.7,95,25.651,0,0,95,25.642,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:05:45.788",0.6550434,0,24.7,95,25.655,0,0,95,25.645,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:05:46.555",1.4223273,0,24.709,95,25.656,0,0,95,25.646,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:05:47.130",1.997657,0,24.711,95,25.659,0,0,95,25.648,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:05:47.977",2.8444815,0,24.718,95,25.66,0,0,95,25.649,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:05:48.601",3.4679979,0,24.722,95,25.662,0,0,95,25.65,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:05:49.368",4.2352006,0,24.723,95,25.663,0,0,95,25.652,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:05:49.944",4.8106714,0,24.723,95,25.665,0,0,95,25.653,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:05:50.614",5.4816603,0,24.724,95,25.666,0,0,95,25.655,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:05:51.190",6.0571746,0,24.73,95,25.667,0,0,95,25.657,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:05:51.942",6.8087313,0,24.732,95,25.669,0,0,95,25.659,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:05:52.644",7.5115036,0,24.733,95,25.671,0,0,95,25.66,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:05:53.220",8.0869921,0,24.733,95,25.673,0,0,95,25.663,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:05:54.035",8.9017837,0,24.733,95,25.674,0,0,95,25.664,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:05:54.690",9.557079,0,24.734,95,25.676,0,0,95,25.667,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:05:55.457",10.3240438,0,24.734,95,25.678,0,0,95,25.668,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:05:56.033",10.899796,0,24.734,95,25.68,0,0,95,25.669,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:05:56.879",11.7457237,0,24.734,95,25.681,0,0,95,25.672,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:05:57.454",12.3215592,0,24.734,95,25.683,0,0,95,25.674,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:05:58.126",12.9928997,0,24.734,95,25.685,0,0,95,25.675,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:05:58.876",13.7435699,0,24.734,95,25.686,0,0,95,25.678,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:05:59.452",14.319599,0,24.734,95,25.689,0,0,95,25.679,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:06:00.123",14.9903582,0,24.739,95,25.69,0,0,95,25.681,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:06:00.779",15.6460871,0,24.745,95,25.692,0,0,95,25.684,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:06:01.546",16.4130609,0,24.745,95,25.693,0,0,95,25.685,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:06:02.121",16.988441,0,24.745,95,25.695,0,0,95,25.688,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:06:02.968",17.8348901,0,24.745,95,25.697,0,0,95,25.689,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:06:03.576",18.4427023,0,24.734,95,25.698,0,0,95,25.691,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:06:04.342",19.2096273,0,24.734,95,25.699,0,0,95,25.693,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:06:04.918",19.7850649,0,24.734,95,25.7,0,0,95,25.694,0,0,-2.688,-2.688,-2.688,-2.688
"2017-06-27 15:06:05.589",20.4560242,0,24.735,95,25.702,0,0,95,25.695,0,0,-2.688,-2.688,-2.688,-2.688
