Protocol file: C:\HelixGen\Protocols\Protocol_pcr - Jacky.xml
Run date.time: 7/17/2017 6:44:10 PM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2017-07-17 18:44:12.281",0,25,29.185,25,29.648,0,0,25,29.65,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 18:44:14.392",2.1109375,25,29.183,50,29.643,0,0,25,29.646,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 18:44:16.434",4.1522147,25,29.186,50,29.64,100,4.781,25,29.644,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 18:44:18.575",6.2941388,25,29.186,50,36.294,100,4.322,50,30.831,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 18:44:20.302",8.0205839,25,29.199,50,49.128,100,4.04,50,38.399,100,4.27,-2.688,-2.688,-2.688,-2.688
"2017-07-17 18:44:21.853",9.571238,25,29.199,50,60.467,100,3.846,50,53.44,100,4.058,-2.688,-2.688,-2.688,-2.688
"2017-07-17 18:44:23.434",11.1522545,25,29.199,50,70.145,0,0,50,67.702,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 18:44:24.984",12.7031573,25,29.199,50,72.831,0,0,50,73.453,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 18:44:26.435",14.154067,25,29.202,50,72.279,0,0,50,73.264,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 18:44:27.986",15.7049082,25,29.21,50,70.703,0,0,50,71.361,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 18:44:29.687",17.405798,25,29.213,50,68.489,13.4,0.599,50,68.445,19.3,0.952,-2.688,-2.688,-2.688,-2.688
"2017-07-17 18:44:31.328",19.046684,25,29.213,50,66.944,0,0,50,67.047,7.6,0.317,-2.688,-2.688,-2.688,-2.688
"2017-07-17 18:44:33.449",21.167685,25,29.221,50,66.422,0,0,50,66.501,19.5,0.882,-2.688,-2.688,-2.688,-2.688
"2017-07-17 18:44:35.002",22.7202014,25,29.226,50,64.591,0,0,50,66.166,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 18:44:36.472",24.1911357,25,29.227,50,63.199,0,0,50,64.635,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 18:44:38.014",25.73306,25,29.239,50,61.833,0,0,50,62.625,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 18:44:39.445",27.1639837,25,29.239,50,60.169,0,0,50,60.626,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 18:44:41.001",28.7200389,25,29.239,50,58.698,0,0,50,58.888,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 18:44:42.415",30.1340941,25,29.251,50,57.073,0,0,50,57.074,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 18:44:43.976",31.6942009,25,29.252,50,55.709,0,0,50,55.615,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 18:44:45.946",33.6651076,25,29.263,50,54.162,9.1,0.405,50,54.102,6.3,0.299,-2.688,-2.688,-2.688,-2.688
