Protocol file: C:\HelixGen\Protocols\Protocol_pcr - jacky.xml
Run date.time: 7/17/2017 11:29:44 PM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2017-07-17 23:29:45.867",0,25,30.997,96,101.296,0,0,96,99.286,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:29:48.099",2.2318614,25,30.997,52,100.977,0,0,96,98.292,64.4,3.864,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:29:50.010",4.1431824,25,30.983,52,97.426,0,0,52,98.264,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:29:52.171",6.3043882,25,30.983,52,95.078,0,0,52,97.373,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:29:53.612",7.7455384,25,30.983,52,92.38,0,0,52,93.799,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:29:55.163",9.2962282,25,30.982,52,90.255,0,0,52,91.207,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:29:56.644",10.7771367,25,30.969,52,87.825,0,0,52,88.442,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:29:58.195",12.3286295,25,30.969,52,85.576,0,0,52,85.852,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:29:59.677",13.8101579,25,30.969,52,83.399,0,0,52,83.321,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:01.228",15.3611784,25,30.968,52,81.33,0,0,52,81.137,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:02.769",16.9020841,25,30.955,52,79.375,0,0,52,79.114,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:04.321",18.4537471,25,30.955,52,77.409,0,0,52,77.116,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:05.631",19.7647002,25,30.955,52,75.67,0,0,52,75.372,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:07.183",21.3161687,25,30.957,52,74.254,0,0,52,73.949,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:08.674",22.8071724,25,30.958,52,72.595,0,0,52,72.299,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:10.197",24.3302594,25,30.955,52,71.133,0,0,52,70.939,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:11.275",25.4085454,25,30.955,52,69.749,0,0,52,69.558,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:11.962",26.0957112,25,30.955,52,68.779,0,0,52,68.595,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:12.914",27.0474979,25,30.955,52,68.266,0,0,52,68.004,0,0.017,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:14.374",28.5077401,25,30.955,52,67.356,0,0,52,67.1,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:15.446",29.5792011,25,30.949,52,66.243,0,0,52,66.075,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:16.325",30.458289,25,30.941,52,65.482,0,0,52,65.32,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:17.274",31.4076231,25,30.941,52,64.812,0,0,52,64.659,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:17.962",32.0956538,25,30.941,52,64.17,0,0,52,63.95,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:18.930",33.0633215,25,30.941,52,63.614,0,0,52,63.468,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:19.921",34.0542876,25,30.936,52,63,0,0,52,62.798,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:20.789",34.9225276,25,30.931,52,62.348,0,0,52,62.15,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:21.834",35.9673165,25,30.928,52,61.775,0,0,52,61.644,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:22.886",37.0189276,25,30.927,52,61.154,0,0,52,60.973,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:23.799",37.9323138,25,30.927,52,60.497,0,0,52,60.32,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:24.853",38.9861001,25,30.927,52,59.977,0,0,52,59.86,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:25.906",40.0394831,25,30.927,52,59.412,0,0,52,59.245,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:26.809",40.942032,25,30.927,52,58.811,0,0,52,58.652,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:27.856",41.9895664,25,30.927,52,58.336,0,0,52,58.231,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:28.910",43.043351,25,30.927,52,57.823,0,0,52,57.669,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:29.808",43.9415565,25,30.927,52,57.273,0,0,52,57.127,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:30.870",45.0028127,25,30.924,52,56.84,0,0,52,56.693,0.3,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:31.912",46.0453297,25,30.914,52,56.371,6.8,0.299,52,56.245,6.7,0.317,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:32.823",46.9560541,25,30.913,52,56.014,3.2,0.123,52,56.005,2.5,0.123,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:33.864",47.9976829,25,30.913,52,55.982,1.4,0.035,52,55.949,3.6,0.158,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:34.911",49.0438326,25,30.913,52,55.879,6.5,0.282,52,55.842,5.1,0.229,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:35.806",49.9393378,25,30.913,52,55.805,3.6,0.141,52,55.813,3.5,0.158,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:36.846",50.9789128,25,30.913,52,55.833,3.4,0.141,52,55.811,3.7,0.229,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:37.887",52.0202285,25,30.913,52,55.789,6.4,0.317,52,55.776,5.4,0.229,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:38.800",52.9333546,25,30.913,52,55.77,3.5,0.141,52,55.775,4,0.176,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:39.844",53.977047,25,30.912,52,55.795,4.4,0.176,52,55.776,4.7,0.211,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:40.883",55.0166622,25,30.903,52,55.766,5.5,0.229,52,55.759,5.4,0.247,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:41.799",55.9321493,25,30.899,52,55.758,4.1,0.176,52,55.761,4.7,0.211,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:42.845",56.9779746,25,30.899,52,55.779,4.2,0.176,52,55.762,5.1,0.247,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:43.892",58.0250954,25,30.887,52,55.753,5.6,0.247,52,55.752,4.9,0.229,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:44.809",58.9418945,25,30.885,52,55.756,4.2,0.176,52,55.752,4.9,0.229,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:45.864",59.9977112,25,30.885,52,55.767,4.9,0.211,52,55.754,4.8,0.247,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:46.904",61.0371713,25,30.876,52,55.743,6,0.229,52,55.744,5.5,0.229,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:47.814",61.9470281,25,30.871,52,55.753,4.1,0.176,52,55.748,4.2,0.194,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:48.856",62.9894679,25,30.871,52,55.756,5.3,0.229,52,55.746,5.1,0.247,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:49.902",64.0350515,25,30.861,52,55.737,5.7,0.229,52,55.738,5.4,0.247,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:50.891",65.0244357,25,30.858,52,55.751,4.8,0.211,52,55.741,5,0.229,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:52.262",66.3951883,25,30.857,52,55.74,5.7,0.282,52,55.735,5.7,0.264,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:53.773",67.9060775,25,30.844,52,55.739,4.5,0.194,52,55.735,4.9,0.229,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:55.594",69.7274604,25,30.83,52,55.735,5.5,0.229,52,55.731,5.4,0.247,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:57.325",71.4583854,25,30.82,52,55.739,5.4,0.229,52,55.73,6,0.247,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:30:58.866",72.9990236,25,30.816,52,55.73,5.2,0.229,52,55.725,5.4,0.247,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:00.597",74.7301291,25,30.802,52,55.73,5.5,0.247,52,55.722,5.7,0.264,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:02.148",76.2809704,25,30.802,52,55.731,5,0.211,52,55.722,5.5,0.247,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:03.609",77.7422571,25,30.788,52,55.722,5.3,0.229,52,55.716,6.1,0.282,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:05.160",79.2932444,25,30.788,52,55.726,5.6,0.247,52,55.717,5.4,0.247,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:06.621",80.7538908,25,30.774,52,55.714,5.3,0.264,52,55.709,5.8,0.264,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:08.162",82.2952772,25,30.774,52,55.713,5.8,0.247,52,55.707,5.8,0.264,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:09.623",83.7560491,25,30.761,52,55.714,5.1,0.264,52,55.707,5.8,0.282,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:11.173",85.3067115,25,30.75,52,55.713,5.7,0.247,52,55.708,5.9,0.282,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:12.664",86.7975462,25,30.747,52,55.718,5.6,0.247,52,55.707,6.1,0.282,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:14.216",88.3491025,25,30.744,52,55.709,6,0.247,52,55.706,6.1,0.282,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:15.677",89.8098801,25,30.733,52,55.718,5.3,0.229,52,55.707,6,0.282,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:17.217",91.3507329,25,30.733,52,55.706,5.8,0.264,52,55.703,5.7,0.264,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:18.679",92.8119064,25,30.72,52,55.713,5.8,0.264,52,55.703,6,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:20.230",94.3628658,25,30.719,52,55.706,5.5,0.247,52,55.701,6.2,0.264,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:21.750",95.8837062,25,30.716,52,55.707,6.5,0.282,52,55.702,6.1,0.282,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:23.302",97.4348523,25,30.705,52,55.704,5.9,0.264,52,55.7,5.8,0.264,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:24.823",98.9559659,25,30.7,52,55.705,6.4,0.282,52,55.699,6,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:26.554",100.6870661,25,30.692,52,55.706,5.7,0.247,52,55.698,6,0.282,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:27.925",102.0578019,25,30.678,52,55.697,6.1,0.264,52,55.694,6.2,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:29.526",103.6590329,25,30.664,52,55.707,5.9,0.247,52,55.695,6.6,0.317,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:30.896",105.0296853,25,30.664,52,55.695,6.1,0.264,52,55.691,6.1,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:32.627",106.7605234,25,30.65,52,55.704,5.5,0.229,52,55.695,6.3,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:34.168",108.3013519,25,30.65,52,55.694,6.2,0.282,52,55.69,6.1,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:35.599",109.7321123,25,30.642,52,55.702,5.8,0.264,52,55.692,6.3,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:37.150",111.2831234,25,30.637,52,55.691,6.2,0.282,52,55.688,5.8,0.282,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:38.641",112.7744122,25,30.637,52,55.699,6,0.264,52,55.69,6.5,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:40.192",114.3252715,25,30.637,52,55.69,5.8,0.264,52,55.685,6.3,0.282,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:41.684",115.8168869,25,30.634,52,55.697,6.1,0.247,52,55.686,6.2,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:43.225",117.3580239,25,30.63,52,55.69,5.9,0.264,52,55.683,6,0.282,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:44.716",118.8490272,25,30.624,52,55.696,5.9,0.264,52,55.683,6.5,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:46.267",120.3999489,25,30.623,52,55.689,5.8,0.247,52,55.682,6.3,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:47.758",121.89093,25,30.623,52,55.693,6.2,0.282,52,55.683,6.4,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:49.309",123.4421364,25,30.623,52,55.689,6.3,0.282,52,55.68,7,0.335,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:50.850",124.983218,25,30.621,52,55.689,6.5,0.247,52,55.681,6.6,0.317,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:52.671",126.8043043,25,30.611,52,55.689,6,0.264,52,55.678,6.5,0.317,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:54.402",128.5356663,25,30.609,52,55.689,5.7,0.247,52,55.679,6.4,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:55.953",130.086599,25,30.609,52,55.685,6.5,0.247,52,55.678,6.2,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:57.664",131.7974986,25,30.597,52,55.687,6.3,0.282,52,55.677,6.3,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:31:59.215",133.3483554,25,30.595,52,55.685,6.1,0.264,52,55.675,6.3,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:00.676",134.8094994,25,30.585,52,55.687,5.7,0.282,52,55.676,6.3,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:02.227",136.360129,25,30.582,52,55.683,6.3,0.282,52,55.676,6.4,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:03.708",137.8413148,25,30.581,52,55.683,6.3,0.264,52,55.675,6.4,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:05.259",139.3919948,25,30.568,52,55.685,6.1,0.299,52,55.676,6.2,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:06.740",140.872841,25,30.561,52,55.676,6.6,0.282,52,55.671,6.4,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:08.291",142.4239567,25,30.554,52,55.675,6.6,0.299,52,55.667,6.8,0.317,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:09.781",143.9145858,25,30.552,52,55.668,6.7,0.299,52,55.663,6.1,0.282,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:11.333",145.4659973,25,30.54,52,55.677,6.3,0.282,52,55.668,6.5,0.317,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:12.884",147.0168517,25,30.535,52,55.676,6.6,0.299,52,55.669,6.5,0.317,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:14.585",148.7177898,25,30.527,52,55.68,6.3,0.282,52,55.671,6.3,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:15.916",150.0488661,25,30.526,52,55.677,6.3,0.282,52,55.671,6.6,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:17.466",151.599549,25,30.514,52,55.678,6.3,0.282,52,55.671,6.5,0.317,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:18.777",152.9103675,25,30.513,52,55.677,6.3,0.282,52,55.67,6.4,0.317,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:20.328",154.461217,25,30.503,52,55.675,6.7,0.299,52,55.669,7,0.335,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:21.789",155.9219774,25,30.499,52,55.677,6.7,0.282,52,55.67,6.3,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:23.340",157.4728043,25,30.486,52,55.674,6.5,0.282,52,55.668,6.7,0.317,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:24.831",158.9638572,25,30.486,52,55.678,6.3,0.264,52,55.669,6.4,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:26.652",160.7850075,25,30.486,52,55.674,6.5,0.282,52,55.666,6.6,0.317,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:28.202",162.3357236,25,30.473,52,55.677,6.3,0.282,52,55.667,6.6,0.317,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:29.693",163.8267072,25,30.472,52,55.674,6.3,0.282,52,55.665,6.4,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:31.244",165.3774996,25,30.472,52,55.674,6.8,0.299,52,55.665,6.9,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:32.955",167.0885691,25,30.472,52,55.674,7.1,0.317,52,55.664,6.8,0.176,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:35.107",169.2399595,25,30.467,96,58.818,100,4.022,52,56.07,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:36.998",171.1313342,25,30.458,96,69.148,100,3.793,96,58.364,100,4.164,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:39.219",173.3523681,25,30.447,96,78.974,100,3.634,96,69.885,100,3.846,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:40.710",174.8433509,25,30.444,96,89.926,100,3.493,96,83.704,100,3.599,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:42.441",176.5742308,25,30.431,96,98.237,100,3.387,96,94.404,100,3.476,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:43.992",178.1250995,25,30.43,96,107.245,100,3.281,96,105.61,100,3.352,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:45.884",180.0170745,25,30.417,96,115.51,100,3.193,96,114.214,100,3.246,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:50.926",185.0589855,25,30.404,96,121.669,100,3.581,96,119.219,100,3.493,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:51.976",186.1094503,25,30.39,96,117.016,100,3.281,96,117.006,100,3.334,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:52.891",187.0245912,25,30.39,96,118.961,100,3.193,96,119.003,100,3.246,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:57.324",191.4569762,25,30.39,96,123.658,100,0,96,121.877,100,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:58.138",192.2716194,25,30.39,96,117.351,100,3.334,96,117.542,100,3.37,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:32:59.092",193.2253125,25,30.39,96,117.23,0,0,96,118.02,100,3.352,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:33:01.993",196.1264189,25,30.39,96,117.857,0,0,96,121.706,100,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:33:03.108",197.24155,25,30.403,96,114.78,0,0,96,118.896,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:33:04.062",198.1952116,25,30.404,96,112.788,0,0,96,116.139,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:33:05.054",199.1873018,25,30.404,96,110.566,0,0,96,112.95,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:33:05.927",200.0600259,25,30.404,96,108.242,45.7,1.764,96,109.852,6.3,0.564,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:33:06.972",201.10504,25,30.41,96,106.615,70.7,2.399,96,107.34,75.1,2.77,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:33:08.142",202.2752465,25,30.417,96,106.549,0,0,96,106.722,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:33:09.053",203.1863176,25,30.417,96,106.734,41.7,1.57,96,106.591,44.6,1.693,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:33:10.046",204.1794077,25,30.417,96,105.985,60.7,2.205,96,106.041,49.2,1.711,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:33:11.047",205.1804596,25,30.417,96,106.362,0,0,96,106.381,0.5,0.035,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:33:11.925",206.0577896,25,30.43,96,106.677,26.2,0.988,96,106.381,44,1.623,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:33:12.979",207.1121736,25,30.431,96,106.09,61.6,2.223,96,106.053,39.8,1.252,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:33:13.762",207.8950957,25,30.431,96,106.33,0,0,96,106.416,10.5,0.405,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:33:15.075",209.2077933,25,30.431,96,106.716,11.8,0.441,96,106.385,36.5,1.411,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:33:16.055",210.1883599,25,30.433,96,106.002,51.3,1.87,96,106.163,30,1.041,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:33:17.431",211.5647087,25,30.436,96,106.606,0,0,96,106.442,24.4,0.952,-2.688,-2.688,-2.688,-2.688
"2017-07-17 23:33:18.125",212.2577609,25,30.444,96,106.314,62.5,2.117,96,106.255,40.6,1.535,-2.688,-2.688,-2.688,-2.688
