Protocol file: C:\HelixGen\Protocols\Protocol_pcr - jacky.xml
Run date.time: 7/18/2017 2:53:02 AM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2017-07-18 02:53:03.848",0,25,34.979,98,93.765,0,0,98,93.887,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:05.600",1.7515745,25,34.98,50,90.168,0,0,50,90.11,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:07.151",3.3029109,25,34.995,50,87.623,0,0,50,87.483,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:08.642",4.7941406,25,34.996,50,85.228,0,0,50,85.053,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:10.193",6.3449536,25,35.011,50,82.966,0,0,50,82.765,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:11.744",7.8960923,25,35.011,50,80.85,0,0,50,80.637,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:13.566",9.7174625,25,35.027,50,78.842,0,0,50,78.628,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:15.116",11.2683435,25,35.027,50,76.362,0,0,50,76.149,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:16.588",12.7402612,25,35.043,50,74.63,0,0,50,74.423,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:18.139",14.2912789,25,35.043,50,72.998,0,0,50,72.79,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:19.631",15.7827236,25,35.052,50,71.459,0,0,50,71.266,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:21.182",17.3341491,25,35.059,50,70.008,0,0,50,69.823,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:22.703",18.8550662,25,35.059,50,68.646,0,0,50,68.473,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:24.255",20.4067431,25,35.075,50,67.356,0,0,50,67.185,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:25.797",21.9489711,25,35.075,50,66.143,0,0,50,65.979,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:27.349",23.5004494,25,35.087,50,64.991,0,0,50,64.47,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:28.901",25.0526097,25,35.091,50,63.907,0,0,50,63.754,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:30.832",26.9839163,25,35.091,50,62.872,0,0,50,62.406,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:32.564",28.715558,25,35.104,50,61.59,0,0,50,61.152,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:34.115",30.2664793,25,35.107,50,60.395,0,0,50,60.268,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:35.606",31.7574625,25,35.107,50,59.552,0,0,50,59.429,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:37.157",33.3087431,25,35.121,50,58.754,0,0,50,58.63,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:38.638",34.7901406,25,35.123,50,57.998,0,0,50,57.881,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:40.189",36.341187,25,35.123,50,57.279,0,0,50,57.165,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:41.670",37.8223429,25,35.126,50,56.6,0,0,50,56.493,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:43.221",39.3730955,25,35.139,50,55.951,0,0,50,55.848,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:44.743",40.8944414,25,35.139,50,55.338,0,0,50,55.238,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:46.565",42.7168737,25,35.139,50,54.751,10.1,0,50,54.517,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:47.936",44.0881071,25,35.141,50,54.622,0,0,50,54.561,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:49.578",45.7298727,25,35.153,50,54.527,0,0,50,54.336,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:50.949",47.1006204,25,35.155,50,53.982,6.9,0.317,50,53.902,7.7,0.37,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:52.580",48.7319105,25,35.155,50,53.711,0,0,50,53.627,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:53.951",50.1030429,25,35.155,50,53.702,0,0,50,53.581,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:55.582",51.7338666,25,35.158,50,53.511,0,0.035,50,53.255,5.8,0.282,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:56.953",53.1054052,25,35.171,50,53.043,0,0,50,52.958,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:58.584",54.7363338,25,35.171,50,53.238,0,0,50,53.119,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:53:59.956",56.1079968,25,35.171,50,53.17,0,0,50,52.952,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:54:01.587",57.7392865,25,35.171,50,52.902,13,0.582,50,52.605,7.5,0.37,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:54:02.958",59.1102643,25,35.171,50,53,0,0,50,52.717,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:54:04.591",60.7424458,25,35.171,50,53.098,0,0,50,52.733,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:54:05.961",62.1131992,25,35.172,50,52.674,15.9,0.758,50,52.437,11.1,0.546,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:54:07.592",63.7443519,25,35.177,50,52.569,0,0,50,52.372,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:54:08.964",65.1155656,25,35.184,50,53.051,0,0,50,52.644,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:54:10.595",66.7473537,25,35.187,50,52.909,0,0,50,52.47,2.4,0.105,-2.688,-2.688,-2.688,-2.688
"2017-07-18 02:54:11.966",68.1182971,25,35.188,50,52.508,0,0,50,52.184,0,0,-2.688,-2.688,-2.688,-2.688
