Protocol file: C:\HelixGen\Protocols\Protocol_pcr - HLG.xml
Run date.time: 7/18/2017 10:28:37 PM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2017-07-18 22:28:39.461",0,25,25.037,98,38.374,0,0,98,38.3,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 22:28:41.272",1.8108085,25,25.041,50,37.97,100,4.411,50,37.896,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 22:28:42.822",3.360806,25,25.041,50,44.462,100,4.075,50,40.262,100,4.252,-2.688,-2.688,-2.688,-2.688
"2017-07-18 22:28:44.382",4.9207685,25,25.045,50,54.416,0,0,50,50.398,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 22:28:45.932",6.471056,25,25.051,50,60.295,0,0,50,58.83,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 22:28:47.412",7.9510778,25,25.053,50,61.249,0,0,50,60.791,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 22:28:48.962",9.5011105,25,25.053,50,60.421,0,0,50,60.231,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 22:28:50.433",10.9712817,25,25.053,50,59.047,0,0,50,58.897,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 22:28:51.983",12.5219158,25,25.059,50,57.536,0,0,50,57.38,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 22:28:53.443",13.9821338,25,25.064,50,56.041,0,0,50,55.864,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 22:28:54.994",15.5323396,25,25.064,50,54.606,96.1,4.199,50,54.439,92,3.934,-2.688,-2.688,-2.688,-2.688
"2017-07-18 22:28:56.464",17.002338,25,25.068,50,55.156,0,0,50,56.538,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 22:28:58.014",18.5527617,25,25.075,50,59.088,0,0,50,58.714,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 22:28:59.484",20.0229788,25,25.076,50,59.387,0,0,50,58.648,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 22:29:01.035",21.573172,25,25.076,50,58.278,0,0,50,57.667,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 22:29:02.505",23.0435552,25,25.081,50,56.846,0,0,50,56.382,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 22:29:04.055",24.5935416,25,25.087,50,55.396,0,0,50,55.037,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 22:29:05.765",26.3037382,25,25.087,50,54.342,0,0,50,54.091,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 22:29:07.316",27.85455,25,25.091,50,57.892,0,0,50,58.143,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 22:29:08.866",29.405073,25,25.098,50,59.13,0,0,50,58.544,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 22:29:10.417",30.9555024,25,25.098,50,58.124,0,0,50,57.682,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 22:29:11.967",32.5059823,25,25.1,50,56.762,0,0,50,56.42,0,0,-2.688,-2.688,-2.688,-2.688
