Protocol file: C:\HelixGen\Protocols\Protocol_pcr - optics test.xml
Run date.time: 7/18/2017 11:57:09 PM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2017-07-18 23:57:11.086",0,25,34.315,50,38.901,0,0,50,38.893,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:12.827",1.7403438,25,34.315,60,38.884,100,4.905,60,38.87,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:14.317",3.2305481,25,34.315,60,40.621,100,4.164,60,39.401,100,4.305,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:15.868",4.7814313,25,34.315,60,49.631,100,3.97,60,47.095,100,4.075,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:17.358",6.2714231,25,34.315,60,61.609,0,0,60,59.05,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:18.908",7.8214903,25,34.315,60,70.794,0,0,60,70.217,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:20.388",9.3021439,25,34.315,60,73.041,0,0,60,73.46,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:21.939",10.8524872,25,34.315,60,72.47,0,0,60,72.951,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:23.369",12.2826822,25,34.315,60,70.998,0,0,60,71.316,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:24.920",13.833391,25,34.315,60,69.247,0,0,60,69.419,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:26.390",15.3036036,25,34.315,60,67.491,0,0,60,67.532,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:27.940",16.8538435,25,34.315,60,65.783,0,0,60,65.759,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:29.410",18.3241037,25,34.326,60,64.195,100,4.022,60,64.143,100,4.075,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:30.962",19.8754021,25,34.33,60,66.486,0,0,60,66.338,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:32.442",21.3560035,25,34.33,60,69.383,0,0,60,68.714,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:33.993",22.9066644,25,34.33,60,69.06,0,0,60,68.493,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:35.424",24.3373644,25,34.33,60,67.73,0,0,60,67.318,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:36.975",25.8886751,25,34.33,60,66.168,0,0,60,65.873,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:38.425",27.3390838,25,34.33,60,64.624,100,4.181,60,64.413,94.4,3.864,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:39.976",28.8899391,25,34.331,60,65.188,0,0,60,66.494,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:41.437",30.3504085,25,34.342,60,69.284,0,0,60,68.608,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:42.987",31.9005392,25,34.346,60,69.489,0,0,60,68.518,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:44.467",33.3805996,25,34.346,60,68.242,0,0,60,67.494,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:46.018",34.9317897,25,34.346,60,66.681,0,0,60,66.156,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:47.509",36.4228219,25,34.346,60,65.121,0,0,60,64.737,92.2,3.917,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:49.059",37.9729194,25,34.35,60,64.131,0,0,60,65.065,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:50.499",39.4130582,25,34.36,60,68.299,0,0,60,68.047,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:52.051",40.9645207,25,34.361,60,69.527,0,0,60,68.519,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:53.511",42.4250036,25,34.361,60,68.58,0,0,60,67.362,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:55.062",43.9753432,25,34.361,60,67.106,0,0,60,66.51,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:56.523",45.436611,25,34.367,60,65.566,0,0,60,64.679,90.8,4.181,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:58.074",46.9874449,25,34.377,60,64.125,92.2,3.793,60,64.181,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:57:59.524",48.4374307,25,34.377,60,66.818,0,0,60,67.905,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:01.074",49.9879098,25,34.377,60,69.428,0,0,60,68.43,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:02.545",51.4591033,25,34.377,60,68.935,0,0,60,67.655,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:04.096",53.0095134,25,34.387,60,67.576,0,0,60,66.878,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:05.546",54.4599471,25,34.393,60,66.056,0,0,60,65.115,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:07.096",56.010048,25,34.393,60,64.572,100,4.181,60,64.229,85.3,0.599,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:08.557",57.4705576,25,34.393,60,65.131,0,0,60,67.135,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:10.108",59.0220385,25,34.399,60,69.002,0,0,60,68.135,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:11.558",60.4720661,25,34.408,60,69.173,0,0,60,67.833,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:13.109",62.0228549,25,34.409,60,67.982,0,0,60,67.156,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:14.599",63.5128156,25,34.409,60,66.494,0,0,60,65.479,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:16.140",65.0535236,25,34.409,60,65.011,0,0,60,64.597,85.6,3.687,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:17.590",66.5036406,25,34.422,60,64.066,0,0,60,65.979,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:19.141",68.0542949,25,34.424,60,68.088,0,0,60,67.543,0,0.017,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:20.851",69.7649251,25,34.424,60,69.256,0,0,60,67.875,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:22.402",71.3153919,25,34.424,60,67.875,0,0,60,66.985,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:23.442",72.3557516,25,34.434,60,66.399,0,0,60,65.787,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:24.993",73.9064268,25,34.44,60,65.414,0,0,60,64.93,79.4,3.476,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:26.543",75.4566462,25,34.44,60,64.45,0,0,60,65.099,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:28.083",76.997038,25,34.44,60,68.284,0,0,60,67.614,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:29.874",78.7874297,25,34.449,60,69.352,0,0,60,67.883,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:31.604",80.51792,25,34.456,60,67.928,0,0,60,66.992,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:33.155",82.0683671,25,34.456,60,66.455,0,0,60,65.801,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:34.905",83.8186251,25,34.456,60,64.983,96.6,4.04,60,64.457,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:36.455",85.3687686,25,34.465,60,67.007,0,0,60,67.06,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:37.976",86.8894217,25,34.471,60,69.353,0,0,60,68.067,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:39.527",88.4403599,25,34.471,60,68.794,0,0,60,67.639,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:41.077",89.9906503,25,34.471,60,67.449,0,0,60,66.624,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:42.627",91.5411343,25,34.475,60,65.97,0,0,60,64.981,76.1,3.44,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:44.178",93.0914879,25,34.487,60,64.561,88.1,3.758,60,64.473,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:45.698",94.6117233,25,34.487,60,65.263,0,0,60,67.305,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:47.249",96.1622525,25,34.487,60,68.143,0,0,60,67.51,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:48.720",97.6339428,25,34.49,60,67.996,0,0,60,66.805,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:50.271",99.1843394,25,34.503,60,66.807,0,0,60,65.706,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:51.721",100.634728,25,34.503,60,65.41,0,0,60,64.496,75,3.193,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:53.272",102.185219,25,34.503,60,64.45,0,0,60,66.004,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-18 23:58:54.732",103.6452273,25,34.51,60,68.038,0,0,60,67.627,0,0,-2.688,-2.688,-2.688,-2.688
