Protocol file: C:\HelixGen\Protocols\Protocol_pcr - HLG.xml
Run date.time: 7/19/2017 12:03:48 AM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2017-07-19 00:03:49.922",0,25,34.78,50,42.077,0,0,50,42.014,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:03:52.082",2.1599969,25,34.786,50,41.891,0,0,50,41.879,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:03:54.302",4.3798061,25,34.787,50,41.802,100,4.428,50,41.727,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:03:56.342",6.4205355,25,34.787,50,50.371,100,4.093,50,43.318,100,4.781,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:03:57.833",7.9109511,25,34.787,50,61.064,0,0,50,49.806,100,4.164,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:03:59.383",9.4615894,25,34.787,50,68.547,0,0,50,61.843,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:04:00.894",10.972334,25,34.787,50,71.161,0,0,50,71.003,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:04:02.445",12.522642,25,34.787,50,71.32,0,0,50,72.067,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:04:03.995",14.0735104,25,34.787,50,70.347,0,0,50,70.773,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:04:05.546",15.6243916,25,34.787,50,68.818,0,0,50,68.7,7.1,0.317,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:04:07.347",17.425459,25,34.787,50,67.189,14.4,0.635,50,67.083,10.4,0.476,-2.688,-2.688,-2.688,-2.688
