Protocol file: C:\HelixGen\Protocols\Protocol_pcr - optics test.xml
Run date.time: 7/19/2017 12:05:15 AM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2017-07-19 00:05:16.994",0,25,34.897,50,48.35,0,0,50,48.262,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:18.704",1.7105782,25,34.899,60,47.966,100,4.499,60,47.867,100,4.569,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:19.804",2.8107138,25,34.899,60,51.396,100,4.022,60,50.893,100,4.146,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:20.845",3.8514994,25,34.899,60,58.287,100,3.881,60,57.842,100,3.987,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:22.397",5.4029245,25,34.899,60,65.885,100,3.758,60,65.58,100,3.864,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:23.947",6.9533273,25,34.899,60,78.555,0,0,60,78.17,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:25.497",8.503792,25,34.899,60,82.663,0,0,60,81.93,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:26.968",9.97446,25,34.899,60,82.333,0,0,60,81.487,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:28.519",11.5249342,25,34.899,60,80.515,0,0,60,79.645,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:30.339",13.3452959,25,34.899,60,78.055,20.8,0.899,60,77.365,22.5,0.899,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:32.199",15.2054688,25,34.899,60,76.967,2.4,0.088,60,76.707,12.2,0.617,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:33.750",16.7561022,25,34.9,60,76.465,0,0,60,76.373,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:34.780",17.7866691,25,34.91,60,75.813,0,0,60,75.854,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:35.821",18.8269443,25,34.915,60,74.838,0,0,60,74.796,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:37.371",20.3775321,25,34.915,60,73.779,0,0,60,73.633,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:38.922",21.9278718,25,34.915,60,71.979,0,0,60,71.721,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:40.472",23.4782791,25,34.915,60,70.322,0,0,60,70.005,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:42.042",25.0482757,25,34.915,60,68.528,0,0,60,68.193,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:43.592",26.5986854,25,34.929,60,67.138,0,0,60,66.815,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:45.083",28.0892791,25,34.931,60,65.648,0,0,60,65.347,0,0.035,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:47.084",30.0899265,25,34.931,60,64.32,12.8,0.564,60,64.053,7.2,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:48.634",31.6403428,25,34.931,60,63.941,6,0.247,60,63.831,8.5,0.388,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:50.074",33.080203,25,34.939,60,63.665,6.1,0.247,60,63.657,6.5,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:51.804",34.8106043,25,34.947,60,63.724,6.3,0.264,60,63.656,7.4,0.335,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:52.834",35.8407437,25,34.947,60,63.622,6.6,0.282,60,63.604,7.6,0.352,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:53.875",36.8810382,25,34.947,60,63.674,6.5,0.247,60,63.622,6.9,0.335,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:55.366",38.3722263,25,34.947,60,63.639,9.1,0.405,60,63.605,8.6,0.405,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:56.916",39.9222172,25,34.948,60,63.653,5.7,0.247,60,63.612,6.8,0.317,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:05:58.467",41.4737322,25,34.962,60,63.637,7.3,0.317,60,63.604,7.8,0.352,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:00.349",43.3549787,25,34.963,60,63.662,100,4.075,60,63.644,100,4.181,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:02.079",45.0851892,25,34.963,60,68.222,100,3.793,60,68.083,100,3.899,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:03.630",46.6361315,25,34.963,60,78.128,0,0,60,78.073,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:05.380",48.3861668,25,34.963,60,81.25,0,0,60,80.982,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:06.931",49.9369224,25,34.967,60,80.383,0,0,60,79.956,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:08.922",51.9282151,25,34.978,60,78.511,7.2,0.299,60,77.86,18.5,0.829,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:10.632",53.6382164,25,34.979,60,76.916,1.8,0.052,60,76.783,8.5,0.37,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:12.903",55.9090841,25,34.979,60,76.482,15.8,0.67,60,76.409,12.7,0.564,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:14.613",57.6192442,25,34.981,60,76.496,12.9,0.635,60,76.383,14.1,0.635,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:16.173",59.1792252,25,34.994,60,76.114,0,0,60,76.117,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:17.724",60.730085,25,34.995,60,75.072,0,0,60,74.989,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:19.184",62.1905179,25,34.995,60,73.449,0,0,60,73.248,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:20.734",63.7405158,25,34.995,60,71.951,0,0,60,71.68,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:22.215",65.2210134,25,35.009,60,70.276,0,0,60,69.972,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:23.765",66.7715143,25,35.011,60,68.876,0,0,60,68.567,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:25.226",68.2319221,25,35.011,60,67.366,0,0,60,67.072,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:26.776",69.7823052,25,35.011,60,66.043,0,0,60,65.764,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:28.476",71.4825149,25,35.024,60,64.798,9.1,0.405,60,64.415,11.3,0.546,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:30.027",73.0332525,25,35.027,60,64.004,3.1,0.07,60,63.955,3.6,0.158,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:31.728",74.7346749,25,35.027,60,63.802,10.6,0.476,60,63.735,9.4,0.441,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:33.399",76.4051042,25,35.027,60,63.741,3.7,0.141,60,63.695,6.2,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:35.370",78.3758468,25,35.037,60,63.65,8.2,0.352,60,63.632,8,0.37,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:36.922",79.9279915,25,35.043,60,63.702,6.4,0.282,60,63.647,7.3,0.335,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:38.412",81.4179944,25,35.043,60,63.644,5,0.211,60,63.625,7,0.317,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:39.962",82.9686811,25,35.043,60,63.682,7.4,0.317,60,63.637,8.1,0.388,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:41.453",84.4588629,25,35.055,60,63.656,6,0.264,60,63.626,6.6,0.299,-2.688,-2.688,-2.688,-2.688
"2017-07-19 00:06:43.003",86.0095873,25,35.059,60,63.668,7.4,0.335,60,63.627,7.5,0.352,-2.688,-2.688,-2.688,-2.688
