Protocol file: C:\HelixGen\Protocols\Protocol_pcr - jacky - Copy.xml
Run date.time: 7/20/2017 12:36:44 AM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2017-07-20 00:36:46.045",0,25,27.351,25,31.043,0,0,25,31.042,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:36:47.815",1.7705497,25,27.356,98,31.033,100,4.817,98,31.031,100,4.675,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:36:49.366",3.3212421,25,27.369,98,33.053,100,4.252,98,32.974,100,4.358,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:36:50.586",4.5414087,25,27.382,98,42.948,100,4.022,98,42.16,100,4.111,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:36:52.137",6.092447,25,27.393,98,50.845,100,3.881,98,53.529,100,3.97,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:36:53.687",7.6428387,25,27.404,98,66.979,100,3.705,98,65.658,100,3.775,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:36:55.239",9.1940743,25,27.406,98,74.614,100,3.564,98,77.025,100,3.652,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:36:56.739",10.6942557,25,27.406,98,88.239,100,3.44,98,87.21,100,3.528,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:36:58.289",12.2443422,25,27.416,98,97.207,0,0,98,96.086,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:36:59.759",13.7143984,25,27.418,98,101.871,0,0,98,100.616,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:01.310",15.2651704,25,27.425,98,100.237,100,3.546,98,99.361,100,3.599,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:02.801",16.7558703,25,27.43,98,100.128,0,0,98,99.513,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:04.531",18.4862864,25,27.43,98,101.983,0,0,98,100.979,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:05.772",19.7271992,25,27.443,98,100.034,100,3.458,98,99.46,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:07.322",21.277076,25,27.443,98,102.092,0,0,98,101.259,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:08.792",22.7476763,25,27.455,98,102.527,76.8,2.876,98,101.461,88.8,3.281,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:10.343",24.2983293,25,27.455,98,100.966,1,0.017,98,100.408,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:11.773",25.7285317,25,27.463,98,103.462,0,0,98,102.661,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:13.324",27.2795544,25,27.467,98,102.425,100,3.74,98,101.557,100,3.581,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:14.824",28.7797341,25,27.478,98,100.995,0,0,98,101.777,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:16.375",30.3305697,25,27.48,98,104.144,0,0,98,103.038,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:17.836",31.7911802,25,27.492,98,103.04,0,0,98,101.571,100,3.581,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:19.566",33.5216426,25,27.492,98,100.683,100,3.511,98,102.769,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:20.787",34.7424578,25,27.505,98,103.412,0,0,98,101.858,55.8,2.064,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:22.338",36.2930961,25,27.505,98,103.676,0,0,98,102.534,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:23.848",37.8030928,25,27.517,98,101.645,100,3.528,98,102.723,68.1,2.558,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:25.579",39.5340278,25,27.529,98,102.084,0,0,98,101.309,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:26.789",40.7446199,25,27.532,98,104.295,0,0,98,103.74,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:28.340",42.295307,25,27.542,98,102.743,100,3.74,98,102.584,100,3.67,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:29.870",43.8254838,25,27.554,98,101.21,0,0,98,101.282,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:31.600",45.5557751,25,27.561,98,104.351,0,1.976,98,103.794,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:33.581",47.5367622,25,27.568,60,103.011,0,0,98,102.22,100,3.599,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:35.472",49.4269494,25,27.582,60,99.685,0,0,60,103.756,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:37.632",51.5877648,25,27.599,60,97.401,0,0,60,100.732,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:38.844",52.7993316,25,27.615,60,94.372,0,0,60,96.258,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:40.465",54.4207509,25,27.617,60,92.056,0,0,60,93.127,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:41.705",55.6606397,25,27.629,60,89.142,0,0,60,89.446,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:43.437",57.3919993,25,27.641,60,86.976,0,0,60,86.487,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:45.167",59.121962,25,27.654,60,83.815,0,0,60,83.402,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:46.717",60.672122,25,27.666,60,81.003,0,0,60,80.6,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:48.238",62.1929363,25,27.679,60,78.656,0,0,60,78.03,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:49.788",63.7432517,25,27.691,60,76.448,0,0,60,75.804,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:51.338",65.2932389,25,27.704,60,74.242,0,0,60,73.602,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:53.098",67.0535224,25,27.716,60,72.303,0,0,60,71.552,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:54.649",68.6044162,25,27.729,60,70.13,0,0,60,69.519,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:55.929",69.8847682,25,27.741,60,68.435,0,0,60,67.838,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:57.240",71.1948534,25,27.753,60,67.042,0,0,60,66.465,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:37:58.790",72.7454318,25,27.754,60,65.714,0,0,60,65.161,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:00.431",74.3862636,25,27.766,60,64.168,6.5,0.282,60,63.659,20.3,0.952,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:01.992",75.946965,25,27.778,60,63.321,0,0,60,63.176,5.6,0.247,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:03.722",77.6769736,25,27.791,60,62.981,11.5,0.511,60,62.76,7.6,0.352,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:05.213",79.1682397,25,27.803,60,62.731,4.1,0.194,60,62.514,8.2,0.37,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:06.764",80.7190281,25,27.805,60,62.49,9.1,0.388,60,62.335,8.4,0.388,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:08.254",82.2092017,25,27.816,60,62.399,7.9,0.335,60,62.245,9.2,0.423,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:09.804",83.7598461,25,27.829,60,62.317,7.9,0.352,60,62.203,9.1,0.441,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:11.445",85.4003296,25,27.836,60,62.326,8.8,0.388,60,62.223,10,0.476,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:13.115",87.0705398,25,27.842,60,62.362,9.9,0.352,60,62.288,10.6,0.476,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:14.636",88.5911678,25,27.854,60,62.454,9.3,0.405,60,62.386,10.5,0.494,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:16.357",90.3119798,25,27.866,60,62.568,9.6,0.423,60,62.521,10.6,0.529,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:18.087",92.0427396,25,27.867,60,62.715,8.6,0.388,60,62.679,10.2,0.476,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:19.888",93.8430382,25,27.879,60,62.878,9.4,0.405,60,62.843,11,0.511,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:22.048",96.0036603,25,27.891,60,63.049,9.6,0.441,60,63.035,12.4,0.582,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:23.578",97.5337862,25,27.899,60,63.23,10.5,0.458,60,63.206,11.5,0.529,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:25.549",99.5040381,25,27.904,60,63.36,10,0.441,60,63.356,12,0.494,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:27.670",101.6252092,25,27.916,60,63.52,9.2,0.476,60,63.522,11.6,0.529,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:30.141",104.0962288,25,27.922,72,63.714,0,0,60,63.687,12.5,0.546,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:32.481",106.4366684,25,27.929,72,63.276,100,4.04,72,63.772,100,4.164,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:34.672",108.6273364,25,27.941,72,71.187,100,3.705,72,70.924,100,3.581,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:36.203",110.1579058,25,27.947,72,84.149,100,3.528,72,83.495,100,3.617,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:37.753",111.7087311,25,27.954,72,92.769,0,0,72,91.927,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:39.205",113.1601806,25,27.954,72,94.575,0,0,72,94.042,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:40.796",114.7512308,25,27.954,72,92.677,0,0,72,92.051,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:42.256",116.2112796,25,27.966,72,89.736,0,0,72,89.002,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:43.806",117.7616156,25,27.967,72,86.63,0,0,72,85.819,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:45.237",119.1922696,25,27.975,72,83.631,6.5,0.247,72,82.801,19.9,0.864,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:46.827",120.7826596,25,27.979,72,81.182,12.3,0.582,72,80.822,8.7,0.388,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:48.708",122.6634574,25,27.99,72,80.203,18.8,0.776,72,79.788,19.1,0.811,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:50.989",124.9446823,25,27.992,72,79.555,13,0.546,72,79.287,16.5,0.705,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:52.880",126.8358234,25,28.004,72,79.239,7.5,0.299,72,79.118,15.5,0.67,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:54.912",128.8673557,25,28.012,72,79.103,16,0.582,72,79.061,14.7,0.635,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:57.032",130.987801,25,28.017,72,79.155,22.3,0.811,72,79.078,19.1,0.829,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:38:59.283",133.2382347,25,28.03,72,79.236,18,0.758,72,79.135,18.4,0.811,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:39:01.233",135.1883849,25,28.033,72,79.284,14.2,0.599,72,79.182,17.1,0.794,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:39:03.453",137.4085794,25,28.042,72,79.287,12.9,0.458,72,79.22,15.3,0.723,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:39:06.114",140.0691223,25,28.045,98,79.299,100,3.899,72,79.28,16.1,0.67,-2.688,-2.688,-2.688,-2.688
"2017-07-20 00:39:08.325",142.2798785,25,28.055,98,85.527,100,3.67,72,79.969,0,0,-2.688,-2.688,-2.688,-2.688
