Protocol file: C:\HelixGen\Protocols\Protocol_pcr - jacky - Copy.xml
Run date.time: 7/20/2017 10:48:07 PM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2017-07-20 22:48:09.118",0,25,30.132,72,34.329,0,0,72,34.316,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:10.848",1.7299935,25,30.132,98,34.294,0,4.958,98,34.27,0,5.134,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:12.399",3.2810345,25,30.132,98,36.124,100,4.234,98,34.736,100,4.375,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:13.859",4.7416534,25,30.132,98,45.52,100,4.005,98,42.424,100,4.111,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:15.410",6.292061,25,30.132,98,57.456,100,3.828,98,54.096,100,3.917,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:16.890",7.7720472,25,30.124,98,70.146,100,3.652,98,67.159,100,3.74,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:18.440",9.3226419,25,30.118,98,82.063,100,3.511,98,79.496,100,3.599,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:19.901",10.7837367,25,30.118,98,92.845,100,3.387,98,94.077,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:21.452",12.3339563,25,30.117,98,102.32,0,0,98,100.108,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:22.912",13.793952,25,30.107,98,105.231,0,0,98,103.17,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:24.463",15.3452109,25,30.105,98,103.114,0,0,98,101.923,100,3.599,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:25.923",16.8053674,25,30.105,98,100.409,100,3.511,98,103.259,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:27.473",18.3554021,25,30.105,98,103.482,0,0,98,103.497,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:28.954",19.8360201,25,30.108,98,104.012,0,0,98,101.556,97,3.493,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:30.494",21.3762447,25,30.113,98,101.57,100,3.564,98,102.795,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:31.965",22.8472493,25,30.116,98,102.863,0,0,98,103.446,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:33.515",24.3973701,25,30.118,98,104.711,0,0,98,102.307,72.8,2.646,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:34.975",25.8577654,25,30.118,98,102.697,100,3.67,98,104.092,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:36.527",27.409064,25,30.118,98,102.122,0,0,98,103.965,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:37.988",28.8703077,25,30.118,98,104.601,0,0,98,101.655,65.1,2.382,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:39.538",30.4207895,25,30.125,98,103.256,0,0,98,103.899,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:40.998",31.8807844,25,30.132,98,101.639,81.9,2.911,98,103.174,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:42.550",33.4322833,25,30.132,98,104.044,0,0,98,101.279,68.1,2.487,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:44.011",34.8935631,25,30.132,98,104.159,0,0,98,103.889,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:45.561",36.4435678,25,30.145,98,102.471,100,3.705,98,103.523,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:47.021",37.9034129,25,30.145,98,101.419,0,0,98,101.081,100,3.581,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:48.572",39.4539661,25,30.145,98,104.371,0,0,98,103.963,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:50.042",40.9246371,25,30.156,98,104.36,0,0,98,104.492,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:51.592",42.4748564,25,30.159,98,102.137,100,3.652,98,101.973,100,3.617,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:53.053",43.9353206,25,30.159,98,100.699,0,0,98,102.21,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:54.604",45.4860289,25,30.172,98,104.374,0,0,98,104.263,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:56.064",46.9462445,25,30.172,98,104.173,0,0,98,102.772,100,3.793,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:57.615",48.4974344,25,30.186,98,101.563,100,3.511,98,101.665,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:48:59.076",49.9581514,25,30.186,98,102.478,0,0,98,104.135,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:00.626",51.5081626,25,30.187,98,105.456,0,0,98,103.716,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:02.096",52.9781567,25,30.199,98,103.797,0,0,98,101.462,100,3.599,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:03.646",54.5281638,25,30.2,98,101.097,100,3.493,98,102.102,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:05.156",56.0388861,25,30.213,98,104.135,0,0,98,104.037,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:06.707",57.5898364,25,30.213,98,105.278,0,0,98,102.885,100,3.775,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:08.168",59.0502416,25,30.226,98,102.866,100,3.634,98,102.088,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:09.718",60.600714,25,30.227,98,101.964,0,0,98,104.555,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:11.139",62.0213665,25,30.237,98,105.832,0,0,98,104.033,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:12.689",63.5713753,25,30.24,98,105.12,0,0,98,102.038,100,3.652,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:14.149",65.0318256,25,30.252,98,102.219,100,3.634,98,102.851,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:15.701",66.5832814,25,30.254,98,101.645,0,0,98,104.237,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:17.191",68.0739121,25,30.266,98,104.939,0,0,98,102.859,100,3.74,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:18.732",69.6139447,25,30.267,98,103.843,0,0,98,102.245,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:20.192",71.074546,25,30.279,98,101.753,100,3.546,98,104.481,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:21.742",72.6247357,25,30.281,98,103.06,0,0,98,102.979,100,3.758,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:23.383",74.2651354,25,30.293,98,104.274,0,0,98,102.563,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:24.933",75.8153264,25,30.294,98,102.255,100,3.599,98,104.537,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:26.174",77.0564356,25,30.308,98,103.314,0,0,98,102.71,100,3.687,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:27.515",78.3970833,25,30.308,98,104.705,0,0,98,102.297,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:29.065",79.9472837,25,30.316,98,103.933,0,0,98,104.59,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:30.586",81.4687165,25,30.322,98,102.132,100,3.581,98,102.995,100,3.864,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:32.137",83.019552,25,30.334,98,102.832,0,0,98,101.933,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:33.687",84.5697191,25,30.335,98,105.456,0,0,98,105.435,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:35.449",86.3312819,25,30.346,98,104.714,0,0,98,104.733,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:36.999",87.8817132,25,30.349,98,101.372,100,3.564,98,101.983,100,3.581,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:38.279",89.1617029,25,30.363,98,101.974,0,0,98,102.328,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:39.650",90.5323083,25,30.363,98,104.689,0,0,98,104.581,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:41.200",92.0822092,25,30.375,98,104.702,0,0,98,103.283,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:42.510",93.3927465,25,30.376,98,102.216,100,3.617,98,101.068,100,3.564,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:44.060",94.9426457,25,30.389,98,100.976,0,0,98,102.233,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:45.551",96.4331645,25,30.39,98,105.021,0,0,98,104.142,0,0,-2.688,-2.688,-2.688,-2.688
"2017-07-20 22:49:47.611",98.4938837,25,30.404,98,104.769,0,0,98,102.447,100,3.846,-2.688,-2.688,-2.688,-2.688
