Protocol file: C:\HelixGen\Protocols\Protocol_test1.xml
Run date.time: 6/13/2018 4:00:38 PM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2018-06-13 16:00:39.542",0,25,14.678,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.519,94.259,-2.688
"2018-06-13 16:00:40.022",0.4799977,25,14.675,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.503,95.808,-2.688
"2018-06-13 16:00:40.962",1.4199994,25,14.682,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.467,98.628,-2.688
"2018-06-13 16:00:41.542",1.9999992,25,14.674,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.436,97.32,-2.688
"2018-06-13 16:00:42.402",2.8599991,25,14.677,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.421,94.398,-2.688
"2018-06-13 16:00:42.882",3.3400002,25,14.679,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.409,93.444,-2.688
"2018-06-13 16:00:43.822",4.2800005,25,14.678,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.376,97.683,-2.688
"2018-06-13 16:00:44.302",4.7600011,25,14.675,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.361,97.926,-2.688
"2018-06-13 16:00:45.182",5.6400015,25,14.676,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.331,95.18,-2.688
"2018-06-13 16:00:45.662",6.1199997,25,14.675,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.321,94.17,-2.688
"2018-06-13 16:00:46.432",6.8900024,25,14.681,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.306,95.753,-2.688
"2018-06-13 16:00:46.902",7.3600006,25,14.676,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.288,98.33,-2.688
"2018-06-13 16:00:47.382",7.8400008,25,14.675,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.273,98.544,-2.688
"2018-06-13 16:00:48.252",8.7100011,25,14.681,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.244,95.746,-2.688
"2018-06-13 16:00:48.732",9.1900026,25,14.677,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.231,94.307,-2.688
"2018-06-13 16:00:49.492",9.9500336,25,14.681,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.221,93.361,-2.688
"2018-06-13 16:00:49.972",10.4300383,25,14.677,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.207,94.963,-2.688
"2018-06-13 16:00:50.482",10.9400024,25,14.676,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.189,97.611,-2.688
"2018-06-13 16:00:51.252",11.7100036,25,14.677,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.161,96.553,-2.688
"2018-06-13 16:00:51.732",12.1900026,25,14.676,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.147,95.088,-2.688
"2018-06-13 16:00:52.502",12.9600074,25,14.675,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.136,94.088,-2.688
"2018-06-13 16:00:52.982",13.4400035,25,14.676,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.123,95.636,-2.688
"2018-06-13 16:00:53.582",14.0400037,25,14.678,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.092,98.459,-2.688
"2018-06-13 16:00:54.352",14.8100049,25,14.679,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.079,97.135,-2.688
"2018-06-13 16:00:54.832",15.2900051,25,14.678,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.066,95.649,-2.688
"2018-06-13 16:00:55.762",16.2200054,25,14.675,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.043,93.269,-2.688
"2018-06-13 16:00:56.242",16.7000052,25,14.679,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.03,94.911,-2.688
"2018-06-13 16:00:57.152",17.6100081,25,14.679,25,-6.537,0,0,25,-6.537,0,0,-2.688,34,97.53,-2.688
"2018-06-13 16:00:57.712",18.1701921,25,14.681,25,-6.537,0,0,25,-6.537,0,0,-2.688,33.987,96.472,-2.688
"2018-06-13 16:00:58.482",18.9400082,25,14.681,25,-6.537,0,0,25,-6.537,0,0,-2.688,33.973,94.994,-2.688
"2018-06-13 16:00:58.952",19.4101897,25,14.676,25,-6.537,0,0,25,-6.537,0,0,-2.688,33.964,93.998,-2.688
"2018-06-13 16:00:59.432",19.8900098,25,14.682,25,-6.537,0,0,25,-6.537,0,0,-2.688,33.951,95.557,-2.688
