Protocol file: C:\HelixGen\Protocols\Protocol_test1.xml
Run date.time: 6/21/2018 10:49:25 AM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2018-06-21 10:49:25.765",0,25,14.692,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.725,28.675,-2.688
"2018-06-21 10:49:26.515",0.7501845,25,14.692,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.725,28.674,-2.688
"2018-06-21 10:49:27.185",1.4199973,25,14.693,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.724,28.674,-2.688
"2018-06-21 10:49:27.815",2.0501859,25,14.694,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.724,28.674,-2.688
"2018-06-21 10:49:28.515",2.7499974,25,14.694,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.723,28.673,-2.688
"2018-06-21 10:49:29.295",3.5300232,25,14.694,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.722,28.673,-2.688
"2018-06-21 10:49:29.975",4.2100005,25,14.694,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.722,28.673,-2.688
"2018-06-21 10:49:30.725",4.9600722,25,14.695,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.721,28.672,-2.688
"2018-06-21 10:49:31.395",5.6301832,25,14.695,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.72,28.672,-2.688
"2018-06-21 10:49:31.965",6.2001855,25,14.695,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.72,28.672,-2.688
"2018-06-21 10:49:32.715",6.9501809,25,14.695,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.719,28.671,-2.688
"2018-06-21 10:49:33.295",7.5300031,25,14.693,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.718,28.671,-2.688
"2018-06-21 10:49:33.865",8.1000841,25,14.694,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.718,28.67,-2.688
"2018-06-21 10:49:34.615",8.8500311,25,14.695,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.717,28.67,-2.688
"2018-06-21 10:49:35.295",9.5299986,25,14.694,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.716,28.67,-2.688
"2018-06-21 10:49:35.965",10.2000464,25,14.696,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.715,28.67,-2.688
"2018-06-21 10:49:36.715",10.9501932,25,14.694,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.714,28.669,-2.688
"2018-06-21 10:49:37.385",11.6200027,25,14.692,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.714,28.669,-2.688
"2018-06-21 10:49:37.965",12.2000034,25,14.694,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.713,28.668,-2.688
"2018-06-21 10:49:38.715",12.950002,25,14.695,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.712,28.668,-2.688
"2018-06-21 10:49:39.415",13.6500077,25,14.694,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.712,28.668,-2.688
"2018-06-21 10:49:39.985",14.220005,25,14.696,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.711,28.667,-2.688
"2018-06-21 10:49:40.745",14.9800997,25,14.695,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.71,28.667,-2.688
"2018-06-21 10:49:41.455",15.6899995,25,14.696,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.71,28.667,-2.688
"2018-06-21 10:49:42.135",16.3701729,25,14.696,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.709,28.666,-2.688
"2018-06-21 10:49:42.815",17.0501916,25,14.696,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.709,28.666,-2.688
"2018-06-21 10:49:43.525",17.7600044,25,14.696,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.708,28.665,-2.688
"2018-06-21 10:49:44.195",18.4300375,25,14.695,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.707,28.665,-2.688
"2018-06-21 10:49:44.865",19.1001834,25,14.695,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.707,28.665,-2.688
"2018-06-21 10:49:45.435",19.6700036,25,14.693,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.707,28.664,-2.688
"2018-06-21 10:49:46.015",20.250197,25,14.694,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.707,28.664,-2.688
"2018-06-21 10:49:46.765",21.0001822,25,14.694,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.706,28.664,-2.688
"2018-06-21 10:49:47.465",21.7000015,25,14.693,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.706,28.664,-2.688
"2018-06-21 10:49:48.045",22.2800961,25,14.698,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.706,28.663,-2.688
"2018-06-21 10:49:48.795",23.0300058,25,14.694,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.705,28.663,-2.688
"2018-06-21 10:49:49.565",23.8000282,25,14.694,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.705,28.663,-2.688
"2018-06-21 10:49:50.245",24.4800371,25,14.693,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.704,28.663,-2.688
"2018-06-21 10:49:50.915",25.150012,25,14.692,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.704,28.662,-2.688
"2018-06-21 10:49:51.525",25.760043,25,14.691,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.703,28.662,-2.688
"2018-06-21 10:49:52.105",26.3400527,25,14.692,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.703,28.662,-2.688
"2018-06-21 10:49:52.965",27.2001999,25,14.689,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.703,28.661,-2.688
"2018-06-21 10:49:53.575",27.8101706,25,14.688,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.702,28.661,-2.688
"2018-06-21 10:49:54.145",28.3801934,25,14.692,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.702,28.661,-2.688
"2018-06-21 10:49:54.895",29.1300493,25,14.691,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.701,28.661,-2.688
"2018-06-21 10:49:55.565",29.8001813,25,14.688,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.701,28.66,-2.688
"2018-06-21 10:49:56.245",30.4801627,25,14.692,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.7,28.66,-2.688
"2018-06-21 10:49:56.965",31.2000116,25,14.69,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.7,28.66,-2.688
"2018-06-21 10:49:57.535",31.7700065,25,14.689,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.699,28.66,-2.688
"2018-06-21 10:49:58.115",32.3500399,25,14.691,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.699,28.659,-2.688
"2018-06-21 10:49:58.945",33.1800128,25,14.691,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.698,28.659,-2.688
"2018-06-21 10:49:59.515",33.7500106,25,14.69,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.698,28.659,-2.688
"2018-06-21 10:50:00.105",34.3400104,25,14.692,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.698,28.658,-2.688
"2018-06-21 10:50:00.855",35.0901941,25,14.69,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.697,28.658,-2.688
"2018-06-21 10:50:01.525",35.7600106,25,14.693,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.697,28.658,-2.688
"2018-06-21 10:50:02.205",36.4400609,25,14.692,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.696,28.657,-2.688
"2018-06-21 10:50:02.955",37.1901531,25,14.689,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.696,28.657,-2.688
"2018-06-21 10:50:03.525",37.7602095,25,14.691,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.695,28.657,-2.688
"2018-06-21 10:50:04.105",38.3400186,25,14.69,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.694,28.657,-2.688
"2018-06-21 10:50:04.805",39.0400497,25,14.69,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.693,28.657,-2.688
"2018-06-21 10:50:05.385",39.620056,25,14.694,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.693,28.656,-2.688
"2018-06-21 10:50:06.055",40.2900124,25,14.692,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.692,28.656,-2.688
"2018-06-21 10:50:06.775",41.0100115,25,14.692,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.689,28.656,-2.688
"2018-06-21 10:50:07.445",41.6800155,25,14.691,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.689,28.656,-2.688
"2018-06-21 10:50:08.015",42.2500891,25,14.692,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.687,28.655,-2.688
"2018-06-21 10:50:08.595",42.8300143,25,14.693,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.686,28.655,-2.688
"2018-06-21 10:50:09.173",43.408344,25,14.691,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.685,28.655,-2.688
"2018-06-21 10:50:09.924",44.15894,25,14.692,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.684,28.655,-2.688
"2018-06-21 10:50:10.595",44.8302658,25,14.69,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.683,28.654,-2.688
"2018-06-21 10:50:11.266",45.5011575,25,14.69,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.681,28.654,-2.688
"2018-06-21 10:50:12.018",46.2527915,25,14.691,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.681,28.654,-2.688
"2018-06-21 10:50:12.593",46.82786,25,14.692,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.679,28.653,-2.688
"2018-06-21 10:50:13.264",47.4988174,25,14.692,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.679,28.653,-2.688
"2018-06-21 10:50:14.031",48.2664407,25,14.692,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.678,28.653,-2.688
"2018-06-21 10:50:14.606",48.8407335,25,14.691,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.677,28.653,-2.688
"2018-06-21 10:50:15.182",49.4171862,25,14.691,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.676,28.653,-2.688
"2018-06-21 10:50:15.933",50.1679849,25,14.693,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.676,28.652,-2.688
"2018-06-21 10:50:16.603",50.8380053,25,14.69,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.676,28.652,-2.688
"2018-06-21 10:50:17.275",51.5102242,25,14.694,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.675,28.652,-2.688
"2018-06-21 10:50:18.027",52.2617261,25,14.692,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.674,28.651,-2.688
"2018-06-21 10:50:18.745",52.9801046,25,14.692,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.674,28.651,-2.688
"2018-06-21 10:50:19.416",53.6508877,25,14.695,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.673,28.651,-2.688
"2018-06-21 10:50:19.992",54.2267066,25,14.693,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.673,28.65,-2.688
"2018-06-21 10:50:20.567",54.8016327,25,14.694,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.672,28.65,-2.688
"2018-06-21 10:50:21.142",55.3773647,25,14.694,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.672,28.65,-2.688
"2018-06-21 10:50:21.909",56.1443073,25,14.692,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.672,28.65,-2.688
"2018-06-21 10:50:22.581",56.8158391,25,14.69,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.671,28.65,-2.688
"2018-06-21 10:50:23.252",57.4867785,25,14.693,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.671,28.65,-2.688
"2018-06-21 10:50:23.987",58.2217137,25,14.693,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.67,28.649,-2.688
"2018-06-21 10:50:24.562",58.796916,25,14.691,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.67,28.649,-2.688
"2018-06-21 10:50:25.137",59.3721384,25,14.692,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.669,28.649,-2.688
"2018-06-21 10:50:25.840",60.0748,25,14.692,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.669,28.648,-2.688
"2018-06-21 10:50:26.416",60.6507937,25,14.694,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.669,28.648,-2.688
"2018-06-21 10:50:27.086",61.321265,25,14.696,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.668,28.648,-2.688
