Protocol file: C:\HelixGen\Protocols\Protocol_111.xml
Run date.time: 6/22/2018 5:29:34 PM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2018-06-22 17:29:35.367",0,25,14.764,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.945,-2.688
"2018-06-22 17:29:36.246",0.8798437,25,14.765,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.945,-2.688
"2018-06-22 17:29:36.817",1.450006,25,14.765,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.945,-2.688
"2018-06-22 17:29:37.686",2.3198156,25,14.761,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.945,-2.688
"2018-06-22 17:29:38.257",2.8899766,25,14.762,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.945,-2.688
"2018-06-22 17:29:38.836",3.4698156,25,14.763,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.944,-2.688
"2018-06-22 17:29:39.597",4.2300063,25,14.762,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.943,-2.688
"2018-06-22 17:29:40.267",4.9000062,25,14.766,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.943,-2.688
"2018-06-22 17:29:41.037",5.6699745,25,14.762,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.943,-2.688
"2018-06-22 17:29:41.706",6.3398242,25,14.763,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.943,-2.688
"2018-06-22 17:29:42.477",7.1099701,25,14.763,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.943,-2.688
"2018-06-22 17:29:43.147",7.7800069,25,14.762,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.943,-2.688
"2018-06-22 17:29:43.917",8.5500089,25,14.762,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.942,-2.688
"2018-06-22 17:29:44.587",9.2198939,25,14.762,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.941,-2.688
"2018-06-22 17:29:45.357",9.9900029,25,14.761,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.941,-2.688
"2018-06-22 17:29:46.026",10.6598173,25,14.763,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.94,-2.688
"2018-06-22 17:29:46.786",11.4198538,25,14.763,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.94,-2.688
"2018-06-22 17:29:47.466",12.099827,25,14.762,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.939,-2.688
"2018-06-22 17:29:48.226",12.8598244,25,14.765,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.94,-2.688
"2018-06-22 17:29:48.807",13.4400162,25,14.762,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.939,-2.688
"2018-06-22 17:29:49.566",14.1998171,25,14.763,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.939,-2.688
"2018-06-22 17:29:50.246",14.8798166,25,14.766,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.939,-2.688
"2018-06-22 17:29:50.816",15.4498201,25,14.762,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.938,-2.688
"2018-06-22 17:29:51.587",16.2200112,25,14.763,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.938,-2.688
"2018-06-22 17:29:52.257",16.8900111,25,14.761,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.937,-2.688
"2018-06-22 17:29:53.026",17.6598276,25,14.762,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.938,-2.688
"2018-06-22 17:29:53.697",18.3299829,25,14.764,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.938,-2.688
"2018-06-22 17:29:54.457",19.0899993,25,14.761,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.937,-2.688
"2018-06-22 17:29:55.137",19.769993,25,14.762,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.938,-2.688
"2018-06-22 17:29:55.897",20.530013,25,14.762,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.937,-2.688
"2018-06-22 17:29:56.567",21.2000137,25,14.761,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.936,-2.688
"2018-06-22 17:29:57.336",21.9698306,25,14.762,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.936,-2.688
"2018-06-22 17:29:58.006",22.6398235,25,14.759,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.935,-2.688
"2018-06-22 17:29:58.777",23.4099042,25,14.758,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.933,-2.688
"2018-06-22 17:29:59.346",23.9798249,25,14.76,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.933,-2.688
"2018-06-22 17:30:00.217",24.8500049,25,14.758,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.934,-2.688
"2018-06-22 17:30:00.787",25.420015,25,14.758,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.933,-2.688
"2018-06-22 17:30:01.367",25.9999857,25,14.76,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.932,-2.688
"2018-06-22 17:30:02.137",26.769956,25,14.762,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.933,-2.688
"2018-06-22 17:30:02.806",27.4398267,25,14.761,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.932,-2.688
"2018-06-22 17:30:03.567",28.2000116,25,14.761,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.931,-2.688
"2018-06-22 17:30:04.246",28.8798326,25,14.76,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.931,-2.688
"2018-06-22 17:30:05.006",29.6398485,25,14.761,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.93,-2.688
"2018-06-22 17:30:05.677",30.310017,25,14.76,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.929,-2.688
"2018-06-22 17:30:06.446",31.0798233,25,14.76,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.929,-2.688
"2018-06-22 17:30:07.117",31.7499085,25,14.761,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.928,-2.688
"2018-06-22 17:30:07.886",32.5198452,25,14.76,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.929,-2.688
"2018-06-22 17:30:08.557",33.1900186,25,14.759,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.929,-2.688
"2018-06-22 17:30:09.326",33.9598363,25,14.758,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.929,-2.688
"2018-06-22 17:30:09.996",34.6298259,25,14.758,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.929,-2.688
"2018-06-22 17:30:10.766",35.3998299,25,14.758,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.928,-2.688
"2018-06-22 17:30:11.336",35.9698326,25,14.758,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.928,-2.688
"2018-06-22 17:30:12.107",36.7399889,25,14.759,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.927,-2.688
"2018-06-22 17:30:12.777",37.4100096,25,14.758,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.927,-2.688
"2018-06-22 17:30:13.347",37.980016,25,14.758,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.926,-2.688
"2018-06-22 17:30:14.117",38.7499893,25,14.76,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.926,-2.688
"2018-06-22 17:30:14.787",39.4198632,25,14.76,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,28.924,-2.688
