Protocol file: C:\HelixGen\Protocols\Protocol_111.xml
PCR Cycle#, Cartridge 1 Channel 1, Cartridge 1 Channel 2, Cartridge 1 Channel 3, Cartridge 1 Channel 4,Cartridge 2 Channel 1, Cartridge 2 Channel 2, Cartridge 2 Channel 3, Cartridge 2 Channel 4,Cartridge 3 Channel 1, Cartridge 3 Channel 2, Cartridge 3 Channel 3, Cartridge 3 Channel 4,Cartridge 4 Channel 1, Cartridge 4 Channel 2, Cartridge 4 Channel 3, Cartridge 4 Channel 4,Cartridge 5 Channel 1, Cartridge 5 Channel 2, Cartridge 5 Channel 3, Cartridge 5 Channel 4,Cartridge 6 Channel 1, Cartridge 6 Channel 2, Cartridge 6 Channel 3, Cartridge 6 Channel 4,Sensor Temp 1, Sensor Temp 2, Sensor Temp 3, Sensor Temp 4, Sensor Temp 5, Sensor Temp 6
1,0,0,0,0,0,0,0,0,80800,49598,73924,188137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5,0,0,0
2,0,0,0,0,0,0,0,0,-23565,-25107,-28017,-13353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.25,0,0,0
3,0,0,0,0,0,0,0,0,-70954,-77421,-44139,14064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0
4,0,0,0,0,0,0,0,0,-106113,-109013,-51797,20561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.75,0,0,0
5,0,0,0,0,0,0,0,0,-145013,-130988,-133285,-130233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.25,0,0,0
6,0,0,0,0,0,0,0,0,-156127,-154369,-113188,-67483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5,0,0,0
7,0,0,0,0,0,0,0,0,-181693,-163186,-164970,-158309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.25,0,0,0
8,0,0,0,0,0,0,0,0,-175303,-173811,-118231,-44898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.5,0,0,0
9,0,0,0,0,0,0,0,0,-179269,-181304,-144056,-111103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.75,0,0,0
10,0,0,0,0,0,0,0,0,-207524,-183280,-187293,-196207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0
11,0,0,0,0,0,0,0,0,-196746,-189226,-133844,-94286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.25,0,0,0
12,0,0,0,0,0,0,0,0,-213684,-190425,-195690,-215466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0
13,0,0,0,0,0,0,0,0,-202791,-194726,-140528,-87473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.25,0,0,0
14,0,0,0,0,0,0,0,0,-218541,-193842,-194608,-214385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5,0,0,0
15,0,0,0,0,0,0,0,0,-203147,-195771,-167686,-150358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5,0,0,0
16,0,0,0,0,0,0,0,0,-201406,-196237,-154130,-108552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.25,0,0,0
17,0,0,0,0,0,0,0,0,-198645,-196838,-170002,-139744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5,0,0,0
18,0,0,0,0,0,0,0,0,-205907,-200296,-164796,-95751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5,0,0,0
19,0,0,0,0,0,0,0,0,-199510,-198188,-168017,-124709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5,0,0,0
20,0,0,0,0,0,0,0,0,-223015,-198163,-199128,-196255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.75,0,0,0
21,0,0,0,0,0,0,0,0,-209926,-199255,-162965,-116013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.75,0,0,0
22,0,0,0,0,0,0,0,0,-198230,-197316,-165156,-130114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5,0,0,0
23,0,0,0,0,0,0,0,0,-201663,-196493,-159759,-101049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5,0,0,0
24,0,0,0,0,0,0,0,0,-197592,-195353,-165387,-141111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5,0,0,0
25,0,0,0,0,0,0,0,0,-204979,-196109,-166519,-107282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.75,0,0,0
26,0,0,0,0,0,0,0,0,-197162,-194328,-158659,-119316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.75,0,0,0
27,0,0,0,0,0,0,0,0,-219535,-194375,-205559,-204838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0
28,0,0,0,0,0,0,0,0,-225706,-193520,-204329,-211800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0
29,0,0,0,0,0,0,0,0,-201385,-194671,-144810,-91092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.75,0,0,0
30,0,0,0,0,0,0,0,0,-192586,-192713,-164141,-118033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0
31,0,0,0,0,0,0,0,0,-195506,-192692,-167795,-115384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0
32,0,0,0,0,0,0,0,0,-194561,-191607,-169075,-81875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.75,0,0,0
33,0,0,0,0,0,0,0,0,-188685,-189653,-156952,-123251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0
34,0,0,0,0,0,0,0,0,-192120,-192290,-162744,-122220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
35,0,0,0,0,0,0,0,0,-188445,-189939,-139351,-92050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0
36,0,0,0,0,0,0,0,0,-192456,-190608,-159009,-99234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0
37,0,0,0,0,0,0,0,0,-182057,-187102,-160655,-129329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0
38,0,0,0,0,0,0,0,0,-183034,-190296,-155724,-113807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
39,0,0,0,0,0,0,0,0,-188618,-190180,-165609,-109736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
40,0,0,0,0,0,0,0,0,-186226,-188710,-139942,-85644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0
41,0,0,0,0,0,0,0,0,-188861,-189019,-165107,-110036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.75,0,0,0
42,0,0,0,0,0,0,0,0,-187625,-186844,-165775,-105630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0
43,0,0,0,0,0,0,0,0,-186703,-186940,-138461,-77407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0
44,0,0,0,0,0,0,0,0,-187874,-186225,-158298,-89756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
45,0,0,0,0,0,0,0,0,-177473,-183900,-157740,-118863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0
46,0,0,0,0,0,0,0,0,-178578,-184317,-153198,-85302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
47,0,0,0,0,0,0,0,0,-185510,-184736,-160487,-109509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
48,0,0,0,0,0,0,0,0,-180777,-186811,-161248,-111603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
49,0,0,0,0,0,0,0,0,-178454,-187249,-163190,-110842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0
50,0,0,0,0,0,0,0,0,-178089,-185346,-162452,-116369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
51,0,0,0,0,0,0,0,0,-175117,-183918,-133113,-55294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
52,0,0,0,0,0,0,0,0,-174522,-183753,-149694,-100542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
53,0,0,0,0,0,0,0,0,-178233,-184522,-157109,-100427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
54,0,0,0,0,0,0,0,0,-197937,-178677,-188777,-178986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
55,0,0,0,0,0,0,0,0,-176613,-180763,-142570,-112256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
56,0,0,0,0,0,0,0,0,-172622,-179992,-147421,-120826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
57,0,0,0,0,0,0,0,0,-174980,-178644,-146826,-107236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
58,0,0,0,0,0,0,0,0,-174707,-180920,-155724,-119581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0
59,0,0,0,0,0,0,0,0,-176462,-181128,-156207,-107229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
60,0,0,0,0,0,0,0,0,-178729,-181923,-153003,-108147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
61,0,0,0,0,0,0,0,0,-196672,-180067,-187291,-190303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
62,0,0,0,0,0,0,0,0,-179410,-181810,-151667,-119189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
63,0,0,0,0,0,0,0,0,-178475,-182124,-153659,-124334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
64,0,0,0,0,0,0,0,0,-179054,-179089,-155057,-72951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
65,0,0,0,0,0,0,0,0,-174473,-177107,-151357,-109861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
66,0,0,0,0,0,0,0,0,-197520,-176002,-187956,-191393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
67,0,0,0,0,0,0,0,0,-177599,-176706,-150102,-112250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
68,0,0,0,0,0,0,0,0,-176520,-179264,-137325,-80449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
69,0,0,0,0,0,0,0,0,-172594,-178104,-153029,-122106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
70,0,0,0,0,0,0,0,0,-173052,-177621,-150061,-104521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
71,0,0,0,0,0,0,0,0,-174863,-177308,-153987,-101498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
72,0,0,0,0,0,0,0,0,-171413,-176909,-141757,-67850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.75,0,0,0
73,0,0,0,0,0,0,0,0,-178308,-178802,-145137,-73448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
74,0,0,0,0,0,0,0,0,-178192,-178396,-144118,-78599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5,0,0,0
75,0,0,0,0,0,0,0,0,-176212,-176879,-146097,-75615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5,0,0,0
76,0,0,0,0,0,0,0,0,-173124,-176084,-147687,-87698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5,0,0,0
77,0,0,0,0,0,0,0,0,-170346,-175358,-149657,-91468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5,0,0,0
78,0,0,0,0,0,0,0,0,-168363,-176887,-136791,-83068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5,0,0,0
79,0,0,0,0,0,0,0,0,-172283,-177372,-146039,-94168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5,0,0,0
80,0,0,0,0,0,0,0,0,-167387,-174356,-148188,-110611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0
81,0,0,0,0,0,0,0,0,-166259,-174252,-119884,-52657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5,0,0,0
