Protocol file: C:\HelixGen\Protocols\Protocol_test1_backup0607.xml
Run date.time: 6/26/2018 11:12:02 AM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2018-06-26 11:12:02.827",0,25,14.733,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.868,27.555,25.639
"2018-06-26 11:12:03.387",0.559903,25,14.733,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.869,27.556,25.644
"2018-06-26 11:12:04.057",1.2298643,25,14.731,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.871,27.556,25.645
"2018-06-26 11:12:04.677",1.8500171,25,14.73,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.872,27.556,25.647
"2018-06-26 11:12:05.257",2.4298361,25,14.734,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.872,27.557,25.654
"2018-06-26 11:12:05.797",2.9698638,25,14.732,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.874,27.557,25.653
"2018-06-26 11:12:06.277",3.4498344,25,14.731,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.874,27.557,25.654
"2018-06-26 11:12:06.857",4.0298351,25,14.733,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.875,27.557,25.651
"2018-06-26 11:12:07.607",4.7799096,25,14.73,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.877,27.558,25.656
"2018-06-26 11:12:08.177",5.3499977,25,14.731,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.878,27.558,25.66
"2018-06-26 11:12:08.797",5.9698687,25,14.727,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.879,27.558,25.654
"2018-06-26 11:12:09.277",6.4498718,25,14.73,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.88,27.558,25.647
"2018-06-26 11:12:09.857",7.0300189,25,14.729,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.881,27.559,25.647
"2018-06-26 11:12:10.607",7.7800249,25,14.732,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.883,27.559,25.654
"2018-06-26 11:12:11.187",8.3598336,25,14.729,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.884,27.559,25.664
"2018-06-26 11:12:11.817",8.989831,25,14.73,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.885,27.559,25.668
"2018-06-26 11:12:12.297",9.4699058,25,14.732,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.886,27.56,25.671
"2018-06-26 11:12:12.977",10.1498322,25,14.73,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.888,27.56,25.677
"2018-06-26 11:12:13.627",10.8000208,25,14.729,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.889,27.56,25.677
"2018-06-26 11:12:14.207",11.3798561,25,14.729,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.89,27.561,25.676
"2018-06-26 11:12:14.847",12.0198326,25,14.73,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.891,27.561,25.682
"2018-06-26 11:12:15.317",12.4899103,25,14.729,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.892,27.561,25.686
"2018-06-26 11:12:15.997",13.1698589,25,14.729,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.895,27.562,25.686
"2018-06-26 11:12:16.647",13.8198551,25,14.729,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.896,27.562,25.687
"2018-06-26 11:12:17.227",14.3998365,25,14.734,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.897,27.562,25.691
"2018-06-26 11:12:17.867",15.0398338,25,14.733,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.898,27.563,25.688
"2018-06-26 11:12:18.347",15.5198332,25,14.729,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.899,27.563,25.683
"2018-06-26 11:12:19.017",16.1898323,25,14.735,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.901,27.563,25.679
"2018-06-26 11:12:19.667",16.8400171,25,14.735,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.902,27.564,25.68
