Protocol file: C:\HelixGen\Protocols\Protocol_pcr -temp5.xml
Run date.time: 7/2/2018 3:42:43 PM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2018-07-02 15:42:43.766",0,25,14.74,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.928,26.76,27.072
"2018-07-02 15:42:44.786",1.0201932,25,14.739,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.928,26.76,27.06
"2018-07-02 15:42:45.436",1.6700093,25,14.736,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.93,27.432,27.056
"2018-07-02 15:42:46.106",2.3400395,25,14.737,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.931,31.025,27.05
"2018-07-02 15:42:46.686",2.9200369,25,14.735,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.931,34.165,27.047
"2018-07-02 15:42:47.326",3.560001,25,14.733,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.931,37.324,27.05
"2018-07-02 15:42:47.896",4.1300066,25,14.732,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.931,41.464,27.049
"2018-07-02 15:42:48.496",4.7300011,25,14.736,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.93,42.262,27.041
"2018-07-02 15:42:49.196",5.4300018,25,14.735,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.93,43.749,27.019
"2018-07-02 15:42:49.766",6.0000041,25,14.741,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.93,44.02,27.016
"2018-07-02 15:42:50.426",6.6600417,25,14.735,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.93,44.434,27.023
"2018-07-02 15:42:51.036",7.2700067,25,14.741,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.929,44.671,27.034
"2018-07-02 15:42:51.546",7.7800028,25,14.738,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.93,44.27,27.04
"2018-07-02 15:42:52.276",8.5100043,25,14.741,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.929,44.456,27.058
"2018-07-02 15:42:52.856",9.0900103,25,14.74,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.929,44.13,27.056
"2018-07-02 15:42:53.606",9.8400053,25,14.743,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.929,44.253,27.049
"2018-07-02 15:42:54.176",10.4100059,25,14.743,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.929,44.098,27.049
"2018-07-02 15:42:54.656",10.8900402,25,14.742,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.929,44.102,27.058
"2018-07-02 15:42:55.396",11.6300052,25,14.738,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.929,44.214,27.054
"2018-07-02 15:42:55.966",12.2000062,25,14.736,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.929,44.113,27.057
"2018-07-02 15:42:56.676",12.910041,25,14.74,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.929,44.309,27.059
"2018-07-02 15:42:57.336",13.5700064,25,14.738,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.929,44.16,27.058
"2018-07-02 15:42:57.906",14.1400407,25,14.738,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.929,44.406,27.055
"2018-07-02 15:42:58.556",14.7900434,25,14.739,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.929,44.235,27.056
"2018-07-02 15:42:59.136",15.3700079,25,14.739,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.929,44.471,27.059
"2018-07-02 15:42:59.706",15.9400082,25,14.739,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.929,44.387,27.066
"2018-07-02 15:43:00.316",16.5500072,25,14.736,25,-6.537,0,0,25,-6.537,0,0,-2.688,26.93,44.477,27.062
