Protocol file: C:\HelixGen\Protocols\Protocol_test1_backup0607.xml
Run date.time: 7/5/2018 2:42:22 PM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2018-07-05 14:42:22.701",0,25,14.718,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.308,27.056,27.829
"2018-07-05 14:42:23.272",0.570118,25,14.717,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.309,27.057,27.823
"2018-07-05 14:42:23.751",1.0500033,25,14.721,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.309,27.057,27.821
"2018-07-05 14:42:24.421",1.7199679,25,14.72,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.31,27.058,27.819
"2018-07-05 14:42:25.002",2.3001605,25,14.723,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.31,27.058,27.819
"2018-07-05 14:42:25.751",3.0499676,25,14.72,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.311,27.059,27.825
"2018-07-05 14:42:26.332",3.6301426,25,14.716,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.311,27.059,27.82
"2018-07-05 14:42:26.902",4.200149,25,14.72,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.311,27.06,27.819
"2018-07-05 14:42:27.561",4.85997,25,14.718,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.312,27.06,27.826
"2018-07-05 14:42:28.131",5.4300486,25,14.719,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.312,27.061,27.842
"2018-07-05 14:42:28.871",6.1699808,25,14.718,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.313,27.061,27.845
"2018-07-05 14:42:29.441",6.7399691,25,14.718,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.313,27.061,27.84
"2018-07-05 14:42:30.112",7.4101614,25,14.716,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.313,27.062,27.825
"2018-07-05 14:42:30.771",8.070025,25,14.716,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.314,27.063,27.817
"2018-07-05 14:42:31.252",8.5501651,25,14.714,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.314,27.063,27.814
"2018-07-05 14:42:31.892",9.1901633,25,14.718,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.315,27.063,27.815
"2018-07-05 14:42:32.461",9.7599732,25,14.72,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.315,27.064,27.812
"2018-07-05 14:42:33.131",10.4299796,25,14.717,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.316,27.064,27.815
"2018-07-05 14:42:33.791",11.0899717,25,14.72,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.316,27.065,27.818
"2018-07-05 14:42:34.272",11.5701651,25,14.715,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.316,27.065,27.823
"2018-07-05 14:42:34.922",12.2201634,25,14.715,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.317,27.066,27.831
"2018-07-05 14:42:35.501",12.8000019,25,14.716,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.317,27.066,27.838
"2018-07-05 14:42:36.172",13.4701565,25,14.717,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.318,27.067,27.849
"2018-07-05 14:42:36.832",14.1301531,25,14.714,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.318,27.067,27.847
"2018-07-05 14:42:37.401",14.7000204,25,14.718,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.319,27.068,27.847
"2018-07-05 14:42:37.981",15.2799841,25,14.715,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.319,27.068,27.851
"2018-07-05 14:42:38.632",15.930162,25,14.715,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.319,27.069,27.865
"2018-07-05 14:42:39.302",16.6001758,25,14.713,25,-6.537,0,0,25,-6.537,0,0,-2.688,27.32,27.069,27.873
