Protocol file: C:\HelixGen\Protocols\Protocol_pcr -temp5.xml
Run date.time: 7/23/2018 10:15:40 AM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2018-07-23 10:15:41.533",0,25,14.662,25,-6.537,0,0,25,-6.537,0,0,-2.688,30.265,85.858,30.083
"2018-07-23 10:15:42.353",0.8200395,25,14.661,25,-6.537,0,0,25,-6.537,0,0,-2.688,30.264,84.125,30.089
"2018-07-23 10:15:42.923",1.3899987,25,14.659,25,-6.537,0,0,25,-6.537,0,0,-2.688,30.267,81.804,30.084
"2018-07-23 10:15:43.613",2.0801785,25,14.665,25,-6.537,0,0,25,-6.537,0,0,-2.688,30.268,78.308,30.074
"2018-07-23 10:15:44.273",2.7399981,25,14.666,25,-6.537,0,0,25,-6.537,0,0,-2.688,30.271,74.241,30.077
"2018-07-23 10:15:44.843",3.3101669,25,14.666,25,-6.537,0,0,25,-6.537,0,0,-2.688,30.273,71.019,30.083
"2018-07-23 10:15:45.373",3.8399997,25,14.668,25,-6.537,0,0,25,-6.537,0,0,-2.688,30.275,68.508,30.095
"2018-07-23 10:15:46.123",4.5899973,25,14.667,25,-6.537,0,0,25,-6.537,0,0,-2.688,30.281,65.212,30.091
"2018-07-23 10:15:46.703",5.1701858,25,14.669,25,-6.537,0,0,25,-6.537,0,0,-2.688,30.284,62.597,30.106
"2018-07-23 10:15:47.353",5.8200719,25,14.664,25,-6.537,0,0,25,-6.537,0,0,-2.688,30.288,59.729,30.109
"2018-07-23 10:15:48.023",6.4900294,25,14.67,25,-6.537,0,0,25,-6.537,0,0,-2.688,30.296,57.421,30.122
"2018-07-23 10:15:48.603",7.0700148,25,14.671,25,-6.537,0,0,25,-6.537,0,0,-2.688,30.3,55.249,30.13
"2018-07-23 10:15:49.243",7.7099973,25,14.667,25,-6.537,0,0,25,-6.537,0,0,-2.688,30.305,53.202,30.126
"2018-07-23 10:15:49.813",8.2801821,25,14.669,25,-6.537,0,0,25,-6.537,0,0,-2.688,30.311,51.269,30.121
"2018-07-23 10:15:50.403",8.8701814,25,14.67,25,-6.537,0,0,25,-6.537,0,0,-2.688,30.316,49.446,30.112
