Protocol file: C:\HelixGen\Protocols\Protocol_pcr -temp5.xml
PCR Cycle#, Cartridge 1 Channel 1, Cartridge 1 Channel 2, Cartridge 1 Channel 3, Cartridge 1 Channel 4,Cartridge 2 Channel 1, Cartridge 2 Channel 2, Cartridge 2 Channel 3, Cartridge 2 Channel 4,Cartridge 3 Channel 1, Cartridge 3 Channel 2, Cartridge 3 Channel 3, Cartridge 3 Channel 4,Cartridge 4 Channel 1, Cartridge 4 Channel 2, Cartridge 4 Channel 3, Cartridge 4 Channel 4,Cartridge 5 Channel 1, Cartridge 5 Channel 2, Cartridge 5 Channel 3, Cartridge 5 Channel 4,Cartridge 6 Channel 1, Cartridge 6 Channel 2, Cartridge 6 Channel 3, Cartridge 6 Channel 4,Sensor Temp 1, Sensor Temp 2, Sensor Temp 3, Sensor Temp 4, Sensor Temp 5, Sensor Temp 6
1,0,0,0,0,0,0,0,0,9029812,10846495,6724406,5853687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
2,0,0,0,0,0,0,0,0,9964971,12195778,7337478,6618522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
3,0,0,0,0,0,0,0,0,10221933,12475895,7363050,6780103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5,0,0,0
4,0,0,0,0,0,0,0,0,10407002,12698822,7427700,6954692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.75,0,0,0
5,0,0,0,0,0,0,0,0,10535373,12821523,7428264,7011787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
6,0,0,0,0,0,0,0,0,10674227,12974468,7482028,7124730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
7,0,0,0,0,0,0,0,0,10740063,13069148,7474651,7148029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
8,0,0,0,0,0,0,0,0,10848919,13225291,7534384,7261453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.25,0,0,0
9,0,0,0,0,0,0,0,0,10904970,13279093,7520988,7261612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.75,0,0,0
10,0,0,0,0,0,0,0,0,10989555,13377243,7569419,7349461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.75,0,0,0
11,0,0,0,0,0,0,0,0,11033721,13459843,7554926,7358609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.25,0,0,0
12,0,0,0,0,0,0,0,0,11101047,13531700,7606589,7442425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.25,0,0,0
13,0,0,0,0,0,0,0,0,11125651,13570816,7587473,7429570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,0,0,0
14,0,0,0,0,0,0,0,0,11188033,13644071,7633773,7503603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,0,0,0
15,0,0,0,0,0,0,0,0,11203220,13663922,7608541,7484137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.25,0,0,0
16,0,0,0,0,0,0,0,0,11261299,13733742,7652242,7560887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0
17,0,0,0,0,0,0,0,0,11262850,13739947,7626387,7524728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,0,0,0
18,0,0,0,0,0,0,0,0,11317776,13796708,7669555,7607698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0
19,0,0,0,0,0,0,0,0,11323994,13799882,7650688,7580261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0
20,0,0,0,0,0,0,0,0,11370146,13853841,7687201,7642663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.25,0,0,0
21,0,0,0,0,0,0,0,0,11378360,13864713,7662812,7626076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.25,0,0,0
22,0,0,0,0,0,0,0,0,11420935,13900876,7706873,7679413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5,0,0,0
23,0,0,0,0,0,0,0,0,11423308,13903099,7675329,7653621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.25,0,0,0
24,0,0,0,0,0,0,0,0,11463828,13942813,7712758,7710705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5,0,0,0
25,0,0,0,0,0,0,0,0,11467570,13939946,7687571,7683335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.75,0,0,0
26,0,0,0,0,0,0,0,0,11509064,13981468,7724983,7740685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0
27,0,0,0,0,0,0,0,0,11503863,13983767,7700014,7711616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0
28,0,0,0,0,0,0,0,0,11543730,14013228,7732354,7773410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.25,0,0,0
29,0,0,0,0,0,0,0,0,11544140,14008632,7706702,7735608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0
30,0,0,0,0,0,0,0,0,11551696,14012795,7677108,7697786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5,0,0,0
31,0,0,0,0,0,0,0,0,11587670,14065451,7713590,7757635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.25,0,0,0
32,0,0,0,0,0,0,0,0,11634206,14114966,7748704,7813096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.75,0,0,0
33,0,0,0,0,0,0,0,0,11657975,14142820,7725810,7775817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.75,0,0,0
34,0,0,0,0,0,0,0,0,11737155,14256894,7759576,7831724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.75,0,0,0
35,0,0,0,0,0,0,0,0,11806408,14359327,7739166,7802040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5,0,0,0
36,0,0,0,0,0,0,0,0,11959330,14564371,7781196,7866376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0
37,0,0,0,0,0,0,0,0,12129098,14803820,7771317,7837152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0
38,0,0,0,0,0,0,0,0,12301812,15054275,7848622,7910659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0
39,0,0,0,0,0,0,0,0,12417976,15211569,7886501,7891653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0
40,0,0,0,0,0,0,0,0,12505240,15346012,7937072,7864107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.25,0,0,0
41,0,0,0,0,0,0,0,0,12618314,15490464,8060754,7922401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.25,0,0,0
42,0,0,0,0,0,0,0,0,12710115,15622351,8105388,7905897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0
43,0,0,0,0,0,0,0,0,12809090,15762184,8204373,7961729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.25,0,0,0
44,0,0,0,0,0,0,0,0,12865189,15857198,8223702,7937948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0
45,0,0,0,0,0,0,0,0,12920874,15955523,8286843,7988443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.25,0,0,0
