Protocol file: C:\HelixGen\Protocols\Protocol_111.xml
Run date.time: 8/2/2018 10:59:56 AM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2018-08-02 10:59:56.531",0,25,14.685,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.406,28.457,29.529
"2018-08-02 10:59:57.130",0.5996818,25,14.687,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.406,28.457,29.533
"2018-08-02 10:59:57.720",1.189368,25,14.686,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.406,28.457,29.553
"2018-08-02 10:59:58.350",1.8190329,25,14.686,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.406,28.457,29.551
"2018-08-02 10:59:59.319",2.7885209,25,14.684,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.407,28.457,29.472
"2018-08-02 10:59:59.849",3.3182321,25,14.688,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.407,28.457,29.409
"2018-08-02 11:00:00.429",3.8980078,25,14.686,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.407,28.458,29.37
"2018-08-02 11:00:01.178",4.6475259,25,14.688,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.408,28.458,29.392
"2018-08-02 11:00:01.658",5.1272682,25,14.687,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.408,28.458,29.388
"2018-08-02 11:00:02.468",5.9370248,25,14.685,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.408,28.458,29.406
"2018-08-02 11:00:03.047",6.5165281,25,14.686,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.408,28.458,29.43
"2018-08-02 11:00:03.737",7.2061614,25,14.685,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.409,28.458,29.354
"2018-08-02 11:00:04.517",7.9858261,25,14.681,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.409,28.458,29.305
"2018-08-02 11:00:05.556",9.0252542,25,14.685,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.409,28.459,29.331
"2018-08-02 11:00:06.336",9.804811,25,14.685,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.41,28.459,29.419
"2018-08-02 11:00:06.965",10.434473,25,14.686,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.41,28.459,29.433
"2018-08-02 11:00:07.455",10.924359,25,14.689,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.41,28.459,29.441
"2018-08-02 11:00:08.225",11.6937696,25,14.688,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.41,28.459,29.466
"2018-08-02 11:00:08.754",12.2236655,25,14.688,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.411,28.46,29.41
"2018-08-02 11:00:09.634",13.1032014,25,14.687,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.411,28.46,29.35
"2018-08-02 11:00:10.423",13.892626,25,14.683,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.412,28.46,29.34
"2018-08-02 11:00:11.453",14.9220509,25,14.686,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.412,28.46,29.338
"2018-08-02 11:00:12.172",15.6416658,25,14.685,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.412,28.46,29.347
"2018-08-02 11:00:12.922",16.3912697,25,14.683,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.413,28.461,29.375
"2018-08-02 11:00:13.482",16.9509682,25,14.686,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.413,28.46,29.366
"2018-08-02 11:00:14.441",17.910459,25,14.686,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.413,28.461,29.369
"2018-08-02 11:00:15.001",18.47016,25,14.684,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.414,28.461,29.318
"2018-08-02 11:00:15.641",19.1099993,25,14.685,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.414,28.461,29.224
"2018-08-02 11:00:16.180",19.6495353,25,14.686,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.414,28.461,29.134
"2018-08-02 11:00:16.950",20.4191212,25,14.688,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.415,28.461,29.197
"2018-08-02 11:00:17.670",21.1387382,25,14.684,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.415,28.462,29.326
"2018-08-02 11:00:18.149",21.6184822,25,14.685,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.415,28.462,29.326
"2018-08-02 11:00:18.989",22.4580652,25,14.687,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.416,28.462,29.396
"2018-08-02 11:00:19.469",22.9377801,25,14.688,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.416,28.462,29.416
"2018-08-02 11:00:20.188",23.6573979,25,14.684,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.416,28.462,29.375
"2018-08-02 11:00:20.848",24.3170674,25,14.686,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.416,28.463,29.355
"2018-08-02 11:00:21.657",25.1266139,25,14.687,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.417,28.463,29.377
"2018-08-02 11:00:22.217",25.6864638,25,14.686,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.417,28.463,29.383
"2018-08-02 11:00:23.177",26.6458045,25,14.686,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.417,28.463,29.401
