MeltCurveTemperature,Cartridge 1 Channel 1, Cartridge 1 Channel 2, Cartridge 1 Channel 3,Cartridge 2 Channel 1, Cartridge 2 Channel 2, Cartridge 2 Channel 3, Cartridge 2 Channel 4,Cartridge 3 Channel 1, Cartridge 3 Channel 2, Cartridge 3 Channel 3, Cartridge 3 Channel 4,Cartridge 4 Channel 1, Cartridge 4 Channel 2, Cartridge 4 Channel 3, Cartridge 4 Channel 4,Cartridge 5 Channel 1, Cartridge 5 Channel 2, Cartridge 5 Channel 3, Cartridge 5 Channel 4,Cartridge 6 Channel 1, Cartridge 6 Channel 2, Cartridge 6 Channel 3, Cartridge 6 Channel 4
44.93999863,-589051,-544944,-998328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.1230011,-586081,-546567,-1010665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.33499908,-581204,-545498,-1009447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.60800171,-580047,-547254,-1002722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.80699921,-583412,-549178,-1005809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.01599884,-578001,-549515,-995288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.23799896,-575575,-547529,-996898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.41999817,-587580,-544369,-1003347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.68099976,-576766,-539251,-1005805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.92599869,-582564,-546562,-997458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.08300018,-572773,-541049,-993981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.33000183,-576367,-546214,-993496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.56600189,-581615,-546045,-996015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.76100159,-579241,-542959,-992983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.95500183,-575429,-540381,-1000335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.17499924,-577269,-544054,-1000814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.36800003,-580428,-539137,-990344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.62900162,-572834,-546311,-988715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.85900116,-577844,-544765,-983778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.01699829,-576124,-541371,-987952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.23500061,-573990,-541024,-996764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.49599838,-575157,-540722,-997908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.66199875,-568645,-538481,-987527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.89500046,-569395,-545126,-993969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.13100052,-576956,-543606,-987461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.31100082,-574314,-538911,-982851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.57099915,-577726,-537601,-989745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.80099869,-571558,-540271,-996553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.97000122,-569741,-541859,-987184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.17699814,-569793,-538863,-993391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.43299866,-568858,-542333,-983073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.63999939,-570872,-539678,-988573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.84700012,-575388,-542114,-982897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52.02799988,-569900,-534970,-994198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52.24900055,-569243,-541848,-989797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52.50699997,-568439,-534394,-984950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52.72800064,-570499,-539057,-983098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52.90599823,-571658,-542950,-986113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.13999939,-573672,-538339,-986479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.32099915,-570830,-533772,-991928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.56700134,-574777,-542965,-984098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.77299881,-569952,-538642,-984019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.96699905,-565725,-541671,-979176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54.18799973,-575411,-539229,-975149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54.45800018,-572277,-538175,-983211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54.65200043,-570845,-538541,-985410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
