Protocol file: C:\HelixGen\Protocols\Protocol_111.xml
Run date.time: 2018/11/20 14:18:09
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2018-11-20 14:18:09.971",0,25,14.675,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,40.962,-2.688
"2018-11-20 14:18:11.026",1.0552023,25,14.676,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,40.908,-2.688
"2018-11-20 14:18:11.697",1.7264112,25,14.675,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,40.941,-2.688
"2018-11-20 14:18:12.528",2.5571952,25,14.672,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,43.37,-2.688
"2018-11-20 14:18:13.312",3.3410659,25,14.675,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,44.514,-2.688
"2018-11-20 14:18:14.079",4.1080478,25,14.672,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,44.395,-2.688
"2018-11-20 14:18:14.798",4.8270924,25,14.678,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,44.605,-2.688
"2018-11-20 14:18:15.533",5.5621272,25,14.672,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,44.565,-2.688
"2018-11-20 14:18:16.300",6.3290766,25,14.673,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,44.629,-2.688
"2018-11-20 14:18:17.242",7.2715559,25,14.675,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,44.698,-2.688
"2018-11-20 14:18:17.818",7.8470174,25,14.674,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,44.781,-2.688
"2018-11-20 14:18:18.585",8.6139664,25,14.675,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,44.838,-2.688
"2018-11-20 14:18:19.353",9.3819481,25,14.675,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,44.95,-2.688
"2018-11-20 14:18:20.151",10.1807767,25,14.678,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,45.045,-2.688
"2018-11-20 14:18:20.823",10.8519818,25,14.68,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,45.133,-2.688
"2018-11-20 14:18:21.558",11.5870385,25,14.676,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,45.207,-2.688
"2018-11-20 14:18:22.309",12.3380105,25,14.672,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,45.306,-2.688
"2018-11-20 14:18:23.077",13.1059549,25,14.675,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,45.393,-2.688
"2018-11-20 14:18:23.764",13.793118,25,14.676,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,45.496,-2.688
"2018-11-20 14:18:24.610",14.639853,25,14.675,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,45.584,-2.688
"2018-11-20 14:18:25.361",15.3908451,25,14.675,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,45.697,-2.688
"2018-11-20 14:18:26.241",16.2704926,25,14.676,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,45.787,-2.688
"2018-11-20 14:18:26.816",16.8449611,25,14.678,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,45.874,-2.688
"2018-11-20 14:18:27.727",17.7565195,25,14.676,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,45.989,-2.688
"2018-11-20 14:18:28.462",18.4915539,25,14.675,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,46.088,-2.688
"2018-11-20 14:18:29.405",19.4340336,25,14.672,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,46.206,-2.688
"2018-11-20 14:18:29.916",19.9456657,25,14.671,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,46.266,-2.688
"2018-11-20 14:18:30.683",20.7126147,25,14.674,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,46.356,-2.688
"2018-11-20 14:18:31.546",21.5753369,25,14.674,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,46.482,-2.688
"2018-11-20 14:18:32.729",22.7581454,25,14.673,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,46.621,-2.688
"2018-11-20 14:18:33.561",23.5899221,25,14.675,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,46.722,-2.688
"2018-11-20 14:18:34.359",24.388785,25,14.676,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,46.837,-2.688
"2018-11-20 14:18:35.398",25.4270094,25,14.673,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,46.948,-2.688
"2018-11-20 14:18:36.260",26.2897017,25,14.675,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,47.052,-2.688
"2018-11-20 14:18:36.931",26.9609071,25,14.673,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,47.154,-2.688
"2018-11-20 14:18:37.459",27.4884962,25,14.675,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,47.23,-2.688
"2018-11-20 14:18:38.387",28.4160505,25,14.676,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,47.331,-2.688
"2018-11-20 14:18:38.978",29.0074346,25,14.679,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,47.421,-2.688
"2018-11-20 14:18:39.681",29.7105547,25,14.676,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,47.493,-2.688
"2018-11-20 14:18:40.528",30.5572904,25,14.676,25,-6.537,0,0,25,-6.537,0,0,-2.688,-2.688,47.483,-2.688
