Protocol file: C:\HelixGen\Protocols\Protocol_111.xml,,,,,,,,,,,,,,,
Run date.time: 2018/11/23 10:26:18,,,,,,,,,,,,,,,
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp,
26:19.1,0,25,11.491,25,-6.537,0,0,25,-6.537,0,0,-2.688,37.346,37.559,-2.688
26:19.6,0.5116272,25,11.491,25,-6.537,0,0,25,-6.537,0,0,-2.688,37.337,37.55,-2.688
26:20.3,1.2466646,25,11.493,25,-6.537,0,0,25,-6.537,0,0,-2.688,38.632,37.538,-2.688
26:21.0,1.9178395,25,11.49,25,-6.537,0,0,25,-6.537,0,0,-2.688,40.899,37.528,-2.688
26:21.7,2.5890725,25,11.493,25,-6.537,0,0,25,-6.537,0,0,-2.688,43.349,37.512,-2.688
26:22.4,3.3401227,25,11.487,25,-6.537,0,0,25,-6.537,0,0,-2.688,45.036,37.491,-2.688
26:23.4,4.2675837,25,11.477,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.754,37.472,-2.688
26:23.9,4.8430456,25,11.472,25,-6.537,0,0,25,-6.537,0,0,-2.688,45.675,37.538,-2.688
26:24.5,5.4184783,25,11.48,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.573,39.32,-2.688
26:25.2,6.1215996,25,11.486,25,-6.537,0,0,25,-6.537,0,0,-2.688,48.754,42.822,-2.688
26:25.7,6.6013159,25,11.479,25,-6.537,0,0,25,-6.537,0,0,-2.688,48.888,43.133,-2.688
26:26.4,7.3524526,25,11.485,25,-6.537,0,0,25,-6.537,0,0,-2.688,48.299,44.656,-2.688
26:27.4,8.2628726,25,11.493,25,-6.537,0,0,25,-6.537,0,0,-2.688,48.025,44.814,-2.688
26:28.0,8.9340788,25,11.493,25,-6.537,0,0,25,-6.537,0,0,-2.688,48.114,45.43,-2.688
26:28.6,9.4786232,25,11.492,25,-6.537,0,0,25,-6.537,0,0,-2.688,48.045,45.316,-2.688
26:29.3,10.1817414,25,11.491,25,-6.537,0,0,25,-6.537,0,0,-2.688,48.154,45.415,-2.688
26:29.9,10.8529476,25,11.49,25,-6.537,0,0,25,-6.537,0,0,-2.688,49.134,45.344,-2.688
26:30.5,11.433395,25,11.482,25,-6.537,0,0,25,-6.537,0,0,-2.688,49.81,45.5,-2.688
26:31.2,12.1315284,25,11.492,25,-6.537,0,0,25,-6.537,0,0,-2.688,49.791,45.466,-2.688
26:31.8,12.7069891,25,11.486,25,-6.537,0,0,25,-6.537,0,0,-2.688,49.256,45.637,-2.688
