Protocol file: C:\HelixGen\Protocols\Protocol_pcr -temp5.xml
Run date.time: 2018/12/7 10:55:17
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2018-12-07 10:55:28.734",0,25,94.893,25,-6.537,0,0,25,-6.537,0,0,-2.688,29.734,29.861,-2.688
"2018-12-07 10:55:29.501",0.7669807,50,95.198,25,-6.537,0,0,25,-6.537,0,0,-2.688,29.734,29.863,-2.688
"2018-12-07 10:55:30.109",1.3745358,50,95.623,25,-6.537,0,0,25,-6.537,0,0,-2.688,29.735,29.864,-2.688
"2018-12-07 10:55:30.812",2.0774788,50,95.767,25,-6.537,0,0,25,-6.537,0,0,-2.688,29.736,29.864,-2.688
"2018-12-07 10:55:31.483",2.7486537,50,96.055,25,-6.537,0,0,25,-6.537,0,0,-2.688,29.736,29.865,-2.688
"2018-12-07 10:55:32.010",3.276256,50,96.346,25,-6.537,0,0,25,-6.537,0,0,-2.688,29.737,29.867,-2.688
"2018-12-07 10:55:32.776",4.0422362,50,96.529,25,-6.537,0,0,25,-6.537,0,0,-2.688,29.738,29.867,-2.688
"2018-12-07 10:55:33.256",4.5219223,50,96.935,25,-6.537,0,0,25,-6.537,0,0,-2.688,29.739,29.868,-2.688
"2018-12-07 10:55:34.103",5.3686474,50,97.087,25,-6.537,0,0,25,-6.537,0,0,-2.688,29.739,29.869,-2.688
"2018-12-07 10:55:34.678",5.9441089,50,97.389,25,-6.537,0,0,25,-6.537,0,0,-2.688,29.74,29.87,-2.688
"2018-12-07 10:55:35.348",6.6143409,50,97.694,25,-6.537,0,0,25,-6.537,0,0,-2.688,29.741,29.871,-2.688
"2018-12-07 10:55:36.115",7.381267,50,97.848,25,-6.537,0,0,25,-6.537,0,0,-2.688,29.742,29.872,-2.688
"2018-12-07 10:55:36.818",8.0843905,50,98.157,25,-6.537,0,0,25,-6.537,0,0,-2.688,29.743,29.873,-2.688
"2018-12-07 10:55:37.490",8.7555918,50,98.47,25,-6.537,0,0,25,-6.537,0,0,-2.688,29.744,29.874,-2.688
"2018-12-07 10:55:38.017",9.283208,50,98.786,25,-6.537,0,0,25,-6.537,0,0,-2.688,29.744,29.876,-2.688
"2018-12-07 10:55:38.996",10.2615651,50,98.945,25,-6.537,0,0,25,-6.537,0,0,-2.688,29.745,29.877,-2.688
"2018-12-07 10:55:39.471",10.7372934,85,99.266,25,-6.537,0,0,25,-6.537,0,0,-2.688,29.746,29.878,-2.688
"2018-12-07 10:55:40.295",11.5610896,85,99.428,25,-6.537,0,0,25,-6.537,0,0,-2.688,0,0,0
