Protocol file: C:\HelixGen\Protocols\c219.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCR Cycle#, Cartridge 1 Channel 1, Cartridge 1 Channel 2, Cartridge 1 Channel 3, Cartridge 1 Channel 4,Cartridge 2 Channel 1, Cartridge 2 Channel 2, Cartridge 2 Channel 3, Cartridge 2 Channel 4,Cartridge 3 Channel 1, Cartridge 3 Channel 2, Cartridge 3 Channel 3, Cartridge 3 Channel 4,Cartridge 4 Channel 1, Cartridge 4 Channel 2, Cartridge 4 Channel 3, Cartridge 4 Channel 4,Cartridge 5 Channel 1, Cartridge 5 Channel 2, Cartridge 5 Channel 3, Cartridge 5 Channel 4,Cartridge 6 Channel 1, Cartridge 6 Channel 2, Cartridge 6 Channel 3, Cartridge 6 Channel 4,Sensor Temp 1, Sensor Temp 2, Sensor Temp 3, Sensor Temp 4, Sensor Temp 5, Sensor Temp 6
1,-119681,-115629,-131962,-116165,-735365,-855860,-1643318,-1628865,-687687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,-116801,-116700,-125424,-113916,-740533,-950835,-1759912,-1827958,-681269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3,-115573,-114937,-125408,-116170,-734340,-965343,-1794345,-1887523,-683408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4,-114450,-116621,-128403,-112590,-751040,-980213,-1826277,-1955693,-679276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5,-117159,-116478,-127539,-112660,-753209,-990297,-1842310,-2017606,-676533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
6,-116412,-117069,-125637,-113864,-759066,-1001705,-1843892,-2080336,-676141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
7,-114376,-113701,-124679,-113914,-764048,-1011348,-1848978,-2126208,-678153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
8,-115175,-112915,-127418,-115426,-771082,-1025841,-1886697,-2177213,-676257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
9,-116271,-113711,-127895,-116072,-777728,-1031632,-1903407,-2222355,-676106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
10,-111826,-116627,-125038,-112658,-784935,-1046545,-1938857,-2271896,-674836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
11,-111152,-114898,-126058,-115525,-790336,-1053580,-1954127,-2312053,-675154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
12,-113206,-116528,-129021,-113623,-796678,-1059314,-1977723,-2355905,-675103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
13,-113713,-117439,-125075,-113577,-792379,-1073439,-2003109,-2404640,-675611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
14,-114588,-114234,-126796,-115035,-801950,-1079229,-1997020,-2439657,-670161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
15,-115387,-113934,-127456,-113472,-799280,-1088434,-2033650,-2481411,-668422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
16,-114272,-112431,-126467,-107392,-804540,-1097131,-2045297,-2517884,-665071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
