Protocol file: C:\HelixGen\Protocols\c219.xml
Run date.time: 2018/12/21 15:28:27
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2018-12-21 15:28:28.393",0,25,27.16,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.021,28.516,-2.688
"2018-12-21 15:28:29.500",1.1076001,25,27.16,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.024,29.685,-2.688
"2018-12-21 15:28:30.249",1.8564001,25,27.171,25,-6.537,0,0,25,-6.537,0,0,-2.688,28.134,33.949,-2.688
"2018-12-21 15:28:30.920",2.5272001,25,27.172,25,-6.537,0,0,25,-6.537,0,0,-2.688,29.844,37.23,-2.688
"2018-12-21 15:28:31.403",3.0108001,25,27.172,25,-6.537,0,0,25,-6.537,0,0,-2.688,32.744,39.831,-2.688
"2018-12-21 15:28:32.246",3.8532001,25,27.172,25,-6.537,0,0,25,-6.537,0,0,-2.688,36.482,41.935,-2.688
"2018-12-21 15:28:32.823",4.4304001,25,27.183,25,-6.537,0,0,25,-6.537,0,0,-2.688,40.186,43.37,-2.688
"2018-12-21 15:28:33.587",5.1948001,25,27.184,25,-6.537,0,0,25,-6.537,0,0,-2.688,42.248,43.567,-2.688
"2018-12-21 15:28:34.243",5.8500001,25,27.184,25,-6.537,0,0,25,-6.537,0,0,-2.688,43.182,44.396,-2.688
"2018-12-21 15:28:34.820",6.4272001,25,27.185,25,-6.537,0,0,25,-6.537,0,0,-2.688,43.964,44.209,-2.688
"2018-12-21 15:28:35.491",7.0980001,25,27.194,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.061,44.645,-2.688
"2018-12-21 15:28:36.146",7.7532001,25,27.196,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.519,44.469,-2.688
"2018-12-21 15:28:36.910",8.5176001,25,27.196,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.503,44.787,-2.688
"2018-12-21 15:28:37.394",9.0012001,25,27.197,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.686,44.558,-2.688
"2018-12-21 15:28:38.189",9.7968001,25,27.199,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.671,44.76,-2.688
"2018-12-21 15:28:38.767",10.3740001,25,27.208,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.738,44.645,-2.688
"2018-12-21 15:28:39.437",11.0448001,25,27.209,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.749,44.74,-2.688
"2018-12-21 15:28:40.451",12.0588001,25,27.209,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.776,44.796,-2.688
"2018-12-21 15:28:41.247",12.8544001,115,27.219,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.774,44.684,-2.688
"2018-12-21 15:28:41.824",13.4316001,115,27.387,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.777,44.797,-2.688
"2018-12-21 15:28:42.604",14.2116001,115,27.728,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.785,44.703,-2.688
"2018-12-21 15:28:43.259",14.8668001,115,28.365,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.789,44.732,-2.688
"2018-12-21 15:28:43.837",15.4440001,115,29.072,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.802,44.804,-2.688
"2018-12-21 15:28:44.476",16.0836001,115,29.887,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.807,44.763,-2.688
"2018-12-21 15:28:45.053",16.6608002,115,30.717,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.822,44.812,-2.688
"2018-12-21 15:28:45.724",17.3316002,115,31.527,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.827,44.813,-2.688
"2018-12-21 15:28:46.379",17.9868002,115,32.616,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.834,44.852,-2.688
"2018-12-21 15:28:47.159",18.7668002,115,33.678,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.84,44.738,-2.688
"2018-12-21 15:28:47.737",19.3440002,115,34.938,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.846,44.883,-2.688
"2018-12-21 15:28:48.579",20.1864002,115,35.971,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.85,44.762,-2.688
"2018-12-21 15:28:49.203",20.8104002,115,37.456,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.857,44.855,-2.688
"2018-12-21 15:28:49.780",21.3876002,115,38.518,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.858,44.804,-2.688
"2018-12-21 15:28:50.607",22.2144002,115,39.583,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.865,44.796,-2.688
"2018-12-21 15:28:51.091",22.6980002,115,41.009,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.866,44.853,-2.688
"2018-12-21 15:28:51.761",23.3688002,115,41.902,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.869,44.841,-2.688
"2018-12-21 15:28:52.417",24.0240002,115,43.058,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.873,44.896,-2.688
"2018-12-21 15:28:53.181",24.7884002,115,44.21,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.878,44.792,-2.688
"2018-12-21 15:28:53.758",25.3656002,115,45.616,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.879,44.94,-2.688
"2018-12-21 15:28:54.601",26.2080002,115,46.583,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.884,44.807,-2.688
"2018-12-21 15:28:55.178",26.7852002,115,48.062,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.89,44.906,-2.688
"2018-12-21 15:28:55.661",27.2688002,115,49.091,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.889,44.812,-2.688
