MeltCurveTemperature, Cartridge 1 Channel 3, Cartridge 1 Channel 4,Cartridge 2 Channel 1, Cartridge 2 Channel 2, Cartridge 2 Channel 3, Cartridge 2 Channel 4,Cartridge 3 Channel 1, Cartridge 3 Channel 2,Cartridge 4 Channel 1, Cartridge 4 Channel 2, Cartridge 4 Channel 3, Cartridge 4 Channel 4,Cartridge 5 Channel 1, Cartridge 5 Channel 2, Cartridge 5 Channel 3, Cartridge 5 Channel 4,Cartridge 6 Channel 1, Cartridge 6 Channel 2, Cartridge 6 Channel 3, Cartridge 6 Channel 4
45.50799942,-2194555,-1366928,-1860391,-3097059,-2809268,-1482803,-1445614,-1387846,0,0,0,0,0,0,0,0,0,0,0,0
45.66199875,-2187611,-1359504,-1859549,-3121497,-2782319,-1493423,-1451439,-1372864,0,0,0,0,0,0,0,0,0,0,0,0
45.8219986,-2198637,-1378531,-1862385,-3090023,-2816170,-1502553,-1450204,-1373652,0,0,0,0,0,0,0,0,0,0,0,0
46.02500153,-2192083,-1373512,-1860043,-3114683,-2799320,-1507632,-1444856,-1379509,0,0,0,0,0,0,0,0,0,0,0,0
46.15100098,-2197453,-1372491,-1864768,-3098144,-2820559,-1515281,-1444080,-1368539,0,0,0,0,0,0,0,0,0,0,0,0
46.31999969,-2195758,-1356174,-1866356,-3114557,-2828379,-1517070,-1446815,-1370928,0,0,0,0,0,0,0,0,0,0,0,0
46.51399994,-2169480,-1363875,-1865503,-3113746,-2809594,-1520981,-1436292,-1370370,0,0,0,0,0,0,0,0,0,0,0,0
46.63899994,-2205012,-1372688,-1864780,-3147889,-2781522,-1526054,-1437524,-1365675,0,0,0,0,0,0,0,0,0,0,0,0
46.79499817,-2175287,-1367037,-1871996,-3108359,-2825872,-1542287,-1436281,-1368401,0,0,0,0,0,0,0,0,0,0,0,0
46.99100113,-2191112,-1369562,-1878705,-3128346,-2806095,-1543098,-1430959,-1367086,0,0,0,0,0,0,0,0,0,0,0,0
47.11600113,-2195701,-1365892,-1866182,-3131736,-2825436,-1553246,-1438288,-1365806,0,0,0,0,0,0,0,0,0,0,0,0
47.26800156,-2172260,-1375414,-1866846,-3124299,-2820001,-1549105,-1428959,-1361622,0,0,0,0,0,0,0,0,0,0,0,0
47.49100113,-2170281,-1362608,-1863264,-3160185,-2818301,-1559000,-1432041,-1365441,0,0,0,0,0,0,0,0,0,0,0,0
47.61600113,-2187047,-1378223,-1864761,-3150502,-2814615,-1558694,-1432096,-1365098,0,0,0,0,0,0,0,0,0,0,0,0
