Protocol file: C:\HelixGen\Protocols\CYP2C19.xml,,,,,,,,,,,,,,,,,,,,,,,,,,
PCR Cycle#, Cartridge 1 Channel 3, Cartridge 1 Channel 4,Cartridge 2 Channel 1, Cartridge 2 Channel 2, Cartridge 2 Channel 3, Cartridge 2 Channel 4,Cartridge 3 Channel 1, Cartridge 3 Channel 2,Cartridge 4 Channel 1, Cartridge 4 Channel 2, Cartridge 4 Channel 3, Cartridge 4 Channel 4,Cartridge 5 Channel 1, Cartridge 5 Channel 2, Cartridge 5 Channel 3, Cartridge 5 Channel 4,Cartridge 6 Channel 1, Cartridge 6 Channel 2, Cartridge 6 Channel 3, Cartridge 6 Channel 4,Sensor Temp 1, Sensor Temp 2, Sensor Temp 3, Sensor Temp 4, Sensor Temp 5, Sensor Temp 6
2,-1509931,-856538,-1522471,-2469320,-1203245,-1460079,-766217,-671918,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3,-1524278,-859135,-1545918,-2502471,-3350715,-1470348,-795321,-717572,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4,-1536885,-853013,-1548645,-2535208,-3283157,-1475990,-852810,-751490,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5,-1542013,-852477,-1533123,-2522506,-3257582,-1482521,-858293,-760246,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
6,-1563998,-849115,-1553135,-2558528,-3221812,-1489037,-861922,-760835,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
7,-1557671,-861631,-1545756,-2554939,-3174902,-1489508,-862627,-761433,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
8,-1555463,-855585,-1562231,-2557412,-3155485,-1494329,-865088,-765911,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
9,-1560761,-865435,-1553488,-2585849,-3150460,-1497111,-868249,-766804,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
10,-1568225,-861955,-1563205,-2588168,-3146971,-1498876,-872960,-770013,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
11,-1578504,-868087,-1559917,-2596573,-3129936,-1502808,-874807,-774022,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
12,-1586435,-857189,-1576359,-2608497,-3115225,-1509063,-877654,-783519,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
13,-1577733,-873871,-1586734,-2616717,-3087940,-1521198,-881744,-778296,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
14,-1584968,-863788,-1586254,-2627694,-3061295,-1516409,-882998,-780861,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
15,-1594986,-867047,-1586547,-2659355,-3031092,-1516511,-882677,-781383,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
16,-1607315,-865136,-1581529,-2650183,-3011564,-1528082,-883196,-783796,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
17,-1614436,-868216,-1585520,-2670319,-3013757,-1525907,-889639,-786605,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
18,-1603475,-870899,-1579111,-2674127,-3016711,-1531523,-888140,-794573,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
19,-1621332,-874156,-1593444,-2689558,-3006235,-1528442,-888220,-792634,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
20,-1613190,-866714,-1599094,-2661619,-2994084,-1530167,-891083,-797059,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
21,-1609347,-869386,-1601883,-2678918,-2978172,-1533914,-892216,-794729,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
