Protocol file: C:\HelixGen\Protocols\resolve.xml
Run date.time: 2019/1/26 16:33:10
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2019-01-26 16:33:11.141",0,25,31.845,25,-6.537,0,0,25,-6.537,0,0,-2.688,84.989,64.565,-2.688
"2019-01-26 16:33:12.180",1.039287,25,31.832,25,-6.537,0,0,25,-6.537,0,0,-2.688,84.747,64.592,-2.688
"2019-01-26 16:33:13.250",2.1093962,25,31.83,25,-6.537,0,0,25,-6.537,0,0,-2.688,84.698,69.547,-2.688
"2019-01-26 16:33:13.874",2.7326964,25,31.827,25,-6.537,0,0,25,-6.537,0,0,-2.688,86.238,73.782,-2.688
"2019-01-26 16:33:14.576",3.434816,25,31.817,25,-6.537,0,0,25,-6.537,0,0,-2.688,89.454,77.778,-2.688
"2019-01-26 16:33:15.263",4.121981,25,31.816,25,-6.537,0,0,25,-6.537,0,0,-2.688,92.493,80.999,-2.688
"2019-01-26 16:33:15.886",4.7453107,25,31.816,25,-6.537,0,0,25,-6.537,0,0,-2.688,95.95,84.605,-2.688
"2019-01-26 16:33:16.557",5.4165161,25,31.816,25,-6.537,0,0,25,-6.537,0,0,-2.688,98.778,87.531,-2.688
"2019-01-26 16:33:17.036",5.8954184,25,31.805,25,-6.537,0,0,25,-6.537,0,0,-2.688,101.462,90.34,-2.688
"2019-01-26 16:33:17.883",6.7419778,25,31.802,25,-6.537,0,0,25,-6.537,0,0,-2.688,104.306,93.396,-2.688
"2019-01-26 16:33:18.459",7.3176035,25,31.802,25,-6.537,0,0,25,-6.537,0,0,-2.688,106.401,96.383,-2.688
"2019-01-26 16:33:19.130",7.9886662,25,31.802,25,-6.537,0,0,25,-6.537,0,0,-2.688,107.089,99.27,-2.688
"2019-01-26 16:33:19.881",8.7396311,25,31.795,25,-6.537,0,0,25,-6.537,0,0,-2.688,107.615,101.592,-2.688
"2019-01-26 16:33:20.631",9.4896245,25,31.788,25,-6.537,0,0,25,-6.537,0,0,-2.688,108.086,104.444,-2.688
"2019-01-26 16:33:21.302",10.1608635,25,31.788,25,-6.537,0,0,25,-6.537,0,0,-2.688,108.235,105.839,-2.688
"2019-01-26 16:33:21.877",10.7364734,25,31.787,25,-6.537,0,0,25,-6.537,0,0,-2.688,108.582,106.779,-2.688
"2019-01-26 16:33:22.564",11.4234912,25,31.783,25,-6.537,0,0,25,-6.537,0,0,-2.688,108.656,107.262,-2.688
"2019-01-26 16:33:23.043",11.9021767,25,31.775,25,-6.537,0,0,25,-6.537,0,0,-2.688,108.707,107.51,-2.688
"2019-01-26 16:33:23.842",12.7010367,25,31.773,25,-6.537,0,0,25,-6.537,0,0,-2.688,108.695,107.785,-2.688
"2019-01-26 16:33:24.434",13.2926442,25,31.773,25,-6.537,0,0,25,-6.537,0,0,-2.688,108.803,107.89,-2.688
"2019-01-26 16:33:25.104",13.9628487,25,31.773,25,-6.537,0,0,25,-6.537,0,0,-2.688,108.813,108.047,-2.688
"2019-01-26 16:33:25.807",14.6659669,25,31.76,25,-6.537,0,0,25,-6.537,0,0,-2.688,108.836,108.019,-2.688
"2019-01-26 16:33:26.382",15.241428,25,31.759,25,-6.537,0,0,25,-6.537,0,0,-2.688,108.743,108.126,-2.688
"2019-01-26 16:33:27.054",15.9126331,25,31.759,25,-6.537,0,0,25,-6.537,0,0,-2.688,108.75,108.08,-2.688
"2019-01-26 16:33:28.060",16.9189432,25,31.759,25,-6.537,0,0,25,-6.537,0,0,-2.688,108.888,108.288,-2.688
"2019-01-26 16:33:28.811",17.6699345,25,31.745,25,-6.537,0,0,25,-6.537,0,0,-2.688,108.745,106.694,-2.688
"2019-01-26 16:33:29.385",18.2444249,25,31.759,25,-6.537,0,0,25,-6.537,0,0,-2.688,106.942,102.834,-2.688
"2019-01-26 16:33:30.057",18.9156039,25,31.773,25,-6.537,0,0,25,-6.537,0,0,-2.688,104.865,99.372,-2.688
"2019-01-26 16:33:30.808",19.6665956,25,31.802,25,-6.537,0,0,25,-6.537,0,0,-2.688,102.11,96.966,-2.688
"2019-01-26 16:33:31.479",20.3378143,25,31.859,25,-6.537,0,0,25,-6.537,0,0,-2.688,100.072,95.993,-2.688
"2019-01-26 16:33:31.957",20.816524,25,31.917,25,-6.537,0,0,25,-6.537,0,0,-2.688,98.877,95.167,-2.688
"2019-01-26 16:33:32.788",21.6472993,25,31.96,25,-6.537,0,0,25,-6.537,0,0,-2.688,98.461,94.629,-2.688
