Protocol file: C:\HelixGen\Protocols\CYP2C19.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCR Cycle#, Cartridge 1 Channel 1, Cartridge 1 Channel 2, Cartridge 1 Channel 3, Cartridge 1 Channel 4,Cartridge 2 Channel 1, Cartridge 2 Channel 2, Cartridge 2 Channel 3, Cartridge 2 Channel 4,Cartridge 3 Channel 1, Cartridge 3 Channel 2, Cartridge 3 Channel 3, Cartridge 3 Channel 4,Cartridge 4 Channel 1, Cartridge 4 Channel 2, Cartridge 4 Channel 3, Cartridge 4 Channel 4,Cartridge 5 Channel 1, Cartridge 5 Channel 2, Cartridge 5 Channel 3, Cartridge 5 Channel 4,Cartridge 6 Channel 1, Cartridge 6 Channel 2, Cartridge 6 Channel 3, Cartridge 6 Channel 4,Sensor Temp 1, Sensor Temp 2, Sensor Temp 3, Sensor Temp 4, Sensor Temp 5, Sensor Temp 6
1,-806545,-176473,-665214,-1147135,-2139346,-1015154,-941205,-820081,-394416,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,-832405,-176494,-682517,-1161358,-2169003,-1101793,-930689,-822758,-390620,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3,-836329,-176533,-699327,-1164464,-2141655,-1086861,-927837,-817593,-386924,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4,-844560,-177331,-711152,-1178023,-2139744,-1069030,-929357,-803841,-388459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5,-851625,-177345,-726990,-1190546,-2110457,-1066552,-933066,-799398,-391177,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
6,-856285,-177436,-734659,-1190719,-2095034,-1058101,-932910,-791972,-391691,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
7,-854750,-178077,-751527,-1182595,-2100507,-1051526,-941046,-788326,-389443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
8,-861340,-174431,-754650,-1193750,-2103071,-1036640,-944729,-788540,-387667,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
9,-860838,-175361,-775926,-1191575,-2080591,-1033707,-947197,-782729,-384059,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
10,-859632,-174771,-777956,-1202893,-2067869,-1020329,-950980,-779656,-390904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
11,-859455,-176454,-786650,-1204955,-2076708,-1022215,-949200,-779715,-388623,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
12,-863164,-176974,-791162,-1201129,-2082210,-1017978,-956953,-773654,-391612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
13,-872974,-174422,-803625,-1200509,-2074701,-1018356,-961255,-774082,-389960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
14,-871337,-180144,-812725,-1205505,-2070847,-1013305,-950510,-771672,-384319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
15,-860124,-176546,-820750,-1203593,-2070869,-1016503,-954047,-773982,-386519,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
16,-861025,-176266,-821678,-1208346,-2064097,-1018317,-959775,-772994,-385723,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
17,-867503,-177138,-827374,-1209616,-2042166,-1014927,-966431,-772132,-385586,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
18,-876416,-177295,-830368,-1213662,-2036665,-1009780,-962943,-772544,-387759,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
19,-875498,-173847,-830549,-1213131,-2028042,-1006675,-934314,-776328,-384550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
20,-871640,-172966,-828773,-1224644,-2038684,-1005667,-956781,-772364,-381339,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
21,-882478,-172603,-839280,-1215003,-2046736,-1014575,-984571,-773876,-381068,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
22,-873362,-174921,-853857,-1209635,-2051115,-1008784,-1019777,-772893,-382192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
23,-865563,-173671,-863335,-1213401,-2034643,-1018180,-1062485,-776005,-382432,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
24,-871276,-176762,-886654,-1225926,-2036133,-1016239,-1113359,-781348,-381694,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
