Protocol file: C:\HelixGen\Protocols\CYP2C19.xml
Run date.time: 2019/2/27 11:03:34
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2019-02-27 11:03:35.364",0,25,37.964,25,-6.537,0,0,25,-6.537,0,0,-2.688,31.344,31.675,-2.688
"2019-02-27 11:03:36.290",0.9265238,25,37.882,25,-6.537,0,0,25,-6.537,0,0,-2.688,31.331,31.67,-2.688
"2019-02-27 11:03:36.962",1.5978028,25,37.804,25,-6.537,0,0,25,-6.537,0,0,-2.688,31.326,32.62,-2.688
"2019-02-27 11:03:37.568",2.2041079,25,37.751,25,-6.537,0,0,25,-6.537,0,0,-2.688,32.507,35.909,-2.688
"2019-02-27 11:03:38.335",2.9710569,25,37.698,25,-6.537,0,0,25,-6.537,0,0,-2.688,34.653,39.095,-2.688
"2019-02-27 11:03:38.910",3.5465193,25,37.628,25,-6.537,0,0,25,-6.537,0,0,-2.688,37.149,41.994,-2.688
"2019-02-27 11:03:39.486",4.1219799,25,37.575,25,-6.537,0,0,25,-6.537,0,0,-2.688,39.71,42.568,-2.688
"2019-02-27 11:03:40.060",4.6964444,25,37.525,25,-6.537,0,0,25,-6.537,0,0,-2.688,42.172,43.804,-2.688
"2019-02-27 11:03:40.811",5.4474394,25,37.48,25,-6.537,0,0,25,-6.537,0,0,-2.688,43.893,43.911,-2.688
"2019-02-27 11:03:41.482",6.1186417,25,37.417,25,-6.537,0,0,25,-6.537,0,0,-2.688,43.68,44.623,-2.688
"2019-02-27 11:03:42.058",6.6941075,25,37.348,25,-6.537,0,0,25,-6.537,0,0,-2.688,44.18,44.417,-2.688
"2019-02-27 11:03:43.000",7.6366793,25,37.31,25,-6.537,0,0,25,-6.537,0,0,-2.688,45.909,44.733,-2.688
"2019-02-27 11:03:43.751",8.3875803,25,37.226,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.245,44.792,-2.688
"2019-02-27 11:03:44.422",9.0587856,25,37.157,25,-6.537,0,0,25,-6.537,0,0,-2.688,46.975,44.747,-2.688
"2019-02-27 11:03:44.997",9.6332561,25,37.105,25,-6.537,0,0,25,-6.537,0,0,-2.688,46.615,44.837,-2.688
"2019-02-27 11:03:45.845",10.4809844,25,37.053,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.303,44.727,-2.688
"2019-02-27 11:03:46.419",11.0554565,25,36.985,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.933,44.869,-2.688
"2019-02-27 11:03:47.410",12.0457991,25,36.933,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.602,44.77,-2.688
"2019-02-27 11:03:47.985",12.6212642,115,36.865,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.23,44.827,-2.688
"2019-02-27 11:03:48.816",13.4520391,115,36.947,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.533,44.858,-2.688
"2019-02-27 11:03:49.391",14.0275011,115,37.351,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.898,44.793,-2.688
"2019-02-27 11:03:49.966",14.6019664,115,37.811,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.789,44.846,-2.688
"2019-02-27 11:03:50.669",15.3050864,115,38.339,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.117,44.797,-2.688
"2019-02-27 11:03:51.340",15.9763872,115,39.124,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.085,44.868,-2.688
"2019-02-27 11:03:51.963",16.5996254,115,40.016,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.581,44.825,-2.688
"2019-02-27 11:03:52.570",17.206003,115,40.846,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.85,44.881,-2.688
"2019-02-27 11:03:53.337",17.9729524,115,41.728,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.534,44.827,-2.688
"2019-02-27 11:03:53.912",18.5484152,115,42.886,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.195,44.884,-2.688
"2019-02-27 11:03:54.488",19.1238753,115,43.842,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.113,44.828,-2.688
"2019-02-27 11:03:55.063",19.6993472,115,44.743,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.474,44.863,-2.688
"2019-02-27 11:03:55.813",20.4493322,115,45.741,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.606,44.834,-2.688
"2019-02-27 11:03:56.484",21.1205368,115,47.011,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.298,44.895,-2.688
"2019-02-27 11:03:57.060",21.6960022,115,48.13,25,-6.537,0,0,25,-6.537,0,0,-2.688,46.959,44.833,-2.688
"2019-02-27 11:03:57.906",22.5427356,115,49.16,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.377,44.907,-2.688
"2019-02-27 11:03:58.481",23.1172012,115,50.629,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.651,44.838,-2.688
"2019-02-27 11:03:59.248",23.884149,115,51.584,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.235,44.921,-2.688
"2019-02-27 11:03:59.776",24.4118403,115,52.967,25,-6.537,0,0,25,-6.537,0,0,-2.688,46.922,44.846,-2.688
"2019-02-27 11:04:00.574",25.2106016,115,53.827,25,-6.537,0,0,25,-6.537,0,0,-2.688,46.879,44.902,-2.688
"2019-02-27 11:04:01.150",25.7860667,115,55.201,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.526,44.865,-2.688
"2019-02-27 11:04:01.901",26.5370696,115,56.138,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.41,44.902,-2.688
"2019-02-27 11:04:02.588",27.2242228,115,57.397,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.13,44.897,-2.688
"2019-02-27 11:04:03.258",27.8944264,115,58.562,25,-6.537,0,0,25,-6.537,0,0,-2.688,46.784,44.897,-2.688
"2019-02-27 11:04:03.977",28.6136922,115,59.886,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.146,44.923,-2.688
"2019-02-27 11:04:04.585",29.2209084,115,60.861,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.277,44.893,-2.688
"2019-02-27 11:04:05.352",29.9878294,115,61.826,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.001,44.938,-2.688
"2019-02-27 11:04:05.927",30.563293,115,63.017,25,-6.537,0,0,25,-6.537,0,0,-2.688,46.716,44.901,-2.688
"2019-02-27 11:04:06.501",31.1377556,115,63.952,25,-6.537,0,0,25,-6.537,0,0,-2.688,46.708,44.948,-2.688
"2019-02-27 11:04:07.077",31.7133743,115,64.817,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.1,44.917,-2.688
"2019-02-27 11:04:07.827",32.4632121,115,65.738,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.267,44.952,-2.688
"2019-02-27 11:04:08.498",33.1344166,115,66.876,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.002,44.914,-2.688
"2019-02-27 11:04:09.074",33.710063,115,67.854,25,-6.537,0,0,25,-6.537,0,0,-2.688,46.669,44.958,-2.688
"2019-02-27 11:04:10.016",34.6525256,115,68.745,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.002,44.938,-2.688
"2019-02-27 11:04:10.831",35.4672764,115,70.153,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.113,44.929,-2.688
"2019-02-27 11:04:11.502",36.138385,115,71.323,25,-6.537,0,0,25,-6.537,0,0,-2.688,46.852,44.959,-2.688
"2019-02-27 11:04:12.077",36.7128495,115,72.26,25,-6.537,0,0,25,-6.537,0,0,-2.688,46.576,44.938,-2.688
"2019-02-27 11:04:12.924",37.5605831,115,73.115,25,-6.537,0,0,25,-6.537,0,0,-2.688,46.951,44.971,-2.688
"2019-02-27 11:04:13.499",38.1350476,115,74.318,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.197,44.934,-2.688
"2019-02-27 11:04:14.266",38.9020116,115,75.097,25,-6.537,0,0,25,-6.537,0,0,-2.688,46.845,44.973,-2.688
"2019-02-27 11:04:14.777",39.4136281,115,76.192,25,-6.537,0,0,25,-6.537,0,0,-2.688,46.576,44.929,-2.688
"2019-02-27 11:04:15.448",40.0838483,115,76.878,25,-6.537,0,0,25,-6.537,0,0,-2.688,46.548,44.949,-2.688
"2019-02-27 11:04:16.023",40.6592983,115,77.749,25,-6.537,0,0,25,-6.537,0,0,-2.688,46.883,44.941,-2.688
"2019-02-27 11:04:16.774",41.4102948,115,78.552,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.017,44.962,-2.688
"2019-02-27 11:04:17.445",42.0815315,115,79.547,25,-6.537,0,0,25,-6.537,0,0,-2.688,46.767,44.957,-2.688
"2019-02-27 11:04:18.021",42.6570347,115,80.399,25,-6.537,0,0,25,-6.537,0,0,-2.688,46.509,44.953,-2.688
"2019-02-27 11:04:18.867",43.5036933,115,81.171,25,-6.537,0,0,25,-6.537,0,0,-2.688,46.799,44.961,-2.688
"2019-02-27 11:04:19.442",44.0781578,115,82.215,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.013,44.958,-2.688
"2019-02-27 11:04:20.017",44.6536191,115,82.957,25,-6.537,0,0,25,-6.537,0,0,-2.688,46.907,44.976,-2.688
"2019-02-27 11:04:20.768",45.4046122,115,83.637,25,-6.537,0,0,25,-6.537,0,0,-2.688,46.408,44.969,-2.688
