Protocol file: C:\HelixGen\Protocols\Protocol_pcr - jacky.xml
Run date.time: 2019/2/27 11:13:40
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 AmpsTEC3 Temp, TEC4 Temp, TEC5 temp, TEC6 temp
"2019-02-27 11:13:41.711",0,115,28.745,25,-6.537,0,0,25,-6.537,0,0,-2.688,29.215,29.739,-2.688
"2019-02-27 11:13:42.605",0.8946091,115,28.744,25,-6.537,0,0,25,-6.537,0,0,-2.688,29.213,29.799,-2.688
"2019-02-27 11:13:43.452",1.7413444,115,28.731,25,-6.537,0,0,25,-6.537,0,0,-2.688,29.209,32.091,-2.688
"2019-02-27 11:13:44.028",2.3168064,115,28.719,25,-6.537,0,0,25,-6.537,0,0,-2.688,29.318,35.793,-2.688
"2019-02-27 11:13:44.602",2.8912724,115,28.718,25,-6.537,0,0,25,-6.537,0,0,-2.688,30.395,38.93,-2.688
"2019-02-27 11:13:45.353",3.6422626,115,28.718,25,-6.537,0,0,25,-6.537,0,0,-2.688,35.025,42.45,-2.688
"2019-02-27 11:13:46.024",4.3135132,115,28.705,25,-6.537,0,0,25,-6.537,0,0,-2.688,37.599,45.788,-2.688
"2019-02-27 11:13:46.600",4.8889805,115,28.705,25,-6.537,0,0,25,-6.537,0,0,-2.688,40.092,46.931,-2.688
"2019-02-27 11:13:47.351",5.6399929,115,28.694,25,-6.537,0,0,25,-6.537,0,0,-2.688,45.001,48.229,-2.688
"2019-02-27 11:13:48.022",6.3111661,115,28.692,25,-6.537,0,0,25,-6.537,0,0,-2.688,47.252,48.588,-2.688
"2019-02-27 11:13:48.596",6.8856234,115,28.692,25,-6.537,0,0,25,-6.537,0,0,-2.688,48.465,49.188,-2.688
"2019-02-27 11:13:49.459",7.748284,115,28.688,25,-6.537,0,0,25,-6.537,0,0,-2.688,48.172,49.164,-2.688
"2019-02-27 11:13:50.035",8.3237456,115,28.68,25,-6.537,0,0,25,-6.537,0,0,-2.688,48.072,49.563,-2.688
"2019-02-27 11:13:50.610",8.8992069,115,28.68,25,-6.537,0,0,25,-6.537,0,0,-2.688,48.943,49.378,-2.688
"2019-02-27 11:13:51.280",9.5694151,115,28.678,25,-6.537,0,0,25,-6.537,0,0,-2.688,51.69,49.641,-2.688
"2019-02-27 11:13:51.951",10.2406219,115,28.667,25,-6.537,0,0,25,-6.537,0,0,-2.688,51.711,49.475,-2.688
"2019-02-27 11:13:52.527",10.8160824,115,28.667,25,-6.537,0,0,25,-6.537,0,0,-2.688,51.286,49.651,-2.688
